Human	Original	Intercept	Age	PVal
15	11298	5.13172205556	0.00829809986800001	0.00201922711438054
9625	11302	6.84408387576	0.00302045002800002	0.608444402057627
19	11303	8.21386135494	-0.0153453641746668	0.0320267874332795
24	11304	7.0359199343	0.0299569949	0.00761439714668356
20	11305	7.08906348988	-0.00196434669600001	0.629672862776441
22	11306	8.30391468443333	-0.0016308676733333	0.610307069494789
9619	11307	8.87745566497	-0.007290539874	0.016708768492736
10006	11308	10.15344587382	0.000550063506000011	0.840096139907101
25	11350	7.48136469004667	-0.00372336659600001	0.332507048017133
27	11352	8.05200531952667	0.0126828780413332	0.000176044955719662
33	11363	7.80203515043	-0.006777770116	0.0106590420700598
34	11364	11.8155324534	-0.00447494628	0.0463306443882738
37	11370	11.9662894802	-0.00255776664	0.347607123151205
35	11409	9.65111397032	-0.00839589898399999	0.0778132659744786
9197	11416	9.86517214112	0.00245316739599998	0.416821183531016
40	11418	5.47734834578	0.00544001192399999	0.208531054716559
41	11419	5.40426806908	0.000740005443999993	0.883958868914069
1636	11421	9.22491271625	-0.03019700589	0.0263276541531418
43	11423	7.05233181352	0.00182061843599999	0.806896710584751
346	11425	5.96038069262	-0.014196169904	0.116994782966816
643314	11426	11.0848661378	0.000774968240000003	0.708335823621631
48	11428	8.99032890892	-0.00769006437733344	0.00318337128213831
50	11429	12.1029731766	-0.00333659132000003	0.17987656563887
51	11430	11.1042840206	-0.000208361820000008	0.89335333574948
52	11431	9.36691550802333	0.00320195601533328	0.181133954563161
53	11432	9.93702204660667	-0.00538117038800007	0.0399594132022599
54	11433	10.833033503	0.0012519704	0.801136206869068
49	11434	4.36786972736	0.00912929960800001	0.124002301057827
1134	11435	7.96693298564	-0.00567686662799999	0.522470376185342
1137	11438	4.53383358462667	0.00474530791466667	0.0814095971991452
8973	11440	3.96444675361	0.002836355108	0.18436141013792
1140	11443	7.64888790272	-0.00321985288400001	0.566036646369101
1141	11444	4.55960417385333	0.004342727536	0.186669455022284
1144	11447	5.39764520966	0.00093567644800001	0.747958951859327
1145	11448	6.66976984698	-0.00620736955599998	0.169640794848616
1146	11449	4.89873005926667	0.00344885507333333	0.188664028725385
9370	11450	12.1756615924	-0.01245789148	0.140230440095484
56	11451	4.89780109174	-0.000396125947999994	0.891692562798173
58	11459	9.99870624652	-0.028484775524	0.289962901907781
60	11461	13.2823926622	0.000233136060000018	0.786210447870941
70	11464	8.8010866615	-0.07306837352	3.18458168096104e-05
72	11468	9.31849135882	-0.047351812744	0.00530128582871385
10881	11470	4.52607676202	0.00258969327600001	0.275703390392555
10880	11471	6.2207710711	0.00236376145999999	0.442142733481352
88	11472	8.86829964028	0.000694134783999992	0.967122206433936
89	11474	9.09990023712	-0.005009670844	0.572169840429803
59	11475	7.66729863304667	-0.0122235696426666	0.0609280830783593
90	11477	7.3615258346	-0.000981042880000049	0.820813731064255
91	11479	8.45426902589	3.47303119999943e-05	0.981951781880896
92	11480	10.53288977571	0.000696866028000017	0.835597410288155
93	11481	5.60842256621333	0.00169995927066668	0.572105935437932
94	11482	8.20984794437	-0.014495913294	0.0132984103241718
443	11484	8.27913109172	-0.015697862904	0.0641219274337331
100	11486	8.16833446334	-0.010701727928	0.118742136205516
102	11487	9.27797388676666	-0.0103720300066667	0.0875960988011497
4185	11488	5.14497087488	0.00250951084400001	0.367036514018392
8038	11489	7.41505741098	-0.038182963906	0.0193704970878448
8751	11490	8.47137000038	-0.000810409470999991	0.818407583386156
6868	11491	9.36045221786	-0.00542476077866674	0.12651663961486
8728	11492	8.2695869021	-0.02611362452	0.000792262711561616
2515	11495	3.38050958968	-0.002603597356	0.257357965625838
53616	11496	6.33389990644	-0.008453237378	0.0195134766353039
8756	11500	3.71895776488	-0.00201830917600001	0.0993260191276356
101	11501	7.9840217804	-0.00236094309999999	0.819899211151858
8754	11502	11.3865624206	-0.00543907392	0.0386210500720836
9510	11504	10.02003007352	-0.00981442032400001	0.0893925851452345
112	11512	9.97109971058	0.00231237198400001	0.503558041700592
113	11513	9.80165577866667	-0.0293506579866666	6.27368573104679e-05
114	11514	4.63212314954	0.003522837472	0.332020022919651
115	11515	9.601279690335	0.00178510992800001	0.65316923564195
116	11516	3.74376723713	-0.000367820266000004	0.868866726143255
117	11517	6.33405683224	-0.00561746386133335	0.340076644293071
118	11518	10.16707047018	-0.00118805782933373	0.669724660382763
119	11519	4.989262590728	0.0012153510504	0.729200728832316
123	11520	12.679414267	-0.000232554000000003	0.899324090490712
