Human	Original	Intercept	Age	PVal
15	11298	5.40395582189301	-0.108651464719484	0.252734631915946
9625	11302	5.67008659754731	-0.0304489457951952	0.486121067904895
19	11303	7.56332976417274	0.0215891390095442	0.679015761228061
24	11304	2.43527831129849	-0.0314376408679944	0.46762523551663
20	11305	6.31021317080981	-0.2385277287254	0.0396040668586241
22	11306	9.03532936198823	0.0601582459527767	0.32161264650586
9619	11307	7.19105079563088	-0.0430386329265219	0.160522802841188
10006	11308	7.80513375331767	0.0676374757296328	0.104996196342435
25	11350	8.92329359237121	-0.0388060539654165	0.0880064732852448
33	11363	12.3947398052443	-0.01492968344516	0.148226206308558
34	11364	13.2940052636862	0.00780723197578197	0.669656256181201
37	11370	12.8142039017637	-0.04371299375161	0.0333945660150822
35	11409	10.9306382051297	-0.02610529297425	0.0697003531954222
9197	11416	7.08032053178424	0.0945891754939996	0.0263131324845757
40	11418	3.13782625767172	0.0743823141072276	0.226050394561629
1636	11421	8.31584900944989	-0.163282362040961	0.00165242041467319
43	11423	8.23152630584826	-0.143005243078805	0.0121260729730501
346	11425	2.62943651766798	-0.039140052329822	0.509388441642769
643314	11426	8.69710797134294	0.0237058010792672	0.628639210302004
48	11428	9.60530894389858	-0.0316805905298675	0.246899960405398
50	11429	14.1952058054848	-0.046571932676308	0.000948609321783242
51	11430	10.8979730596458	-0.013512302905362	0.374368273420954
52	11431	9.21744953019257	0.0638727002074904	0.0540831012266655
53	11432	8.04658793066624	-0.0466456536730228	0.0144563948299146
54	11433	4.54125114173426	-0.109065856927777	0.12813673283957
49	11434	4.9371957151367	0.0156355527381808	0.714419820156625
1134	11435	8.35430225520351	0.0144821163237846	0.735694134556432
1137	11438	5.25656376485177	-0.0508015827784464	0.309444422087761
8973	11440	2.5614755541557	0.104325893873126	0.10033136022919
1140	11443	9.31065943707602	0.030397338663515	0.0977175433975348
1141	11444	4.67350503951484	0.0478667727360502	0.451591062569158
1144	11447	3.00233580809539	0.0734383941833198	0.391902229456706
1145	11448	7.16172443378109	-0.168724288818575	0.0347750533127871
1146	11449	2.19904039329473	0.0665337292785954	0.29561967044025
9370	11450	6.78625871546214	0.0742057922951612	0.11558802430339
56	11451	2.67275409952334	-0.122981674405263	0.1100150765125
58	11459	14.6609284104116	-0.014631109572524	0.271647872285078
60	11461	12.3933919319915	0.040446278414904	0.0520946189034944
70	11464	14.1120199708926	-0.10370743214464	0.00178127006445061
72	11468	6.77878078366807	-0.0259817683950014	0.564170918272024
10881	11470	3.98379111211926	-0.0483957859484247	0.563534645513225
10880	11471	6.65693071713086	0.012591097036889	0.730169349108972
88	11472	13.8390085113364	-0.0864491246070939	0.00149737037099454
89	11474	14.811697759563	-0.0226858516750441	0.0936391979068248
59	11475	10.0779581080452	-0.0247174104632854	0.361229417149021
90	11477	8.63082002750175	-0.0599089949042194	0.0198547859993885
91	11479	9.70212600568687	-0.00930015726700666	0.652653352211751
92	11480	8.5730597790766	0.103610353845393	0.0771003533953002
93	11481	7.95258271368072	-0.017992453548967	0.261631649702908
94	11482	7.75024212928235	-0.0588899077382462	0.0375278550875397
443	11484	7.56393656908127	0.0171859698414847	0.439098147317583
100	11486	6.24040315262186	-0.100839647805912	0.101707115404024
102	11487	8.05847083289341	0.0656420216790308	0.0865737004563572
4185	11488	3.78137290940539	-0.157696538723681	0.0875286870351618
8038	11489	4.70454398495766	0.0168951800805598	0.51107981482336
8751	11490	7.74197948089738	-0.037479337607827	0.157341998182193
6868	11491	7.91859688013326	0.0049292361950761	0.872329995810106
8728	11492	5.80983498125927	0.00266862469984479	0.90488170579604
2515	11495	2.5168044030887	0.034115608712295	0.709051844003106
53616	11496	4.22242201697495	0.0405541678499538	0.492610307155338
8756	11500	4.03598402669622	-0.114207198196732	0.221710736148506
101	11501	6.4803185946373	0.0874937709294379	0.21182331208341
8754	11502	9.75616103139539	0.0864763190259155	0.11069661637994
9510	11504	8.15802165157219	0.119388015245251	0.0332974222914493
112	11512	8.61934273296482	-0.00590727249898561	0.708594337391207
113	11513	6.28260731646477	-0.0821389571008042	0.0321632061612528
114	11514	2.85391631503305	0.0657831974270712	0.467061358946708
115	11515	9.77045130726916	0.004462158787514	0.743528169121465
116	11516	3.69599754982	0.0735956055676734	0.24447378992282
117	11517	5.62645829929393	-0.111031461111124	0.0942305319175759
118	11518	9.62623307895307	-0.108728456590008	0.00306945606739293
119	11519	4.86604129567133	0.0172130832389912	0.684192265029898
123	11520	9.60728367411838	0.074986500498863	0.0491175473405564
131	11529	5.5203753901308	-0.0235388338677926	0.456807621737006
128	11532	11.3735379834678	0.0240165849643619	0.162042279370562
132	11534	10.9982857499015	-0.010545777197456	0.436791917863913
133	11535	6.99190562989331	0.0848693541268382	0.000780458063546172
11318	11536	6.13130232667753	0.0327899483195006	0.276381548353717
1675	11537	8.36394601921387	0.0477379087087611	0.275491118986017
23394	11538	10.0873877387951	0.0515004779690624	0.00639899792580013
134	11539	3.83791202769774	0.0882054170804236	0.0521262187299841
135	11540	5.9856082948802	-0.0323746292147728	0.41056467118505
136	11541	5.53975081507813	-0.018144849561533	0.552952660744902
141	11544	9.30354973237346	-0.0149680718378127	0.352528864150541
142	11545	9.93292602743245	-0.0657052536142846	0.00905667614560968
10038	11546	7.92746788149145	0.003122431587744	0.886307947845676
147	11548	3.84751132764723	-0.0671041963624548	0.460198010677235
148	11549	3.14331232733868	-0.049924534048193	0.430398659327996
150	11551	3.89246040755942	-0.0712861940237602	0.414260630148914
151	11552	2.64773012148414	-0.0268728783403634	0.733888851060586
152	11553	3.05933234362533	0.0420252329881846	0.54042922055544
153	11554	3.94316996083956	-0.0213151128950574	0.734443199815834
154	11555	7.74114364066499	0.0293925336069876	0.21269481337275
155	11556	2.87127181430598	-0.0082351431933704	0.872274482270024
158	11564	11.2017577891269	-0.0553756272866579	0.0523084438987828
122622	11565	13.8439738122743	-0.054494457959186	0.00467875516923391
159	11566	8.36410831400943	0.0324882173447386	0.450299775029732
10677	11567	6.9299742272529	0.0527082344106324	0.137440061969508
100616346	11568	9.78041114784532	-0.0480056646161788	0.105128665579626
121536	11569	8.78148716070937	0.0479052983909262	0.180294649638221
174	11576	1.79824060523583	0.0658650150498248	0.308743897069289
176	11595	5.32094727675883	-0.083395184314396	0.167062968360435
177	11596	3.7336804135965	0.0149977696443886	0.841352710212576
284	11600	7.01310143581402	-0.203489616982875	0.121157084650226
285	11601	7.33704746819339	-0.00923052428556681	0.611602451589771
51378	11602	3.33927301015944	0.0237278027505414	0.765118682368638
375790	11603	7.32001038068256	-0.0363230590660668	0.0778520173749006
181	11604	6.31222552430912	-0.395740390527539	2.57982983191971e-06
2717	11605	5.76143538338826	-0.0414321668915468	0.314250864809802
183	11606	8.56799448058947	-0.00876383547392964	0.856451294028325
186	11609	2.17647478561035	0.0455219256487365	0.674563936347376
57085	11610	6.07161185705545	-0.107155785947291	0.0162877605804386
189	11611	1.72473824808814	0.0813124187336624	0.481588288991862
190	11614	4.60830437303838	-0.319307932569738	1.04346820999372e-05
57491	11624	1.42698318698127	-0.0412775567497441	0.554720824875215
197	11625	2.22987886886454	0.0224270334529628	0.802588548421302
57379	11628	3.29983633204032	-0.0112894313471604	0.915511620368187
199	11629	4.43591988521533	-0.0010688819285936	0.988305267576518
202	11630	5.84772767619322	-0.2013689697022	0.0106139896869952
9049	11632	10.23176102359	-0.0481435737873238	0.0757891058672286
326	11634	2.8775922580509	0.0510814596216686	0.500599617966391
203	11636	12.4624153460023	-0.030754547837488	0.0375103604117907
204	11637	8.67085989955029	-0.0302756681638568	0.0259246776060302
205	11639	6.55132812604637	0.0489515606276298	0.12873839751359
8165	11640	9.90467964008461	-0.0637025033421052	0.00502109472061107
10566	11642	3.11854867678627	0.20194364503507	0.0310650297742597
8852	11643	2.19859961972349	-0.0214498293006973	0.743595746437451
249	11647	8.32560742284957	-0.148664231048189	0.000270676676134688
207	11651	8.89928265169779	-0.108784270248206	0.00353290048214657
208	11652	10.21901284292	-0.0697473047417748	0.0342981467437552
211	11655	10.2641745510367	-0.0453111775707636	0.0802376231673472
212	11656	10.100772796534	0.029438113775717	0.70992820507079
213	11657	4.7559213357792	0.00164452682155682	0.977073936997267
214	11658	4.45186678345429	0.036529061675919	0.435011832165562
215	11666	9.26440582231474	-0.102434598198755	0.00435452325724775
218	11670	3.02901688704934	0.148695080639577	0.176420528220621
224	11671	7.89714826302472	-0.0598654348370916	0.00854535943000479
230	11676	4.11724259202039	-0.00338850658913182	0.896395234597332
231	11677	12.0479546091205	-0.017684281058876	0.563892487346441
238	11682	4.60660047703711	-0.011776883305706	0.894960305677292
239	11684	5.7154721104009	-0.0967574654670963	0.00761057043008378
242	11686	1.50935050905659	-0.0137283033005239	0.772026069884583
246	11687	4.38138127783003	-0.03448074471052	0.623834557928208
247	11688	3.75658147311185	-0.00344750405889658	0.962825588577676
241	11690	8.49709876553819	0.0544606302280909	0.138056657651991
2671	11692	9.23106568671748	-0.0155601212059639	0.47403078874551
257	11694	1.86451597734746	0.0632149307121324	0.45725714186597
60529	11695	4.90423522651184	-0.0405586372387302	0.625047736146754
258	11698	4.26202143169859	-0.022268167327116	0.738322612849819
259	11699	2.80611150091771	0.0828567550719904	0.3931360691732
100423031	11705	3.11372269834835	-0.0340401379830104	0.665870558627901
272	11717	9.31291428725647	0.0866627196795617	0.0719290656797701
4143	11720	3.14748626842459	-0.157358093450478	0.151120713241921
56172	11732	12.0045404725034	-0.020461861036326	0.110996779161235
286	11733	10.5723262531901	-0.0726368882081804	0.0805650799239002
51479	11736	7.08439808389899	0.0492332887604398	0.0494044298482928
291	11739	14.1343237884057	-0.010262999580256	0.287123348142636
292	11740	9.91760343472736	0.0376689525806337	0.0160206587240915
311	11744	9.90842773306907	0.0438888096019465	0.367412191948028
306	11745	8.79323493138372	0.0407165393261234	0.082192795236476
307	11746	8.27714179725907	0.060327930868861	0.00306700782952352
308	11747	9.31545070692414	-0.0225864254586996	0.497202902608226
309	11749	10.0419521214069	-0.173111689890661	0.00357302864259176
310	11750	8.49022874873504	0.0782994464914347	0.000985452309624926
8639	11754	7.27799648603853	-0.0419647297359876	0.0374236266290858
10935	11757	12.4944525303866	-0.00661359512814006	0.663079896368185
316	11761	9.77516148660959	0.0227422641833473	0.381505869221899
162	11764	9.02744062888405	-0.0618739280279179	0.058617930135175
164	11765	7.20320087211571	-0.048872384840022	0.0411583064267305
8906	11766	7.47149906694863	-0.0258001529931576	0.37869949531835
8907	11767	8.98394018277191	-0.0969935649258694	0.0139504844261272
10053	11768	2.03284687821628	0.0311645903665078	0.600341370883447
1174	11769	8.12420735154145	-0.0411898298173572	0.0458967369753431
2167	11770	11.5530373584517	0.04251861584058	0.0611886087567044
160	11771	7.96916601719292	-0.159846510346389	0.0142504349113423
161	11772	8.49347551713972	-0.0283955375121488	0.0260729424227327
1173	11773	10.7410599116547	-0.0955834889865218	0.0110631646622881
8546	11774	8.68812190790526	0.020228607591664	0.155840639953458
8120	11775	4.69903874042585	-0.0477211465565518	0.225701211606772
8943	11776	9.57796998575306	-0.0186672898602304	0.391689661508754
1176	11777	9.40224636907049	0.0598594615114949	0.12265639533198
10239	11778	7.39922390319088	-0.0733627416333846	0.00329231351609403
9179	11781	6.65636228547874	-0.0727923646408492	0.0117160053070348
11154	11782	11.0594963916161	0.0263541759706161	0.0412836875301864
317	11783	5.72881902618383	0.0241972782327221	0.262808829226244
321	11784	3.77116306909667	0.00945272619273658	0.898460767009119
322	11785	7.48225788352556	-0.0989777514545263	0.0119171601292356
323	11787	8.90824048464496	-0.01521549334356	0.0765841830134274
324	11789	6.89171774771986	0.0790077386225096	0.15635236560122
100996693	11790	9.22546825995178	-0.0174664122611248	0.270557480876737
328	11792	9.98799160245831	-0.0344657825402676	0.135015589973202
330	11796	6.82290646532651	0.0606464541365366	0.00760093196549247
329	11797	8.78670039974757	0.0483317077875321	0.0590627764589032
332	11799	1.81469356029563	-0.0069015192378561	0.878394560409557
8539	11800	9.44394932794965	0.0504859765112396	0.00244944661490879
922	11801	4.14457488109044	-0.0556817389663264	0.502947117122339
333	11803	5.99876798454639	-0.119095722034615	0.0129126983202005
334	11804	10.492121424909	-0.0806970104079219	0.00479373884383345
335	11806	2.44517873097381	-0.00584877215195719	0.880888746210444
336	11807	4.58882771441209	-0.105555486470046	0.017740877156621
337	11808	5.16023665517154	-0.214311886428146	0.000177717546149964
339	11810	6.5154166188088	0.027749354184572	0.208337597383225
10930	11811	13.5328964607134	-0.0247168240665019	0.0794513938098753
341	11812	3.73903522641355	-0.0568866349538444	0.336266044905181
347	11815	10.3473356722188	0.0289292591394617	0.273365313172678
348	11816	9.84791057336283	-0.0382969355583238	0.264688519319946
350	11818	5.4469894516499	-0.0453415771467464	0.44118125005448
100302258	11819	7.28277808064644	0.0240204462219576	0.491266223202316
351	11820	9.99234790884745	-0.0186684011708418	0.0506982944003917
353	11821	9.49744952744608	-0.0105939935482318	0.65172470182661
359	11827	6.15326419691017	-0.278298910014259	0.00231208297598117
360	11828	3.85980516484046	-0.141104695608477	0.0218150518189942
361	11829	8.35448217920719	0.00420068828736537	0.930697650138647
362	11830	2.11091840337421	0.0796878677287903	0.271941131608824
343	11833	4.83244051445218	-0.046537232191317	0.563332058328887
9716	11834	7.25293189612148	-0.0230647093908053	0.0328496740009158
367	11835	8.6222984939476	-0.0565311144315593	0.0633800910165397
369	11836	8.20517805234757	-0.134058671439702	0.000888493625782875
6175	11837	13.5306750062956	-0.00233786356973603	0.90169902233838
23237	11838	3.08787196613794	0.0744356127348516	0.442301666399235
374	11839	1.17120731307944	-0.0280557338434318	0.613009513893455
100500810	11840	12.1353873746189	-0.0513450425329801	0.0240327683468842
377	11842	6.80567857479716	0.00029142696347339	0.987134056956599
378	11843	9.03218073371556	-0.062852750198193	0.0252707070693154
381	11844	7.6628143115744	0.0699256588717425	0.160708017081666
382	11845	8.66590615549703	0.0852562464911612	0.0372128346095665
383	11846	1.51223796594544	0.112944849645702	0.472193578589588
384	11847	2.68866924675638	0.216352771278732	0.0189925791028503
