Human	Original	Intercept	Age	PVal
34	24158	11.4800494390351	-0.00397644802317768	0.581955519139455
47	24159	13.0769349983297	-0.000600553060928864	0.817884017090828
52	24161	2.3304457222723	0.0354686080651863	0.00188130285802319
53	24162	10.892182118628	0.00664288234120424	0.170156445648486
49	24163	1.92892984038158	-0.087186129878559	0.183502774981169
100	24165	10.6348234545457	0.0397213482205416	0.0084263749100109
117	24167	3.64968303546803	0.0423055196535969	0.630182628939331
118	24170	12.5824333663405	-0.00346215806099157	0.367759921445126
119	24171	10.3244092907857	0.0481349957351153	0.0173984258732328
151	24174	-6.11941736431919	0.0483379558434938	0.0295106693988128
152	24175	-4.68575744203724	0.0799258195168942	0.0182744415740609
154	24176	1.46857876252116	-0.0156243369041857	0.428197272017546
174	24177	5.58817929475302	-0.0410947448974025	0.512938756189224
183	24179	5.50754649960182	-0.0513323033463569	0.0041190403170459
204	24184	10.4637128943292	0.0120525514382012	0.0163711324047947
207	24185	12.2030962304841	0.00444397110350361	0.50526302173101
213	24186	10.7048415929455	0.00688064798239827	0.727405605716059
229	24190	6.56956908418086	0.0108288458769581	0.780004239250513
230	24191	5.37334561115587	0.0538184021163411	0.0897747005170035
231	24192	12.4914369582479	-0.0032023041848361	0.440712377709418
324	24205	11.0521591854479	-0.00592306816399575	0.0530782348881211
327	24206	11.6260994094023	0.0282182446306898	0.000746738120369627
367	24208	4.73673521878004	0.0424315951755351	0.00347350374790168
432	24210	8.50743744112843	-0.10293939215196	0.330652421163722
476	24211	11.786163209321	0.00919826421191147	0.0921495795983377
478	24213	6.21239801158803	-0.0265185173954089	0.150286999280139
482	24214	7.9054162498421	-0.0215377261362404	0.630896952889052
491	24215	5.8104548920642	-0.0925848382969074	0.00488484657851422
540	24218	7.80994389215109	0.0191315613066704	0.686743575564855
567	24223	13.4267544049757	0.0134350273545397	0.127851172161831
596	24224	3.8233441555269	-0.0242124325095008	0.00181528105602102
706	24230	9.46770650417545	0.00690454892751933	0.552420601119343
717	24231	11.1261391790242	0.0286029480073723	0.000575781276164146
722	24235	1.73428863427941	0.0760969490859336	0.148900547947601
725	24236	2.27745779080868	0.0281147223765182	0.292339747010065
729	24237	5.67946262102955	0.0486075769144065	0.0827100124223592
775	24239	8.45479045384946	0.00661522849128519	0.58987747969394
790	24240	11.3460029567375	-0.013591932474344	0.134068388018883
816	24245	6.95087636980412	0.00412564162450675	0.876807023934939
817	24246	14.2314490978461	-0.0136251445026416	0.14038543561366
847	24248	12.0555477773021	0.0163501767080934	0.192176643981261
795	24249	6.09203483353754	-0.044663605087689	0.386771664018139
963	24251	13.2917394689748	-0.0117197795135355	0.176971729055249
1050	24252	1.09334718123189	0.00168688280208598	0.817470584818766
1051	24253	1.57381076495913	0.0191795020358778	0.010061810890844
1056	24254	14.5216997803043	-0.210756610081631	0.176214148841157
1080	24255	4.2690598099302	0.00313467804913776	0.938482672625353
1113	24258	3.98563370099717	0.0065073719409762	0.824051501727538
1114	24259	-3.66841736673716	0.0494655640078064	0.384681123808107
1131	24260	-2.36328827638328	-0.00828174233100209	0.787478687432717
1140	24261	3.87379382443652	0.0347122465297171	0.232517051851752
1152	24264	10.0412936080596	0.00061418658716255	0.888096182150906
1158	24265	6.17427125154871	0.015380051150123	0.522475265029528
100616414	24267	8.98498628941005	0.00720508242488661	0.0697101610217447
1356	24268	13.0661802652602	0.00434220481537648	0.495324430563114
1357	24269	14.3695902132578	-0.117881332767289	0.35442949330548
1360	24271	16.1768140636021	-0.208337292397472	0.168406414618746
1543	24296	5.57317222594353	0.0145215226514695	0.894555899691407
1544	24297	-3.45961652618106	0.0994301434253446	0.189740506091629
1589	24298	6.92605327231486	0.0144199553654491	0.209957338448841
1580	24307	7.61201732529419	0.0245231986965718	0.240832999187229
1628	24309	6.82733070220638	0.016087970402038	0.363317530568453
1644	24311	5.53058855378377	-0.0630701370622472	0.554358165838472
1728	24314	6.28222697058377	0.0240891474310082	0.00539352231155887
1812	24316	-2.46015027778614	-0.047840521577834	0.491962879267137
1906	24323	3.29867374219659	-0.0145234277934601	0.530057346507596
1909	24326	5.00702796744594	0.00684753509468692	0.622310830248287
1956	24329	6.02852919802145	-0.0126937065692386	0.501355113527084
1958	24330	1.02058772687685	0.0524436905409142	0.00547627128544723
1990	24331	14.5219483845184	-0.118309629380707	0.224529552131515
2057	24336	6.62961421457809	0.0600036758209386	0.0239022470225252
2047	24338	1.48830375608478	0.051904179072668	0.251049234574755
2113	24356	12.3253039958165	-0.0151079284952603	0.0272998337250474
2168	24360	7.57733668082269	-0.0556347580873899	0.314099640994516
2176	24361	9.19082439106833	-0.00630144300571517	0.559389386479905
2203	24362	3.71690590645311	-0.0550160723457765	0.279242697814761
2244	24366	4.70463920712422	0.0499330518588156	0.160237401641787
2266	24367	6.7322333639791	-0.00721308268512313	0.74612029141487
