Human	Original	Intercept	Age	PVal
19	11303	1.39693158872109	-0.00503188993537415	0.31467315601331
25	11350	0.206943787646259	-0.00517008650340136	0.344214157495441
27	11352	0.609636907907483	0.00135867225680272	0.583389723924131
33	11363	0.492691933659864	-0.00551338694557823	0.434628543583137
34	11364	-1.95899199428571	-0.0154981057142857	0.305219239888158
37	11370	-0.491006970204082	0.000601546632653062	0.853525664693117
35	11409	-0.159513566802721	-0.00581514191156462	0.407616424800445
40	11418	-1.17636195510204	-0.00673834918367346	0.114235724606872
48	11428	-0.782378809931973	-0.00386431721088435	0.466373313021027
50	11429	-0.0758781867619048	-0.00161136773809524	0.718380461166102
52	11431	1.77882700866667	-0.00116580966666667	0.723072511784765
53	11432	-0.574871445170068	0.00607345802721089	0.281107233256854
54	11433	-0.403885999292517	-0.00109673349319728	0.797318852851832
88	11472	-1.4585640755102	-0.000360565918367344	0.97531214450341
89	11474	-0.505316000680272	-0.00631149289115646	0.188158427837309
59	11475	0.378319098734694	0.00197383412244898	0.755446181658625
91	11479	-0.412058606802721	-0.00112754891156462	0.788381562738396
93	11481	-1.23061006653061	0.000607597244897961	0.914150710221149
102	11487	1.88862158121089	-0.00370503885374151	0.370992942159758
8751	11490	0.915148914802721	-0.000349182588435377	0.930675826486183
6868	11491	-0.834243509280272	0.00020766870884354	0.955933583819055
8728	11492	-1.14227490108844	0.00184284537414967	0.791023963981049
53616	11496	-0.158380226047619	0.00318091404761905	0.182308167570138
101	11501	-1.2386168429932	0.00679606227891158	0.260824146343518
8754	11502	-0.00426863063945578	0.00759663078231293	0.0463231380325699
9510	11504	-0.708302725714286	-0.000689999285714281	0.937106178751209
113	11513	-0.50189879877551	0.00823129520408163	0.0216209821199693
117	11517	0.931408942340136	0.00299830844557822	0.603088119888538
118	11518	0.314850133442177	0.0033272021292517	0.359903148633423
123	11520	-0.178023460707483	0.00309201599319728	0.214692953492631
128	11532	-0.962871252789116	0.00312919064625851	0.414216531553809
132	11534	-0.41173845785034	0.000781830636054425	0.846933189613303
133	11535	0.164527574978231	-0.00288613444251701	0.64739154382934
134	11539	-0.490113810748299	-0.00653515068027211	0.311919524504986
142	11545	-1.03232129782313	0.00131841425170068	0.734703805464114
10038	11546	0.149517946244898	0.00382408404081633	0.166712461473836
154	11555	0.463335100421769	0.001424295292517	0.732407294409065
159	11566	-0.388501319156463	-0.000350432914965985	0.947053937222376
100616346	11568	-0.726102786530612	-0.00381604775510204	0.261327223735191
121536	11569	-0.421939370459864	0.000602180145578234	0.884780320309275
175	11593	-0.476161003129252	-0.00223065829931973	0.653984584276082
51378	11602	1.06499100552381	-0.00752934952380953	0.421928682000577
375790	11603	1.11441063601361	-0.00299474744217688	0.586128646842781
2717	11605	0.00262516253061224	0.00579244425510204	0.0508948166360759
183	11606	0.0542015688163265	0.000508395469387755	0.862030901779317
186	11609	1.22115129046258	-0.00623229053401361	0.210651676358633
57085	11610	0.832518840136055	-0.00104949392176871	0.744448471336642
202	11630	-0.092405070585034	-0.00222596873639456	0.714474306642258
9049	11632	0.568788665401361	-0.00233156104421769	0.573739383885668
204	11637	0.115240122319728	-0.000987042641156464	0.884205228857466
205	11639	0.476635067840816	0.00174013837346939	0.408874536537551
8165	11640	0.188399765863946	-0.0036642360782313	0.612555448327589
249	11647	-0.100330476789116	-0.0045718783537415	0.262711448924643
207	11651	0.666014249551021	0.00498641859183673	0.116904665306764
211	11655	0.438714935537415	0.0036658815340136	0.239717432192742
212	11656	-0.41472810122449	-0.00792028520408163	0.290406144059263
213	11657	0.564777363564626	-0.00544968535034014	0.450217172958169
214	11658	0.0947492999945578	0.00189395087687075	0.467182951521155
230	11676	1.68207470216327	-0.000767857306122455	0.781502677499414
239	11684	0.925723882489796	-0.00385362091836735	0.617677497885463
241	11690	-0.0031573866530612	0.00311891222448979	0.599039974687466
2671	11692	1.18417821831293	-0.00849069917006804	0.13323531996485
4143	11720	0.0490384890476191	0.00445622195238095	0.305979178561075
56172	11732	-0.260008700789116	0.00377634239625851	0.456016768189514
51479	11736	-1.17470716441497	0.00289872483639456	0.443959357916147
311	11744	-1.06230080489796	-0.00198558081632653	0.737392738730987
306	11745	-0.707518947619048	0.00392877761904762	0.405115736599802
307	11746	-0.200701999469388	0.00835760725510204	0.0721791432820112
308	11747	-0.33981887662585	0.00464183834013605	0.257114072681932
309	11749	-0.00643881644625849	-0.00107013109659864	0.675423358222555
310	11750	-0.549892843825851	0.00322875959013606	0.190342864595889
10935	11757	0.109131091945578	-0.00459344023129252	0.43059022365612
164	11765	0.139929071745578	-0.00126109778129252	0.387812249911581
8907	11767	-1.27462767088435	0.0044993787414966	0.3315614053925
10053	11768	0.0513296223061224	-0.00333364194897959	0.382307752584154
1174	11769	1.5187179055102	0.000437991418367343	0.822675537303207
160	11771	0.908832564394558	-0.00223708282312925	0.774803194691574
161	11772	-0.0644771416938776	-0.000451265448979593	0.90310034773266
1173	11773	-0.267597974455782	0.000534949812925171	0.90844748783147
8546	11774	0.387298954228572	0.00231857427142857	0.56522321259067
8120	11775	-0.204898615238095	0.00070955523809524	0.812256009256474
8943	11776	0.0222411325306122	-0.00114514274489796	0.799076843285068
1176	11777	-2.99179560952381	0.00504917952380952	0.709594920674405
10239	11778	-0.0571755266530612	-0.00526240077551021	0.208690939981347
11154	11782	0.0992278886122449	0.00297145960204081	0.71133568015377
323	11787	-0.163732375953742	-0.00274122185340136	0.302538151236335
324	11789	-0.408656576843538	-0.00514984058503401	0.434950751027622
100996693	11790	-1.03838230952381	-0.00412176547619047	0.37434262925694
328	11792	-1.21055255428571	0.00381772928571429	0.653317642178956
330	11796	1.04286783816327	-0.00425331030612245	0.164672557859067
332	11799	-1.33140668013605	-0.00651187557823128	0.246859819177504
8539	11800	-0.408801317952381	-0.000249678547619046	0.917016146381232
334	11804	0.0617346825687075	0.0022832430170068	0.117073618383039
335	11806	0.936600638503402	-0.0107271133605442	0.175372320587967
339	11810	0.856637742414966	-0.000150220486394561	0.963880178031388
100302258	11819	0.329561986462585	-0.00209966478401361	0.434620859381295
9716	11834	0.885510370190476	-0.00123733419047619	0.765409307642901
6175	11837	0.356485512016327	-0.00303235833061225	0.640110411095658
377	11842	-0.965178915782313	-0.00697814207482993	0.377245596509194
378	11843	-0.438852520136054	0.00684159942176871	0.100274946119415
384	11847	-0.286998093333333	-0.000604926666666667	0.836659819416752
388	11852	-0.368048151428572	0.00309363992857143	0.651303488288845
29984	11854	1.01193822840816	0.00840341873469388	0.0763385173918085
394	11855	-2.34962183931973	0.0172485328911565	0.0306130269311672
10124	11861	-0.905836124897959	0.00374920418367347	0.395271616605139
405	11863	-0.0339263453197279	0.00178881239115646	0.504509952639096
100847042	11864	-1.19730092530612	0.000908087448979595	0.926244757199375
10095	11867	-0.355277895020408	0.000110831663265306	0.981449081293608
410	11883	-0.550919798503401	-0.00142888363945578	0.678919412162454
427	11886	0.0438447352380952	0.00420432976190476	0.313100871232126
5873	11891	1.15558028659864	0.00529806354421768	0.339667656702452
11101	11907	-0.430930442040816	0.00413742132653061	0.287555885409772
1386	11909	-0.0609012214285714	0.00019114092857143	0.959350893342161
467	11910	-0.505817237414966	-0.00469108901360544	0.406798418079113
468	11911	1.22236307182313	0.00318671424829931	0.228495942935782
472	11920	-0.0687162458639456	-0.00156127467176871	0.697783286303539
