Gene	LFA2b	LFA2c	LFA2d	LFA2e	LFA3b	LFA3c	LFA3d	LFA3e	LFA4b	LFA4c	LFA4d	LFA4e	LMA2a	LMA2b	LMA2c	LMA2d	LMA2e	LMA3b	LMA3c	LMA3e	LMA4a	LMA4b	LMA4d	LMA4e
Gene	6	6	6	6	16	16	16	16	24	24	24	24	6	6	6	6	6	16	16	16	24	24	24	24
11481 -1.3740287 -0.8189541 -1.4556421 -1.8188799 -1.1938043 -1.7002607 -1.4408683 -1.6070652 -1.7203693 -1.5860772 -1.6189332 -1.44102 -1.9582607 -1.6101372 -1.4670525 -1.1692889 -1.3682706 -1.6887269 -0.8984752 -1.4264175 -1.6433737 -1.2880431 -1.9270037 -1.7102525
11487 2.10738823 2.14624735 2.10439945 2.48763834 2.43725797 2.33862814 2.00398453 2.07695858 2.23485004 1.74229147 1.71820958 2.09656372 2.0653999 2.34456993 2.10182326 2.07780076 2.31080035 2.22191035 2.22202649 2.19901117 2.24394142 2.27980462 2.33471227 1.86308357
11490 -0.0424624 0.60829574 0.01505925 0.44611103 0.3285604 0.07827361 0.51510219 0.42088398 0.13983703 0.50518065 0.05083242 0.50225299 0.29632262 -0.2333097 0.07267377 0.30097366 0.52345231 -0.0054723 0.40185764 -0.246152 0.73231172 0.23391457 0.48757752 0.34212199
11491 -0.501179308 -0.883398093 -0.621677928 -0.852847543 -0.997243168 -0.672057503 -0.933023788 -0.666029675 -0.358804178 -1.142674965 -0.487019133 -0.413220618 -1.073925973 -0.679425303 -0.974649273 -0.38066226 -0.31744554 -0.630055708 -0.508669308 -1.103185408 -0.61980178 -0.71012759 -0.841808785 -0.802341238
11492 -0.885995 -1.0152683 -1.1543401 -1.3254719 -1.3106323 -0.9537001 -1.1147971 -1.1893072 -1.7303274 -1.5606395 -1.0818458 -1.3644128 -1.134882 -1.2543517 -0.8704217 -0.9722072 -1.2487265 -1.014784 -1.6032244 -0.3657099 -1.537776 -0.9905239 -1.402552 -1.0671969
11496 0.2236109 0.30731189 0.167838335 0.069863 0.13324696 0.306983925 0.17246393 0.264434395 0.45334516 0.07538146 0.148405045 -0.072063345 0.28080215 0.346733325 0.282290435 0.281625745 0.10502522 0.15450912 0.112513315 0.15027923 0.01500212 0.29085756 0.177416455 0.311552805
11501 -0.7656029 -0.2597078 -0.496386 -1.631427 -1.363318 -0.9124248 0.2288437 -0.7034046 -0.683157 -1.9248992 -0.3716305 -1.0705154 -0.5275611 -0.5054558 0.30422614 -0.5197462 -1.546384 -0.4016409 -1.1170701 0.65268156 -1.9084638 -0.9270752 -1.4839643 -0.1799608
11502 -0.6953169 0.12594905 0.08928459 -1.3005231 -1.0512617 -0.5187084 0.07559736 -0.1160076 -0.6124366 -0.8396929 0.10131009 -0.7258942 -0.4838643 -0.3601039 0.12497312 0.06768639 -0.2809553 -0.0230858 -0.4309925 -0.0650826 -0.6425851 -0.3923501 -1.1227322 0.25711778
11504 -0.9326256 -1.2484068 -1.4800911 -1.0993378 -1.0613235 -1.4325039 -1.0182618 -1.1169065 -1.0694882 -1.0885242 -1.3235285 -0.8871966 -0.8296911 -1.7235067 -1.2186893 -1.0015974 -0.8203197 -1.1602364 -2.0930218 -1.1399081 -1.1590227 -1.0255642 -1.3195199 -1.2326474
11513 0.18964348 -0.018399 -0.2781546 -0.1830532 0.10079012 0.04628372 0.0448148 -0.2206778 0.24393548 0.12946389 -0.2301828 0.06851975 0.14591732 -0.0282532 -0.0277824 -0.0106834 0.03830441 -0.1629674 0.22682997 0.05362315 -0.2714791 -0.0894182 -0.0330236 -0.2827407
11517 0.60921314 0.85419328 0.5609915 1.01809288 0.91751743 0.66577537 0.94118513 0.96766373 0.98875233 1.49452808 0.84025656 0.96802327 0.7159207 0.59341001 0.61842643 0.87787045 1.14150221 0.57023254 0.98289891 0.70791613 1.23705302 0.73265336 0.98620215 1.22719406
11518 1.08652947 0.95962113 0.88529236 0.43916943 0.64730805 0.99320689 0.8985508 0.829461 1.23396681 0.68430731 0.99204482 0.84778468 1.00074302 0.95080156 1.0899411 0.97349023 0.46373029 1.04761327 0.81964947 1.02418324 0.37746828 0.97974732 0.51116595 0.9404424
11520 -0.4311719 -0.4261303 -0.2122559 -0.5867716 -0.085746 -0.5662182 -0.2756343 -0.4490054 -0.4044995 0.01961109 -0.4104543 -0.1911613 -0.1996073 -0.4758283 -0.5535454 -0.4107645 -0.4114121 -0.4765647 -0.5029877 -0.5712022 -0.5047849 -0.2520918 -0.1360846 -0.407129
11532 0.55823731 -0.0509741 0.36901738 0.14234048 0.39411498 0.08569725 -0.1562148 0.09714356 -0.1320188 0.6149041 0.07342271 -0.0073 0.07317762 0.12098722 0.13355127 0.21991908 -0.0032235 0.13606632 -0.0648641 -0.0559536 -0.1214849 0.07908638 0.70738622 -0.1383431
11534 -0.001707765 -0.1360613 0.144498815 -0.132116765 -0.211108665 0.031641145 -0.02353823 0.11603607 -0.17133225 0.157353555 0.07346367 0.198614985 -0.2400348 -0.027983325 -0.12296225 -0.030330075 -0.2245452 -0.12843995 -0.00760204 0.021990555 -0.07742549 -0.18312005 -0.026774205 0.044518835
11535 -0.163220967 -0.4980793 -0.173011433 0.04398676 0.03955991 -0.16837486 -0.4244628 -0.1413173 -0.340361367 -0.025064963 -0.159229933 -0.091059237 -0.089235767 -0.172536533 -0.6211585 -0.4810774 -0.173911157 -0.234535567 -0.177079613 -0.459994967 -0.082314583 -0.247577533 0.036471557 -0.159553467
11539 0.31659126 -0.2456797 0.15334077 -0.3331022 -0.0808516 0.11178858 0.11217869 0.0159384 0.02044781 0.04679327 -0.1120319 0.03750003 0.21971006 0.28233296 0.22855979 -0.006117 -0.1891554 0.25248558 -0.3168365 0.50211059 -0.6430978 0.06057927 -0.1441035 0.07355017
11545 -0.0576796 0.01794518 0.05822156 -0.2724694 0.15270489 -0.0943234 0.07382775 -0.0582423 -0.3139806 -0.0156768 0.07535489 0.07377232 -0.276016 -0.2159635 -0.1217884 0.04221057 -0.0301022 -0.3507082 -0.039874 -0.0769243 -0.1923908 -0.090609 0.15010136 -0.0228113
11546 -0.4356592 -0.1307182 -0.1970439 -0.2745638 -0.5555223 -0.1370204 0.07781539 -0.7100466 -0.2278925 -0.2287737 -0.1358007 -0.7368476 -0.5869368 0.01365252 -0.3660017 -0.051903 -0.4161093 -0.2770844 0.16968019 -0.1171233 -0.0976157 -0.1551499 -0.1950928 -0.0474494
11555 -0.8863589 -0.3410452 -0.7373553 -0.6678763 -0.5625059 -0.7022518 -0.2107365 -0.3857475 -0.9749551 -0.4172637 -1.2106335 -0.4244808 -0.4818774 -0.8828269 -0.5363028 -0.8805117 -0.5503286 -0.5058711 -0.7283401 -0.6646849 -0.2400755 -0.6282523 -0.9044237 -0.7453915
11566 -0.1310645 -0.498307 -0.302748 -0.1939266 -0.0093081 -0.2841029 -0.3459371 -0.2795214 -0.2666696 0.04396804 -0.7142436 -0.1797778 -0.4695205 -0.1055058 -0.0032269 -0.4578166 -0.2922323 -0.2610467 -0.2282772 0.00963958 -0.4678149 -0.4137294 0.29179409 -0.5727428
11568 -1.6847275 -1.3793736 -1.4003218 -1.2906498 -1.7125938 -1.0933237 -1.0839706 -1.1756665 -1.7754972 -1.1833025 -1.2411329 -1.5526442 -1.3880975 0.32714729 -1.4483832 -1.4267289 -1.2640938 -1.29341 -1.172703 -1.4665878 -1.1271005 -1.2260851 -0.681542 -1.2216682
11569 -0.998796733 -0.656115667 -0.972691433 -0.5875076 -0.476241707 -0.971041767 -0.752600533 -0.622045867 -0.9040152 -0.526136967 -0.624226233 -0.798865433 -0.7585155 -0.999617333 -0.6789283 -0.35328552 -0.482948903 -0.8334993 -0.560068433 -0.833175667 -0.358488517 -0.582582977 -1.202818133 -0.530017467
11593 0.00528061 -0.5739732 -0.1044272 -0.3669848 0.03673779 -0.3516904 -0.717825 -0.2674095 -0.5287129 -0.0959171 -0.4903124 -0.1862695 -0.4141163 -0.1703106 -0.4848852 -0.5130878 -0.3986535 -0.4819556 -0.6950074 -0.3885623 -0.4615164 -0.2729448 0.15121975 -0.5391896
11602 1.46109715 0.50907766 1.57456738 1.08080603 1.59248344 1.44529768 0.61322405 1.08673518 1.61112317 -0.2066905 1.00572058 1.15215307 1.15949802 1.80262252 0.90574226 1.47597166 1.16799718 1.53505625 1.12898854 1.19150857 1.10930084 1.16740226 1.48905756 0.95690446
11603 0.52624889 0.4119943 0.58483053 0.24694737 0.50441193 0.57137671 0.37932066 0.43249668 0.51218355 0.81173444 0.41523441 0.29071655 0.42447263 0.55067586 0.53581959 0.42698751 0.35883604 0.38684819 0.44909574 0.51990771 0.32465166 0.46169155 0.69029393 0.4033793
11605 -1.1924935 -0.8983273 -1.4172698 -0.8144896 -1.366196 -0.9832467 -0.7822821 -1.3112493 -0.584263 -1.3563718 -0.838822 -1.3413199 -1.7049392 -1.2881403 -1.120992 -0.6166705 -0.9881469 -0.982344 -0.97191 -1.0501916 -1.1017547 -1.0923644 -1.6559514 -0.9879157
11606 0.07290583 -0.1624327 0.0657321 0.18037343 0.14557339 -0.0979071 -0.3108421 0.05341268 0.06750486 0.33498651 -0.2367993 0.11481851 -0.0969654 -0.09875 -0.0603739 -0.0834869 0.2028702 -0.0625709 0.01654835 -0.0654833 0.07555051 -0.0154597 0.4127714 -0.0876733
11609 0.25279039 -0.0318977 0.34198669 0.08326477 0.07994572 0.22894247 -0.121982 0.17786478 0.03631769 0.29212215 0.12515757 -0.0373412 0.15218014 0.13969512 0.17949078 -0.0269708 -0.0167339 0.23395146 0.01251983 0.12231128 -0.1475418 0.1563285 0.2632496 -0.2044107
11610 1.42340674 1.478283295 1.35534699 1.482828835 1.53849623 1.33773562 1.39469249 1.577531535 1.38904358 1.16061805 1.42266223 1.70659475 1.59066727 1.2517331 1.30353183 1.384651575 1.4399525 1.381476375 1.52120524 1.217301225 1.484062965 1.447988365 1.558572495 1.567376395
11630 -0.6152647 -0.24451696 -0.66815975 -0.5497186 -0.597922 -0.5520841 -0.504216265 -0.5792537 -0.66641935 -0.16894492 -0.5036303 -0.347743825 -0.278594155 -0.7429252 -0.312213115 -0.6488789 -0.45924737 -0.6303405 -0.51902255 -0.49250645 -0.235764545 -0.5499813 -0.50455185 -0.55377915
11632 -0.4066624 -0.4045429 -0.2430166 -0.3206628 -0.1892964 -0.4556759 -0.3475594 -0.3297737 -0.7593791 -0.1197562 -0.2839679 -0.3348454 -0.476621 -0.3928263 -0.3843416 -0.3452547 -0.3699566 -0.5482068 -0.220653 -0.4551537 -0.6127945 -0.3512759 -0.4235476 -0.421562
11637 0.744999815 0.242803055 0.56138699 0.18744914 0.53041526 0.63621819 0.17758828 0.311591965 0.70786619 -0.11633109 0.306591075 0.422531685 0.547301965 0.755231255 0.355292285 0.496907945 0.219356715 0.695666095 0.384988625 0.39250731 0.122528585 0.40907161 0.473455825 0.30389812
11639 0.568642807 0.707915667 0.718109847 0.801986253 0.598886533 0.619345267 0.78752202 0.713836237 0.53973975 0.959580717 0.62325912 0.527800563 0.656094623 0.474730783 0.708526047 0.853019383 0.864343197 0.638761207 0.634650787 0.667109973 0.858805963 0.756829407 0.74351691 0.709835
11640 0.31619806 0.17426385 0.59761902 0.35153977 0.29739146 0.21610497 0.04490919 0.12313678 0.71865515 -0.2223497 0.19406069 0.03666407 0.03402862 0.57768573 0.30833415 0.29587733 0.4150312 0.32692353 0.19796366 0.28347155 0.28875068 0.37190789 0.49277417 -0.1787031
11647 -0.5043442 -0.6370694 -0.5538478 -0.5291175 -0.4641475 -0.7489924 -0.6005258 -0.6705507 -0.7496812 -0.2768023 -0.5079546 -0.7973559 -0.1441681 -0.5124633 -0.7892956 -0.691889 -0.9267833 -0.659512 -0.6030914 -0.7026797 -0.5384695 -0.5752253 -0.3223788 -0.5728351
11650 1.27183063 1.22766749 1.22601069 -0.1766329 -0.3795095 1.25716464 1.08221145 1.20942982 1.40887829 -0.2424029 1.43836507 1.00539128 1.28415686 0.97716248 1.55368114 1.35574915 -0.0060412 1.52854632 1.06985287 1.70616527 0.04105072 1.56475935 -0.7575895 1.36322136
11651 1.63394878 1.59381628 1.66163164 1.54162491 1.57025228 1.60299258 1.56782745 1.60563937 1.50450035 1.73524393 1.49228864 1.30728378 1.53223627 1.62887031 1.57334064 1.72350346 1.44142965 1.79858375 1.48544697 1.70743491 1.40507935 1.62096367 1.4060094 1.69121271
11655 0.04278672 0.54023333 0.67827956 0.71338639 0.57445651 0.44646626 0.56648528 0.72824085 0.3418736 1.18130031 0.66740214 0.49615704 0.39689341 0.31849996 0.49688151 0.65274802 0.76431771 0.18249812 0.71704834 0.23699703 0.65782702 0.46588183 0.83025763 0.75567516
11656 -0.8568396 -1.0891087 -0.7684181 -1.0819215 -0.2501803 -1.1364594 -1.0760619 -1.1743546 -1.0669118 -0.7043447 -0.849278 -0.7769155 -1.0808089 -0.8110583 -0.9868722 -0.9336326 -1.1156875 -0.9755694 -1.1929648 -1.0039387 -0.9524111 -0.948227 -0.8666024 -0.9609348
11657 3.39972306 2.89021215 3.29189515 3.54520058 3.61119127 3.34618928 2.85146293 3.34743136 3.20953911 3.31629778 3.34093647 3.12609282 3.20243548 3.15206912 3.09591843 3.65916617 3.62748796 3.37909116 3.57138881 2.86263365 2.9299585 3.28035488 3.94814877 3.24840325
11658 -0.418295973 -0.33396891 -0.42772721 0.263084293 -0.24744546 -0.00897191 -0.027764208 0.092765393 -0.33688199 -0.009025645 -0.143744845 -0.325294565 0.054455628 -0.353868713 -0.268885223 -0.27468189 -0.175190823 -0.360395118 -0.072325893 -0.244244935 0.546117173 -0.375176138 0.04095833 -0.332966825
11668 0.619986665 0.412019555 0.31918581 0.49502172 0.72397176 0.2814991 0.360506665 0.31653001 0.714579255 0.605224595 0.17608263 0.55829095 0.592032135 0.32609828 0.385782375 0.325987125 0.73301532 0.25708997 0.43924387 0.316248895 0.60005639 0.56360747 0.64515562 0.362011005
11669 -0.4553672 -0.5767882 -0.3917971 -0.3858261 -0.4776557 -0.4536636 -0.7361555 -0.5230663 -0.5326004 -0.4942655 -0.6696212 -0.4921041 -0.2650058 -0.5047939 -0.3692134 -0.5801723 -0.2091215 -0.2440665 -0.7169631 -0.4012167 -0.8678038 -0.450941 -0.3555442 -0.8925041
11676 0.73261485 1.05693451 0.85771295 1.21833945 1.13157264 1.04991763 0.98183615 1.0225037 1.0331879 1.23259152 0.89078839 1.18256692 1.16386803 0.97626921 0.86188987 1.01079503 1.18803737 0.93198946 1.0859028 0.66898458 1.37907335 0.97206013 1.25242871 1.08924519
11684 1.78304583 1.6662732 1.65960855 0.4570754 0.21614452 1.77225341 1.95204223 1.5338432 1.71299754 -0.2003976 1.66726105 1.36126893 1.61650533 1.54933 2.00669284 1.6685035 0.40889009 1.97873864 1.32473058 2.03879011 0.22857878 1.72410866 0.14022612 1.64191663
11685 -0.2640084 -0.3072477 -0.1869998 -0.1178604 -0.2058985 -0.3483408 -0.2002978 -0.091222 -0.4883879 0.01495041 -0.3252275 -0.3057621 -0.2351089 -0.4016688 -0.4048575 -0.3850103 -0.2457701 -0.2136424 -0.0936622 -0.6227125 0.00084787 -0.3975076 -0.0521163 -0.1078278
11690 -0.1923305 -0.1757875 0.10785772 -0.1626562 -0.1772814 0.04497983 -0.1543318 -0.0701903 0.12491789 -0.1398015 0.00356092 -0.2995382 -0.1009357 -0.0830826 -0.0350864 -0.0354675 -0.3368309 0.20159421 0.03327609 0.14846449 -0.5291804 0.00217325 -0.0119346 -0.1088115
11692 -0.0674739 -0.1964808 0.15456322 -0.3273902 0.39640788 -0.2042989 -0.2344888 -0.0616891 -0.1644323 0.19279365 -0.0535116 -0.2428798 -0.0469782 -0.1020817 0.00079894 -0.0150626 -0.0805861 -0.1952299 -0.220138 -0.100913 -0.2830973 -0.1007848 0.07837287 -0.1852325
11720 1.04836902 0.59151476 0.60507843 0.93823304 0.90497976 0.87253804 0.50121544 0.6257398 1.29098228 1.17859874 0.53545879 0.74023648 0.90078565 0.83402608 0.7124851 0.80136048 1.00990915 0.90963402 0.65218338 0.68585579 0.62701843 0.80578132 1.26919626 0.82093862
11732 -0.4524247 -0.15562225 -0.4301227 -0.3638939 0.04230368 -0.68563675 0.060054395 -0.2354138 -0.5421398 -0.2624381 -0.168348 -0.43536895 -0.43316175 -0.64773635 0.040219875 -0.5951645 -0.391333 -0.56662985 -0.3986848 0.082710025 -0.23283621 -0.49368635 -0.60991525 -0.3888697
11735 -1.6349516 -1.943251767 -2.065075233 -0.8557533 -1.403274767 -1.748359833 -1.923549267 -1.7925816 -1.435984567 -2.044594533 -1.7237418 -1.000891967 -1.509767667 -2.047754433 -1.7564027 -1.7748203 -1.341267467 -1.266319133 -1.775770233 -1.569736933 -1.684818467 -1.743668033 -1.0144838 -1.792710933
11736 -0.991420033 -1.1073663 -0.929754667 -1.083702333 -1.119588067 -1.037219 -1.054114267 -1.1322248 -1.254333567 -1.080483033 -0.9852452 -1.081894667 -1.095223067 -0.810915167 -1.004035267 -1.080820067 -0.972252033 -0.9650527 -1.056916867 -1.065386167 -0.990534967 -1.068515433 -0.887631733 -1.042519133
11737 -0.4459142 -0.5715335 -0.3486374 -0.619434 -0.3781458 -0.4382486 -0.5882033 -0.7034356 -0.7020746 -0.5853184 -0.4679764 -0.6714983 -0.4596304 -0.4887521 -0.5372599 -0.4403218 -0.4360193 -0.5071513 -0.6331424 -0.2830609 -0.6398044 -0.5013994 -0.1341867 -0.7335678
11744 0.13062224 -0.0718384 0.22252098 -0.090484 -0.04881 -0.1982417 -0.042633 0.06981376 -0.1701072 0.35938779 -0.048489 -0.0482478 -0.3708644 -0.0106805 0.10114524 -0.1158453 -0.1021025 0.00504056 -0.1975412 0.23620321 -0.3326798 0.07725071 0.19189858 -0.1825384
11745 -0.981676 -0.6903598 -0.7143572 -0.9600886 -0.7858987 -0.9085442 -0.6637908 -0.7124156 -0.7494941 -0.6144889 -0.7924873 -0.715749 -0.7175233 -0.7810461 -0.8888429 -0.760066 -0.8585266 -0.7595815 -0.6218412 -0.900242 -0.7696858 -0.8795187 -0.788884 -0.6400942
11746 -0.5926617 -0.1789216 -0.5921109 -0.399819 -0.3840217 -0.4205477 -0.0873931 -0.4495793 -0.482658 0.00954451 -0.4234017 -0.3383074 -0.405012 -0.5517368 -0.1378177 -0.0116715 -0.0053234 -0.5455328 0.03012697 -0.4504986 -0.2817233 -0.331701 -0.0469469 -0.3485579
11747 -0.1324921 -0.4981891 -0.2913865 -0.6446023 -0.0895545 -0.3690303 -0.3418157 -0.4234919 -0.4735252 -0.1828755 -0.4185991 -0.1756565 -0.2087879 -0.4483094 -0.1017453 -0.3390984 -0.5211189 -0.1662645 -0.1418272 0.04641193 -0.6726782 -0.3186238 0.01163717 -0.3237795
11749 -0.17525032 -0.072148123 0.04511927 0.083651853 0.042915163 -0.122055427 -0.001751793 0.01337083 -0.038476633 0.305749733 0.051848483 0.16682563 -0.166070823 -0.171048127 -0.039778157 0.05393867 -0.039934547 -0.11803151 0.063784803 0.029051747 0.054293963 -0.01386675 0.142802397 0.033962237
