Gene	GSM571760	GSM571720	GSM571742	GSM571758	GSM571748	GSM571741	GSM571743	GSM571753	GSM571746	GSM571749	GSM571751	GSM571754	GSM571745	GSM571747	GSM571752	GSM571750
Gene	36.0	41.0	43.0	49.0	51.0	51.0	60.0	62.0	63.0	64.0	64.0	64.0	65.0	65.0	70.0	76.0
9	7.5924719873983	7.35388783628491	7.47350282465377	7.41774283214626	7.09836902347491	7.16279411930629	7.61734256712821	7.32275740613173	7.54521162040059	7.16339809435316	7.58239793615476	7.49624661948229	7.50977500432694	7.16671544496642	7.24369763910061	7.46425166787032
14	8.82741575023504	7.99473810424972	8.18966644665005	8.59928059501732	8.61054874010108	8.26847650151109	8.14172909830036	8.07713081819427	8.30747406408971	8.65648564468808	8.00756554828571	8.29641610825797	8.14625299200338	8.70533172257595	7.88289366529065	8.14172909830036
16	10.2354398706183	10.2088074200546	10.0932590903252	10.0805510773276	10.3427858369289	9.87411454843661	9.83311304517076	9.69158127227475	10.1489341045263	10.1292443728102	9.94082450705045	9.87911452731883	9.91741982040493	10.2382136412334	9.70325819500065	10.129411823252
18	5.57410907888733	5.62914384330278	5.50905446640691	5.41065316628979	5.28833456629869	6.17066319189033	5.16427944410128	5.60537432157138	5.51171787056353	5.34256363429458	5.19643590274262	5.70700842482537	5.9595476143918	5.73321060631648	5.47570749464264	5.43172490745208
22	7.56848059643229	6.8082305782494	7.08543527926258	7.43265046380289	7.66738834261208	7.0230113334259	6.8207278481361	6.92848876602555	7.29789754788777	7.17250751724372	7.02919886781979	7.22161611986866	6.98543211926338	7.52548165808784	6.58336262695693	7.32447760767965
23	9.53852652393912	9.49543334663362	9.42202270447976	9.42581593963749	9.53020733095476	9.22424290737999	9.23133159906774	9.29017785727138	9.4846980499317	9.57220377062365	9.4245211439533	9.39937192897209	9.31676121881235	9.48917160132359	9.07565563150639	9.36762005584146
25	6.34185947031688	5.25390987045112	6.10220669369513	6.04565264956989	6.06699758695883	5.74148586266137	5.99046934358573	6.10496979688689	6.05167879409093	6.54891590208302	5.95205860797517	5.88137340826623	6.0691221196246	5.92226208305821	5.44230326152672	5.96063912649131
27	4.41358731299089	3.9707662435108	3.71316240291105	3.77750388123082	3.71404764877777	3.56818354330897	3.68031873009731	3.77888665193682	3.40335771752162	3.1587142955899	3.91403346041255	3.76702970683543	3.79783788049078	3.90293941897129	3.47192097992538	3.89273101498314
29	6.09080474713861	6.32111635060237	6.17149307981112	5.82735159698847	6.16710498429593	6.07793939271249	6.1609201881811	5.77645408872953	6.07476658437147	6.36145957841126	6.15685972244892	6.13741540190136	6.20241380333238	6.24620284205682	5.95005775686236	6.17846567314527
30	7.94539291683082	7.69307395306931	7.72552202305618	7.6944853472239	8.17136172103555	7.7152845708316	7.58254621842562	7.77250131206857	7.8906534025476	7.8869704453889	7.69750278845996	7.69163221627621	8.01611323145503	8.02824534928173	7.2390294534244	7.73244999997983
31	6.10069807745608	5.63244854110951	5.69339774461289	6.12403340300149	6.0443504006645	5.65231152526771	5.42291751280343	5.72252613551216	5.88512406197359	5.89195742361417	6.09375875278042	5.97271447804762	5.84321758560085	6.01996872608975	5.72559393521285	5.74739679916164
34	7.93111569975779	8.97189699967588	9.00331270172703	8.58398158553988	8.16313640287667	9.23644717468519	9.36533822304644	9.168373771543	8.3949942287321	8.63901866679634	9.33612937909089	8.98989967399014	8.96343077311201	8.18918212012339	9.51779534782271	8.97189699967588
36	4.85952236269049	4.70854593349765	4.66234224151817	4.89896288496337	4.6315234064789	4.23965771552391	4.83607055896093	4.57699368789428	4.6315234064789	4.60424334530505	5.32905540760108	4.81632322322229	4.46131245334457	4.36369674483899	4.64648526853772	4.6315234064789
37	8.59738218934868	8.73402197493278	8.58919795113593	8.8878054967842	9.07333289873224	9.07664727281029	8.65081122196579	9.0540127392011	8.95698302156909	9.02118542847128	7.9175809343747	9.15535206049987	8.65409894530247	8.93487913482067	7.59481723842257	8.98196678604095
38	9.45357313606182	9.47483349219486	9.4298272483223	9.45552244360369	9.30751049417275	9.57699633237136	9.4424210461606	9.63508685983882	9.27426632111723	9.64118653879818	9.50164016895532	9.4466160315462	9.58689044086468	9.62640993204867	9.45877364886414	9.38888049080179
39	9.6903542346773	9.7113572383413	9.78395913966631	9.87916048721857	9.94161253904485	9.83764527694196	9.85844730824079	9.82701553981185	10.0626128476512	9.81832333189532	9.7623338650147	9.76946927307791	10.0562719150699	9.79862732188664	9.8779267221567	10.0083866012147
47	9.81161873480054	9.44182096310869	9.58427793482509	9.75646681150008	9.85360586233294	9.76956293969049	9.64779477623692	9.82505046353775	9.83180336534419	9.82346331035828	9.68475504796723	9.71325361016567	9.90082505574186	9.75333877963543	9.68344440506818	9.73999151468423
48	3.93544088892332	3.98040009626973	3.6101567053087	4.26928005964195	3.98931161168856	4.23845824225502	3.94318995072986	3.80574645126894	4.03513119802949	3.84292856279266	4.20594764981649	3.98986562286629	4.01564920996945	4.03912084276564	3.96377003107076	4.02196824215092
50	9.65607800270187	9.22586535832482	9.62426725421792	9.5648468463649	9.99398564418659	9.7526081144464	9.47015653760213	9.674970795518	9.8224927592	9.82313314139532	9.42500184393725	9.84630055511875	9.66011536902495	9.81754651637251	9.36289283377131	9.82046619610676
51	5.71730536399129	5.43135217828303	5.55962335064937	5.52376580073715	5.87839920257886	5.6238746635569	5.59548675257793	5.7261863640498	5.5975599761921	5.75282350686028	5.89257236338803	5.95092870911786	5.79910198859968	5.65098374175264	5.59122361637336	5.60948904121797
52	10.0709795957187	9.60092014600748	9.89440297937743	10.0353952633022	10.0504513611389	9.81171077474172	9.70503387594598	9.77655585644058	9.85758191867894	9.79700865320424	9.86431100770567	9.82257932830068	9.73788952476185	9.86423051871202	9.68619001085553	9.83389417268187
53	4.1819055918195	3.86075427214971	3.78973968297248	4.23770902061532	3.94211096346403	4.02604753748215	3.86490916851569	3.69713994406116	3.90895697794664	4.10211218886136	3.68197766944732	4.54603012698895	4.21599691722872	3.93518626988541	3.78195765226832	3.85160913693177
59	4.8696296210173	4.92748406079681	3.91830035718564	4.0770549577038	4.89207039138805	5.85122183054547	4.19324344685704	5.61242327518699	4.23037980339677	5.32706575059161	4.54290185581339	4.40484863867524	5.6920281922089	4.72794767496755	5.11517893713145	4.71134071726141
60	13.5418629443846	13.6726131806595	13.6397589843481	13.530520135465	13.6033983947609	13.6363225170893	13.5536892849778	13.5923519147905	13.6603525096709	13.6712388150613	13.6169584681301	13.5517282855635	13.7289762864775	13.6055181005325	13.6407533152871	13.6478443826928
71	12.6398019355264	12.8982054127418	12.8391777567016	12.7948630288964	12.8150461116235	12.879766382662	12.8082366573373	12.8506070631846	12.8003809000098	12.902190222266	12.8198887894596	12.8113300908592	12.8719890631107	12.7730521843943	12.9012295740133	12.8006071709782
81	6.88448802974188	7.99812214773888	6.87827166957423	6.72231573591	7.12707606735523	7.6207989870469	6.91226662806645	7.09947405713443	6.95575451002314	7.05481592484496	7.18435964839982	7.39013455471603	7.34315906032791	7.17594369621402	7.23022223072352	7.21233587416207
86	8.21685254094288	9.28650000644708	9.10125085955044	8.70621625832702	8.16410241248175	9.21469067621909	9.23720996075502	9.26616342419923	8.760656750218	8.8638981960945	9.51566239079561	9.07771032480507	9.07608872313551	8.51618459696994	9.80614519182	9.07163129279153
87	8.09237131373559	9.20558556454484	8.79704541216222	8.47619736923364	8.83919591310252	8.45626199751931	8.85100408121822	8.77825950883798	8.74261259758287	8.6627306743901	8.93621979127659	8.51588509050696	8.99402384240421	8.71215037176689	8.64827668095405	8.79230877344294
90	5.41473427603591	6.23018571752616	5.96811149351815	6.06738703205342	6.32773406420589	6.46350312094974	6.30572798487526	6.5169842897835	6.0424714312523	6.6864725134153	6.38050955094925	6.4763946497286	6.50522244894399	6.1109081604205	6.63471232652953	6.60799897739286
91	7.09365524284735	6.28443639973627	6.39171789278531	6.66589014673996	6.64251097102726	6.60843817400096	7.13602728516192	6.52465297358116	6.8360250997816	6.65230005110661	6.67167551148722	6.75672976907347	6.75003027641347	6.81895278906489	5.94115796902368	6.45542915071223
93	4.90753629756965	4.72639256670258	4.86916641525887	5.14133060186141	4.59179010387343	5.25344475026249	4.79724441322446	4.83110072250804	4.75084657675376	4.39219375790383	5.08461707854059	4.63428250959799	4.74130787667921	4.81728044881538	4.93761510749628	4.38274125294178
95	8.04801270932435	7.85059317338734	7.87939945509812	7.78250685566339	8.0368110055389	8.13514492167217	7.66335173603678	8.00935277138153	7.94099477015286	8.09802155230136	7.879656760863	8.02456901727192	7.81169579189562	8.0235547736107	7.4771430170512	7.80199929328525
97	8.5199192606225	7.93841518632136	8.24291208436506	8.69921151749967	8.3820576441005	8.67011447294733	8.0946847306017	8.56835518484107	8.255557382365	8.40380028258606	8.40416231129386	8.49327905648374	8.16494714061113	8.78813428591141	8.20056516544571	8.32986359516302
98	4.97470826164787	4.89168164791742	5.48722906980423	4.91261633573838	5.31491400097879	5.2282030092571	5.08851477638574	5.54009858366137	4.78483373402105	5.14540845307687	6.07691604787506	4.85483348395161	5.08801011290765	5.07065122196868	5.67910002245794	5.43197723890306
100	5.69417259740856	5.16441220356143	5.79341473061739	5.9200741158872	5.94907497147709	6.13375256295658	5.65759427722351	5.78800178206355	5.91245586397502	5.95022810049277	5.58373268029255	6.05607190516211	6.06350509944426	6.38505650912902	5.28236566666567	5.90488385449328
101	5.72440607329434	5.24981696544229	5.18677983092085	5.55262145513374	6.11035906695604	5.62484515900039	5.60059684467235	5.69142808050128	5.94089848590151	5.92700752907241	5.44320547874578	5.55164520841426	5.89618222259076	5.9410264720977	5.23090428110796	5.82987111894494
102	7.44929806699488	7.42970884934934	7.52603645920251	7.47032617198195	7.33971700758222	7.71508524234935	7.82545196141524	7.88949078110874	7.60963284159806	7.48507577160604	7.81816118355498	7.66292230072384	7.76895730514255	7.31384110676477	7.62890358157257	7.67402297257696
103	10.7303512521767	10.6391688413259	10.723456171268	10.7819989480979	10.8635203699545	10.5345071606137	10.5657494793688	10.5657685161777	10.7726692237907	10.573230601226	10.4868048603758	10.573268477676	10.6045902920594	10.8392746611125	10.2852866136664	10.6289831468902
104	5.79400509469432	5.37551214070374	5.70697804459411	5.38674887890685	5.59292639743107	4.63605032812794	5.16266926626276	5.36509058890934	5.20574829427041	5.3034045026918	5.33633338138082	5.22142471831072	5.21239424387627	5.60788952712495	5.26285030018877	5.84970909050787
109	7.00969539631155	6.67760619449366	6.83784235059822	7.01408186028711	7.08237474425039	6.95620363342584	7.09987429144173	7.25866637131292	6.58668819383463	6.7948479602862	6.06181615191106	6.94773744829238	6.98273295367163	6.99873878137303	6.70034052944738	7.01133125992143
113	6.30602704609831	6.95580099758649	6.87329645173524	6.44847977333124	5.98530459666449	7.19610536542558	7.17565433401932	7.07691177351438	6.62977333845722	6.80789583128379	7.15395729735659	6.69156208057483	7.40008530865423	6.66112250219943	7.36367046600146	7.23011653209153
115	3.96508238707886	3.48493725829624	4.00445644776412	4.33289407583051	3.84669388527406	3.84045316266482	4.3438270668313	4.26055264035358	4.1255105940422	4.36616831856687	4.08835364252704	4.00506757263407	4.37631122334987	4.33690461285062	3.42170804411711	4.15021845834575
118	7.39880667043597	7.49737232223828	7.38895810375514	7.48103624930231	7.72042121346552	7.37981760733791	7.37013899129766	7.37495483710941	7.61751693177451	7.68598101675344	7.31846327287375	7.47291336870398	7.79342058342926	7.65890790303376	7.32858906609457	7.51393757075676
119	3.64577081775724	3.74154248996022	3.93178704836717	3.12520969640657	3.19045841491571	3.49697358099828	2.96761315477005	2.88847635606677	3.07688569963997	3.05198107241094	3.86883489863698	3.06781938659665	3.53372529970731	3.33816765925608	3.49697358099828	3.49697358099828
120	8.42751294264175	8.84905005262915	8.60517668700071	8.51160541230795	8.90093773371315	8.77715748810894	8.84711686974021	8.97011308249376	8.93338305374099	8.78658574419122	8.77437692018341	8.56593793271099	9.08182359972635	8.76157117739934	8.87937801087945	8.93608062721581
123	8.68277342369557	8.32341961130955	8.2715097163088	8.48966334787167	8.67354229093658	8.40198024496351	8.51592450280469	8.80263591160484	8.39347626574954	8.6172286799641	8.43389001272392	8.6502906662426	8.74212413935775	8.28699200636493	8.44681863896132	8.50547018816217
128	8.59529981977727	8.31398497106129	8.51967320423208	8.42949001577864	8.49965457781943	8.49048007952733	8.50832960646938	8.49629655987489	8.43661473467661	8.45873223387504	8.67211237049942	8.52942860191879	8.5830617006158	8.56394040793235	8.5058671174454	8.40282448234074
132	9.02394046419943	8.58881618275021	8.88400349268093	8.98764972152639	9.00964389579945	8.76028665813201	8.59919112826234	8.78522112797039	8.79307490166277	9.04094964757767	8.69562832721097	8.65622194208424	8.64078973094656	8.88149454941636	8.46841245928106	8.65612449401041
135	6.58268244403346	6.28351993911357	6.63249652719248	5.98823249573516	6.65426367208226	6.09719781662937	6.21845571114302	6.13417164409928	6.50937281434517	6.66085162575993	6.60221336980378	5.81165597957706	6.14976540707239	6.40325408621587	6.1301030590212	6.5683893890835
141	1.97160057089102	2.31614574229336	2.31814905952418	2.38541170909221	2.75309745025107	2.25577262910388	2.28363735264331	2.38768512579255	2.35784473644777	2.36628584038504	2.25351433875642	2.22520396579336	2.2434162216291	2.35078292899133	2.30149107352038	2.1025674352275
142	9.93872980164872	9.61122956429615	10.1482731923297	9.91066971048824	10.1422985527842	10.3137673556389	10.0201326796026	10.2812113974623	10.0768556713565	10.1697246132149	10.0876617285113	10.0676898013825	10.2609900793728	10.1415835065936	10.0476147267389	10.1010958707305
143	5.80699935696717	6.31390790268655	6.53083703286456	5.97105375919412	6.70125793806615	6.36654778165376	6.49589179316211	6.27147983590403	6.38185784395009	5.78965362004379	6.10693871192543	6.17086244858157	6.92520429349968	6.0576127286945	5.65606441265178	6.7939348878356
156	7.9776863398523	7.00713942541388	7.74724639966955	7.20504055507438	8.39517422009331	8.07953811722328	7.65417056795258	7.16914332990667	8.20819533309404	7.82506689883662	8.00740296361873	7.9026946729779	8.14524947370006	8.29598469129167	7.51990353942446	7.35426701600145
157	3.21266271414878	3.61757472214783	4.25008614370965	3.81386941733603	3.6790589118284	3.55969492645252	3.68099940717571	3.52320562910734	3.55429475748081	3.84732048470577	3.75915689930582	4.11836637123965	3.68605784603747	3.66486394368227	4.17797637558401	3.72965228198329
158	11.2236427651976	11.1510768085343	11.0831867696439	11.10862572937	11.0913824909436	10.9520495777324	10.9123504698226	10.9968794764633	11.0540615943425	11.0475567920377	11.0923838679564	10.9508547569276	11.0320388372532	11.1694960114079	10.8063079442836	10.8874110325532
159	8.05007174160662	8.33719371257045	8.4787736634646	8.23145160943605	7.79964427368109	8.54921094064537	8.54636203032736	8.6514248774461	8.26802728683301	8.37423964377229	8.93636704021584	8.2215291223084	8.4340819015183	8.02241220296218	8.97814127585444	8.46931620756914
160	3.6766510527412	4.18507363787676	4.38837554601491	3.23891064484674	5.21788598529557	4.75902796742139	3.97812239457207	3.79301147974113	4.40100235890679	4.63885580927779	4.48025219462163	4.19828983595251	5.04113782569983	4.33118926189809	4.06775916587012	3.79142860655586
161	6.61274713137738	6.37370736549023	6.60277110620207	6.48713525855611	6.77389921060846	6.80406173573093	6.32696451839741	6.41644963468687	6.72237813033449	6.65277567418455	6.4919460670144	6.45723092402829	6.96872937581429	6.7841073966787	5.89735338385151	6.43463545499262
162	7.01235636539623	7.20964831124655	7.50314993743243	6.98251449759634	7.59941450578006	7.13636572328285	6.93222656518545	7.27089330767716	7.50380189159965	7.34264363118553	7.08176569137544	7.30452929441515	7.34677078034912	7.36406459831272	7.0553366711374	7.05937691095712
163	7.6011839359471	6.98094497655173	7.47410339977425	7.5154593690709	7.85713502936527	7.72503217523837	7.21717254186066	7.62604117250323	7.58957999302552	7.44956962799375	7.43370227072548	7.79079484039424	7.60587949101898	7.67696198379207	7.1714870750994	7.58782626153598
164	7.67219501099525	7.27427564079243	7.60098355907269	7.68009786295281	7.68580072042225	7.42967091499649	7.61875500023192	7.55250977112868	7.6334447730978	7.72272785350358	7.39151484358856	7.61121738977432	7.58285402483684	7.72476735408889	7.43333506019865	7.73015082384196
166	8.26835017401977	7.34910869230193	8.17949612164459	8.23199873019795	8.48574882137778	8.21200020246849	8.40040130426606	8.43467409293497	8.78687402782842	8.4693691241415	8.54433082115158	8.06052841804419	9.14728634458704	8.98580778997104	8.1674131277533	8.2791880405046
172	5.17025558117837	5.88182855262441	5.78854346973825	5.54369538470444	5.3971492209	5.2328717738765	5.83151246880648	5.85637946125227	5.72762916408407	5.91586504142251	5.88208664865599	6.02863434604191	5.38632467906174	5.18696598307571	5.57788346969788	5.7546376805601
