Gene	GMA2a	GMA2b	GMA2c	GMA2d	GMA2e	GMA3a	GMA3b	GMA3c	GMA3d	GMA3e	GMA4a	GMA4b	GMA4c	GMA4d	GMA4e	GMA2a.1	GMA2b.1	GMA2c.1	GMA2d.1	GMA2e.1	GMA3a.1	GMA3b.1	GMA3c.1	GMA3d.1	GMA3e.1	GMA4a.1	GMA4b.1	GMA4c.1	GMA4d.1	GMA4e.1
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11472 -1.1693346 -1.3410872 -1.6626363 -1.1795891 -1.6846109 -1.4095174 -1.8052837 -1.3632802 -1.6277501 -1.1047399 -1.3254949 -1.7501977 -1.6105721 -1.6355766 -1.4595006 -1.1693346 -1.3410872 -1.6626363 -1.1795891 -1.6846109 -1.4095174 -1.8052837 -1.3632802 -1.6277501 -1.1047399 -1.3254949 -1.7501977 -1.6105721 -1.6355766 -1.4595006
11474 -0.5228944 -0.6361114 -0.5925001 -0.5729711 -0.6107697 -0.5263304 -0.9036297 -0.7185951 -0.5516041 -0.351501 -0.6196062 -0.9446012 -0.9266199 -0.6976935 -0.8499594 -0.5228944 -0.6361114 -0.5925001 -0.5729711 -0.6107697 -0.5263304 -0.9036297 -0.7185951 -0.5516041 -0.351501 -0.6196062 -0.9446012 -0.9266199 -0.6976935 -0.8499594
11475 0.6814707 0.58511957 0.45414249 0.5331133 0.65688199 0.57644936 0.47372592 0.41482992 0.49443036 0.51947998 0.39636605 0.52564788 0.46614298 0.46800695 0.43226908 0.6814707 0.58511957 0.45414249 0.5331133 0.65688199 0.57644936 0.47372592 0.41482992 0.49443036 0.51947998 0.39636605 0.52564788 0.46614298 0.46800695 0.43226908
11479 0.13926612 0.13449997 0.24213568 -0.0122194 0.20292146 -0.0076005 0.0741998 0.02735472 -0.1714699 -0.1180449 -0.0422353 0.15699002 0.15565309 0.0192008 0.16071136 0.13926612 0.13449997 0.24213568 -0.0122194 0.20292146 -0.0076005 0.0741998 0.02735472 -0.1714699 -0.1180449 -0.0422353 0.15699002 0.15565309 0.0192008 0.16071136
11481 -0.8908185 -0.8046109 -0.5901728 -0.5690616 -0.7876831 -0.7424148 -0.8438235 -0.8708708 -0.8179875 -0.7757594 -0.8205886 -0.8177522 -0.8368324 -0.8275733 -0.6979233 -0.8908185 -0.8046109 -0.5901728 -0.5690616 -0.7876831 -0.7424148 -0.8438235 -0.8708708 -0.8179875 -0.7757594 -0.8205886 -0.8177522 -0.8368324 -0.8275733 -0.6979233
11487 2.20847628 1.97123903 2.08907643 1.54254908 1.88958428 1.94894679 1.83459376 1.77955316 2.09871288 2.0540473 1.95720864 1.77105475 2.03624346 2.0809692 1.77700046 2.20847628 1.97123903 2.08907643 1.54254908 1.88958428 1.94894679 1.83459376 1.77955316 2.09871288 2.0540473 1.95720864 1.77105475 2.03624346 2.0809692 1.77700046
11490 0.71924916 0.95468543 0.84366976 0.97815369 0.78481639 0.93601749 1.06405749 0.97011509 0.83928841 0.72382978 0.97924589 1.02367225 0.85685341 0.86979623 0.94018936 0.71924916 0.95468543 0.84366976 0.97815369 0.78481639 0.93601749 1.06405749 0.97011509 0.83928841 0.72382978 0.97924589 1.02367225 0.85685341 0.86979623 0.94018936
11491 -0.736237228 -0.487130533 -0.46077134 -0.649461303 -0.550003628 -0.569241438 -0.54375423 -0.557005903 -0.636492593 -0.749997073 -0.523161543 -0.505661265 -0.657271038 -0.567549155 -0.467096125 -0.736237228 -0.487130533 -0.46077134 -0.649461303 -0.550003628 -0.569241438 -0.54375423 -0.557005903 -0.636492593 -0.749997073 -0.523161543 -0.505661265 -0.657271038 -0.567549155 -0.467096125
11492 -1.3092484 -1.0431305 -1.0611754 -0.8644732 -1.0453127 -1.145476 -0.7502455 -0.570575 -1.220312 -1.0419907 -0.9482811 -0.9874292 -0.8944864 -1.1479553 -1.0983437 -1.3092484 -1.0431305 -1.0611754 -0.8644732 -1.0453127 -1.145476 -0.7502455 -0.570575 -1.220312 -1.0419907 -0.9482811 -0.9874292 -0.8944864 -1.1479553 -1.0983437
11496 -0.2607246 -0.268674985 -0.165487875 -0.234726995 -0.394561565 -0.138426185 -0.20472501 -0.33516342 -0.219649315 -0.262409145 -0.41661498 -0.37510644 -0.175526755 -0.2564697 -0.09777031 -0.2607246 -0.268674985 -0.165487875 -0.234726995 -0.394561565 -0.138426185 -0.20472501 -0.33516342 -0.219649315 -0.262409145 -0.41661498 -0.37510644 -0.175526755 -0.2564697 -0.09777031
