Gene	AdFA2a	AdFA2b	AdFA2c	AdFA2d	AdFA2e	AdFA3a	AdFA3b	AdFA3c	AdFA3d	AdFA3e	AdFA4a	AdFA4b	AdFA4c	AdFA4d	AdFA4e	AdMA2a	AdMA2b	AdMA2c	AdMA2d	AdMA2e	AdMA3a	AdMA3b	AdMA3c	AdMA3d	AdMA3e	AdMA4a	AdMA4b	AdMA4c	AdMA4d	AdMA4e
26451 -0.063310005 -0.02408058 0.00558985 0.15094285 -0.132544735 0.21876505 0.023403985 0.106226925 -0.005363015 -0.1933132 0.088157765 0.115307475 -0.03247787 -0.04310928 0.045510605 -0.133613705 0.258028265 0.013926525 -0.156891715 -0.034285075 -0.165968225 0.04307548 0.0062892 -0.10095366 0.02673237 0.12900957 0.10227781 -0.07315208 -0.12104003 -0.041854915
26456 -0.3254015 -0.3665018 -0.3802771 -0.3239812 -0.6158718 -0.2258511 -0.3971244 -0.3514732 -0.3714195 -0.4796654 -0.2533152 -0.1684865 -0.5369809 -0.5433019 -0.0076928 -0.5252759 -0.4288432 -0.1297546 -0.743709 -0.6186538 -0.5806337 -0.2820444 -0.778774 -0.5640354 -0.3791896 -0.4438731 -0.1270274 -0.4801093 -0.4601531 -0.6727804
26554 -0.671457 -0.50260365 -0.8414872 -0.98796195 -0.77944515 -0.69713945 -0.5799556 -0.51280855 -0.81595405 -0.80660595 -0.83367155 -0.7778911 -0.761195 -0.88938105 -0.54638985 -0.78419585 -0.5102102 -0.7030222 -1.1279995 -0.9368508 -0.62613855 -0.7610826 -0.8585237 -0.95991015 -1.037315 -0.239266 -0.8157051 -0.6573097 -0.67806795 -1.0400359
26557 0.123415845 0.31233713 0.20797721 0.17450338 0.115756675 0.301319835 0.078622765 0.289304925 0.21294481 0.24940994 0.38514493 0.368497395 0.343031615 0.24953469 0.400717805 0.092678555 0.323962475 0.10480403 0.120404135 0.230505535 0.0843721 0.25496592 0.366955875 0.138373565 0.145165185 0.206384005 0.32727325 0.33870641 0.117017995 0.13798714
26559 0.399109475 0.320833025 0.441834625 0.41185224 0.49634853 0.38632031 0.49857572 0.457364945 0.44049522 0.336357635 0.55486068 0.47800738 0.424708625 0.49561038 0.430929355 0.29672385 0.34197348 0.33175673 0.272417495 0.442398645 0.256679585 0.48258015 0.428577775 0.48103092 0.373668015 0.421416445 0.51266985 0.43987574 0.320880755 0.356147275
26561 -0.4948109 -0.526515 -0.5166645 -0.421393 -0.2977176 -0.4406323 -0.2126445 -0.3666381 -0.3660004 -0.3397839 -0.5324734 -0.3644698 -0.6072164 -0.2951424 -0.1604989 -0.424649 -0.3978067 -0.2742171 -0.4455098 -0.3520068 -0.6186661 -0.0355585 -0.1695503 -0.2894381 -0.6451936 -0.0794057 -0.4170877 -0.4909205 -0.4246654 -0.399051
26563 -3.66927515 -3.26684965 -2.5580128 -2.7721434 -2.5251694 -2.6586511 -2.82360775 -2.1639431 -1.9543701 -2.91884575 -2.8494436 -2.9056871 -2.8982726 -3.1724999 -2.4524011 -2.3173738 -2.8527263 -2.52236155 -2.22727815 -2.1947777 -4.25595195 -1.4709091 -2.4698522 -2.484672 -2.7582492 -2.32324795 -2.3070177 -2.16198055 -2.8123025 -1.91202
26569 0.83347167 0.68691371 0.5522988 0.36071534 0.83737957 0.84639373 0.94491042 0.87249981 0.68521286 0.60815574 0.8583659 0.77263443 0.64997264 0.543567 0.80297347 0.7769212 0.6231893 0.62376137 0.70560014 0.50750829 0.64339402 0.51503193 0.64941799 0.57355563 0.55620318 0.8449808 0.65336155 0.7583543 0.82815372 0.68091989
26572 -1.1505862 -0.9647934 -1.1625838 -0.8865492 -1.4754556 -0.7069419 -1.1663494 -1.6803235 -1.2620421 -1.0698797 -1.0113301 -1.3847287 -1.2911606 -1.350396 -1.2831225 -0.7252238 -1.2542653 -0.6848041 -0.8122284 -0.8818764 0.00352814 -1.2430541 -1.253749 -1.1131982 -1.171864 -1.1893221 -1.1719381 -0.7046055 -1.1193679 -1.0281385
26611 -0.4137681 -0.4069966 -0.3519734 -0.3163202 -0.4738425 -0.3329043 -0.1738604 -0.2442479 -0.5294619 -0.4656957 -0.2054841 -0.2459328 -0.3559346 -0.4614087 -0.259843 -0.5265573 -0.5164394 -0.3449774 -0.309247 -0.3280882 -0.5947947 -0.3473304 -0.3325435 -0.4578787 -0.4171525 -0.377063 -0.4257456 -0.3038148 -0.4471629 -0.3737789
26885 -0.50821818 -0.5101911 -0.706892225 -0.5957444 -0.65173896 -0.79586814 -0.5452785 -0.604451905 -0.556578235 -0.49042232 -0.621077505 -0.56077469 -0.448015125 -0.4648395 -0.572951485 -0.127821305 -0.590384895 -0.762784665 -0.570407845 -0.4364708 -0.4791196 -0.4111309 -0.76406415 -0.520960495 -0.58593897 -0.546061135 -0.60554487 -0.590100565 -0.556229125 -0.57091366
26886 1.08739538 1.27803844 1.04858859 1.30314486 1.19991754 1.06389207 1.188254 1.35352831 1.45197226 1.40642449 1.22611396 1.12871575 1.3702901 1.1227576 1.0941404 1.42894264 1.25152244 1.12483336 1.41580177 1.47630639 1.61905097 1.53683817 1.17552887 1.48859388 1.3002404 1.03147168 1.18057173 1.46003924 1.54909136 1.44501353
26891 -0.6382997 -0.5396223 -0.463323 -0.518848 -0.7097968 -0.2505209 -0.3511489 -0.601926 -0.5918743 -0.689517 -0.4601577 -0.3207058 -0.5612027 -0.7285043 -0.5971514 -2.2311913 -0.4530081 -0.3969097 -0.8388744 -0.5932921 -0.7198552 -0.7955121 -0.3513647 -0.7380527 -0.6248275 -0.3679674 -0.3303269 -0.6147543 -0.8444048 -0.8016072
26893 0.29604019 0.16586199 0.17096348 0.10389744 0.21142899 0.17317641 0.31916641 0.27770875 0.26783665 0.09687081 0.25164705 0.22691835 0.10261543 0.14155469 0.25467106 -0.0363128 0.10797066 0.21496488 0.14246284 -0.0202028 0.0471362 0.14421579 0.13527871 0.09165503 0.16857804 0.05948367 0.32948697 0.04829473 -0.0024563 0.18760322
26895 -0.818595 -0.9603495 -1.0429354 -0.7825578 -0.8723357 -1.0227035 -0.5804455 -0.873497 -0.69044 -0.963291 -0.892913 -0.391738 -0.7345346 -0.8455599 -1.01725 -0.6325252 -1.2884237 -1.1010045 -0.7424444 -0.870146 -0.1586871 -0.9796514 -1.0092812 -0.8626605 -0.1886868 -1.0972127 -0.7827909 -0.2700649 -0.5063474 -0.9824086
26896 0.46834466 0.352037763 0.482444283 0.570861847 0.446316303 0.51829668 0.46076746 0.382113057 0.510376477 0.454925053 0.538263857 0.53597624 0.457836137 0.50813752 0.37010474 0.395514243 0.435102953 0.598021267 0.56247681 0.559277233 0.44276368 0.352793447 0.503707633 0.566602873 0.562022687 0.446050797 0.398899137 0.316132693 0.38108635 0.522242043
26900 0.036550725 0.16339502 0.133200795 -0.075001465 -0.052889415 -0.05327236 -0.154504695 -0.05245123 -0.03198958 0.06604032 -0.03199732 -0.032978475 -0.0605601 0.07196283 -0.085234235 -0.019721815 -0.032526845 -0.11264272 -0.13019911 -0.21002332 -0.132291905 -0.24619383 -0.086470395 -0.059128705 -0.00720741 0.09175535 0.010567335 0.015759925 -0.120195255 0.00113225
26901 -1.016783 -0.6617178 -0.8536375 -0.7823501 -0.7580349 -0.7617021 -0.8747202 -0.7886836 -0.6810139 -0.8104678 -0.3037501 -0.5704971 -1.7319759 -0.8712932 -0.431327 -0.3471611 -0.468456 -0.4281265 -0.6215085 -0.5943556 -1.6094719 -0.88929 -0.5234247 -0.6792561 -0.6002232 -0.442408 -1.1901262 -0.6817492 -0.5109914 -0.8338369
26903 -0.5145076 -0.3138024 -0.2173683 -0.2766032 -0.4764471 -0.497524 -0.2860213 -0.3466311 -0.426885 -0.3648149 -0.3945385 -0.3241933 -0.6353608 -0.5763736 -0.4966918 -0.589859 -0.2800509 -0.3748986 -0.7561367 -0.2324349 -0.5810421 -0.5457002 -0.5446516 -0.5314602 -0.5074105 -0.3086818 -0.3681622 -0.3360536 -0.6080122 -0.7220496
26905 -0.7355707 -0.9752086 -0.6986335 -0.9105451 -0.6696788 -0.6534059 -0.5309204 -0.8103861 -0.623233 -0.8040946 -0.796553 -0.7444311 -0.7936156 -0.710267 -0.3258174 -0.8764523 -0.6399113 -0.6196564 -0.8427944 -0.8054886 -0.0703393 -0.7288171 -0.6957408 -0.6097238 -0.6059897 -0.6869953 -0.4128736 -0.9094364 -0.9720332 -0.7745959
26908 -0.4776505 -0.4969234 -0.7743771 -0.6407394 -0.7069156 -0.222894 -0.4312019 -0.4752381 -0.7123631 -0.5953398 -0.5419766 -0.4693022 -0.6891371 -0.8286884 -0.6258042 -0.7240057 -0.3937479 -0.5971905 -0.8635559 -0.2586895 -0.9117076 -0.5702774 -0.5418444 -0.5854971 -0.6513647 -0.3753615 -0.60065 -0.4886227 -0.9130098 -0.7384751
26909 -0.33231315 -0.26902845 -0.36928435 -0.2605091 -0.2616647 -0.2676913 -0.1718918 -0.4708203 -0.17057165 -0.39109625 -0.1957916 -0.4937268 -0.20279715 -0.30732475 -0.48014155 -0.22780335 -0.34013995 -0.30215115 -0.21019532 0.05689761 -0.18069855 -0.2388045 -0.4883824 -0.085891405 -0.18346228 -0.4480374 -0.25111105 -0.2102136 0.03171252 -0.24754671
26914 -0.4290187 -0.3902845 -0.253083 -0.3418853 -0.4640507 -0.4512932 -0.6016221 -0.4663323 -0.2738531 -0.3937129 -0.3390409 -0.303276 -0.223617 -0.1952619 0.00626551 -0.3324604 -0.4667329 -0.5900918 -0.5060604 -0.4106797 -0.7078221 -0.1553756 -0.3688242 -0.1100514 0.1102025 -0.2044686 -0.1964242 -0.6207419 -0.4818915 -0.4095494
26920 -1.6660819 -1.4715421 -1.3536503 -1.3981645 -1.7553203 -1.3716351 -2.2911543 -0.8972054 -2.5354274 -1.098611 -1.3994603 -1.4464797 -1.3930484 -1.3771868 -1.1698413 -0.5420489 -0.7904795 -1.3285737 -1.0218946 -0.5237788 -0.9029001 -1.3234844 -1.642819 -1.9395642 -1.6466358 -1.549894 -1.4332175 -1.0948267 0.19861341 -1.41213
26922 -0.68735 -0.7197387 -0.8244802 -0.5523334 -0.8348721 -0.0432747 -0.6007182 -0.6104085 -0.6992345 -0.6740933 -0.4084401 -0.4215246 -0.6036432 -0.8832935 -0.2241821 -0.1315871 -0.1715668 -0.4235096 -0.4269334 -0.9472465 -1.010443 -0.3490742 -0.4547801 -0.7039078 -0.0324484 -0.5498969 -0.3113204 -0.3738882 -0.6512135 -0.5711447
26926 -0.14341982 -0.06967651 -0.11575884 0.032272755 -0.357257435 -0.00130613 -0.16947048 -0.37141135 -0.27476489 0.018451785 -0.23290771 -0.315814315 -0.099290175 0.062035305 0.52981024 -0.116520035 -0.09678582 0.0806115 -0.31552076 -0.10582344 -0.286936715 -0.40033785 -0.124256525 0.06944116 -0.287293865 -0.20318285 -0.16281753 -0.23953525 -0.577772325 0.196017515
26931 0.166801105 0.171912435 0.293807713 0.321520138 0.27601063 0.169657735 0.180077235 0.211143198 0.34649169 0.335401658 0.088135983 0.22949355 0.406582925 0.29169306 0.09036334 -0.000505078 0.167157388 0.31204667 0.35651185 0.236359365 0.197100425 0.28087612 0.08941826 0.234052573 0.303763158 0.019324478 0.265489838 0.128160238 -0.028567245 0.313685548
26932 -0.133557225 -0.218789585 -0.085121615 -0.170646533 0.158332038 -0.212719518 -0.202750758 -0.19435173 -0.194962615 -0.13741279 -0.22571261 -0.11067439 -0.047993978 -0.091842408 -0.421099763 -0.494451475 -0.30854132 0.003062285 -0.153582845 -0.132719765 -0.088021868 -0.271338963 -0.257539893 -0.097202185 -0.047895398 -0.37557629 -0.077587023 -0.257163515 -0.121133035 -0.897881083
26934 -0.4786585 -0.483202 -0.374678 -0.3880884 -0.7305546 -0.2114152 -0.4306747 -0.4426042 -0.6656373 -0.4322864 -0.4377916 -0.3475986 -0.7272893 -0.5997804 -0.6105545 -0.4554036 -0.3548693 -0.67616 -0.8122749 -0.6763954 -0.6882541 -0.5974412 -0.3683181 -0.4918334 -0.7270019 -0.234564 -0.4772363 -0.4915746 -0.5131912 -0.6264453
26936 0.00211656 0.103876557 0.00523612 -0.034537533 -0.002659137 0.238095297 0.032314023 0.123448247 -0.163717753 -0.118633033 0.154147813 -0.036240243 0.016744943 -0.052144357 0.040593023 0.112025383 0.11407323 -0.044382807 0.01861118 0.086746787 -0.237449043 0.038658637 0.1187221 -0.08658202 -0.10423179 0.344179713 0.083958573 -0.012028447 -0.028395777 -0.048254827
26938 0.70128599 0.69738863 0.76149166 0.93785022 0.74119662 0.6061273 0.73394209 0.74339906 0.81881714 0.76923883 0.71587653 0.57841113 0.74203961 0.91076995 0.64198895 0.86294826 0.71157067 0.83193896 1.07817993 1.04103156 0.74831445 0.99624489 0.78813245 1.18704166 0.94746412 0.71208601 0.66384246 0.67216242 0.77921419 0.93501007
26941 0.81361055 0.831553135 0.764260685 0.8750643 0.84418772 0.755661015 0.62890929 0.748328505 0.911401195 0.820502085 0.626326635 0.57225234 0.78009413 0.92079552 0.78037457 1.01792568 0.774628095 0.82670059 0.869915035 0.796544135 0.905620605 0.72797834 0.776045795 0.83419761 0.95800396 0.76419018 0.686369145 0.833727225 0.722620285 0.913055255
26943 -0.8470762 -0.9193551 -0.6923622 -0.9314888 -0.8390905 -0.7700662 -0.8974925 -0.7495586 -0.7702386 -0.713733 -0.7070852 -0.9304031 -0.7566154 -0.8405774 -0.7546452 -1.4405004 -0.8577005 -0.3959461 -0.3559531 -0.9368517 -0.2862176 -1.0698111 -0.402168 -1.7952936 -0.7991614 -0.7384041 -0.8679813 -0.7044085 -0.5966177 -0.3819977
26944 -0.4106313 -0.7529031 -0.4000254 -0.4717449 -0.469825 -1.0609231 -0.7364646 -0.7647077 -0.5293389 -0.5243999 -0.9284277 -0.6577281 -0.5037042 -0.5468065 -0.916276 -1.0513061 -0.8619061 -0.5411981 -0.883299 -0.6911786 -0.8489093 -1.7635149 -1.0435156 -0.5875013 -0.6862114 -0.0327089 -0.7148103 -0.6754884 -0.9408676 -0.7315446
26951 1.40445269 1.58961681 1.60324876 1.39694133 1.40860558 1.18923067 1.43191892 1.33043116 1.46862674 1.63461539 1.32738699 1.44426289 1.35189454 1.2968924 1.19732027 1.38728238 1.3179954 1.48056298 1.48034835 1.55042635 1.41026543 1.26271683 1.35130843 1.43835706 1.5265637 1.25572856 1.3385561 1.37686963 1.33737912 1.3605856
26961 0.486989635 0.537016955 0.478374135 0.519587665 0.37859211 0.70066473 0.492558945 0.4726949 0.341993275 0.37117265 0.631307575 0.53190301 0.529996315 0.355449655 0.628268395 0.405547775 0.502371425 0.394451445 0.252204965 0.321398195 0.335849225 0.47533556 0.44495186 0.39135408 0.33237199 0.47130284 0.4469211 0.416630615 0.725845565 0.24459329
26987 0.81904159 0.99986917 0.85975943 0.87661264 0.81562822 1.04850934 0.99904083 0.87271971 0.71575642 0.70780795 0.76319882 0.90219527 0.8080442 0.7253336 0.98396234 0.91645381 0.97896757 0.61992385 0.71563913 0.91914602 0.80226153 0.94409293 0.96768637 0.88583644 0.78391299 0.98655269 0.86387398 0.9796939 0.97133974 0.6010922
26992 -0.6125849 -0.8526611 -0.55971 -0.6048518 -0.446705 -0.5724054 -0.4722013 -0.640747 -1.0756346 -0.8957691 -0.8424958 -0.5717992 -0.3050093 -0.6777745 -0.2905622 -0.7340506 -0.5176826 -0.8029859 -0.779051 -0.5906222 -0.9139447 -0.6278974 -0.6630114 -0.8523615 -0.8104175 -0.2810985 -0.6624626 -0.5363697 -1.0656071 -0.6889531
27008 -0.0571291 -0.1093678 -0.0741367 -0.2377475 -0.0533054 -0.1930046 -0.1650189 -0.1534161 -0.0886158 -0.1741754 -0.2733539 -0.1209427 -0.2600306 -0.176513 -0.6162114 -0.132816 -0.2717072 -0.0757075 -0.2329387 -0.2422958 -0.36072 -0.2876382 -0.2963872 -0.3343445 -0.2008023 -0.0931859 -0.1436864 -0.1418093 -0.2833055 -0.486572
27027 -0.7360207 -0.6811374 -0.5272906 -0.5457728 -0.4259276 -0.4238408 -0.3290309 -0.4112545 -0.4844452 -0.8786185 -0.3099051 -0.2275654 -0.4158872 -0.4113222 -0.5195594 -0.6917459 -0.5757335 -0.3823951 -0.5815078 -0.6492247 -0.67704 -0.847808 -0.5282738 -0.4544427 -0.5280102 -0.4964301 -0.2123411 -0.5706611 -0.5825822 -0.4791526
27041 -0.42832725 -0.64290465 -0.44474455 -0.47423435 -0.29614275 -0.4764656 -0.72640015 -0.49249465 -0.31934595 -0.4280935 -0.4152994 -0.5430649 -0.34819205 -0.41396185 -0.5843518 -0.9513664 -0.58656145 -0.5018989 -0.48029815 -0.2912805 -0.39136015 -0.51708035 -0.7626902 -0.28231713 -0.476741 -0.64649745 -0.3147937 -0.6225101 -0.078284535 -0.26191745
27045 -0.0928691 -0.1674304 -0.036873 -0.1827823 -0.0091368 -0.1076428 -0.1213323 -0.2482832 -0.1094249 -0.0988807 -0.2272637 -0.0868687 -0.2699375 0.03542094 -0.1069403 -0.5448057 -0.469144 -0.0190035 0.07121114 -0.1291125 -0.1882807 -0.1237948 -0.2232246 0.02337537 -0.0784457 -0.2263761 -0.0883226 -0.2590289 -0.3331413 -0.132287
27053 -0.7831336 -1.1029249 -1.2920807 -0.8786198 -1.3183473 -0.8350032 -1.1451534 -1.0269496 -0.964055 -0.9413916 -0.805689 -1.0607889 -1.0844919 -1.6356729 -1.1480269 -0.3682318 -1.3710157 -0.9549175 -0.8549205 -0.7208352 -0.2925181 -0.7862952 -0.9103698 -1.4212436 -0.735076 -0.8464683 -1.2239038 -1.0829865 -1.7489984 -0.8793538
27054 -0.1824956 -0.2022289 -0.1159173 -0.1076076 -0.1618587 -0.2959737 0.11963668 -0.2219389 -0.0352674 -0.1427825 -0.1581875 0.00037488 -0.1476635 -0.1018582 -0.0889774 -0.5913459 -0.2437996 -0.0291656 -0.0275752 -0.3536658 -0.1433639 -0.1097963 -0.1227233 -0.2498022 -0.0197896 -0.2742764 -0.0362353 -0.1392572 -0.1274737 -0.1105711
27055 -0.2887036 -0.3606528 -0.2163412 -0.3180606 -0.1464775 -0.1388565 -0.2879426 -0.3159221 -0.1314453 -0.1107898 -0.0906856 -0.235269 -0.133888 -0.1025293 -0.2552319 -0.0094365 -0.0465103 0.03921362 -0.2044356 -0.1248749 -0.2647736 -0.1197741 0.04201114 -0.1618144 -0.136827 -0.3010951 -0.2491412 -0.3141229 -0.1040945 -0.0552744
27058 -0.21520004 -0.22817595 -0.189049475 -0.13370151 -0.25473078 -0.1570215 -0.04962344 -0.1193755 -0.4007459 -0.15166332 -0.07315005 -0.0705651 -0.2140726 -0.055818835 -0.067652745 -0.26988977 -0.1301511 -0.16199176 -0.270999935 0.169026805 -0.02056049 -0.2720347 -0.1636754 -0.217067535 -0.1783468 -0.2943214 -0.1469134 -0.24385025 -0.0786747 -0.233322645
27059 0.972065985 1.05407154 0.98310156 0.96815719 0.83587376 0.984201125 1.001614325 1.043749765 0.719742025 0.908543585 0.93540512 0.99813073 0.915753365 0.896913915 0.91309152 0.87555078 1.01343452 0.887449365 0.94700541 0.81129916 0.99714947 1.090327735 1.02249984 0.991404325 0.902902085 1.06651274 0.911958825 0.969978465 0.89494905 0.93465656
27060 -0.465093 -0.129738 -0.5815325 -0.8005166 -0.6546629 -0.3125999 -0.2620214 -0.5585091 -0.7459309 -0.5604485 -0.2273202 -0.4534962 -0.6713507 -1.1133325 -0.5548544 -0.5259041 -0.341011 -0.6479989 -0.7873017 -0.125474 -0.7500875 -0.5423844 -0.3478974 -0.6386876 -0.736314 -0.424625 -0.4442437 -0.3184843 -0.681923 -0.5374887
27061 -0.5926089 -0.5146084 -0.500242 -0.4029294 -0.6815416 -0.0542731 -0.5033324 -0.375022 -0.657364 -0.7280786 -0.0955696 -0.4575152 -0.5321725 -0.5151934 -0.171661 -0.5805125 -0.1130108 -0.6402853 0.11076521 -0.7770399 -0.9391449 -0.5123406 -0.2396891 -0.5214831 -0.9283723 -0.1037816 -0.4526354 -0.4001827 -0.401132 -0.6121133
27078 -1.1312099 -1.0591858 -1.0866731 -1.0091264 -0.9897 -1.2632327 -1.1467799 -0.9210428 -1.0204409 -1.1969411 -1.0944661 -0.9776416 -1.1405064 -1.0019844 -1.1245348 -1.1849772 -1.3982706 -1.0711496 -1.1646529 -1.2933006 -1.1174691 -1.1718803 -1.0324128 -1.0811645 -1.4135307 -1.0579625 -1.0121585 -1.0611952 -1.2013531 -1.041143
27081 -0.9623013 -1.1396244 -0.8983737 -1.0109133 -0.9036647 -1.0809244 -1.0323723 -1.1214294 -1.0532498 -1.0273586 -1.1396679 -0.8925072 -1.2720245 -1.0077726 -0.7869361 -1.2172556 -0.9877783 -1.1981658 -1.1364431 -0.7263922 -0.8972506 -1.1991972 -1.0201057 -0.9935215 -0.9786006 -0.881293 -1.1219762 -1.2052652 -1.318362 -1.1727081
27096 0.08979665 0.15649269 0.31603764 0.07613714 0.22744013 -0.0650949 0.27818384 0.15501844 0.2260703 0.21387145 0.04820213 0.19327828 0.12365841 0.10699637 -0.0473455 0.08577776 0.05242158 -0.0369749 -0.109036 0.17318228 0.30160521 -0.1244924 -0.0570013 0.09400429 0.08117317 -0.2526861 0.29234016 0.0798307 0.23103437 -0.0936911
27103 -0.2653345 -0.3408313 -0.2973212 -0.3153868 -0.2923032 -0.2789972 -0.1472788 -0.0395947 -0.3141648 -0.5405451 -0.1085405 -0.1298641 -0.4103189 -0.4154788 -0.1958375 -0.1852698 -0.1623668 -0.1812497 -0.3333633 -0.372089 -0.4773035 -0.2736205 -0.4487438 -0.5425713 -0.3056216 -0.245467 -0.2755816 -0.3726177 -0.2627398 -0.1798981
27176 -0.1711951 -0.04486784 0.078507305 0.17489048 -0.4285488 -0.01703471 -0.08611883 -0.025796455 -0.06427045 -0.074285175 -0.01419749 0.1130122 -0.13839365 -0.1691431 -0.1560726 -0.0628604 0.131740905 0.132596445 -0.2591179 -0.01886725 -0.1519189 -0.14332265 0.08652307 0.009962665 0.003675155 -0.2101756 0.11353707 -0.10311535 -0.304932 -0.18781945
27205 -1.3201169 -0.9859688 -1.2393341 -1.0196592 -1.2180622 -1.002355 -2.8572976 -1.1347401 -1.2310921 -0.9677669 -0.7370289 -1.6573351 -0.4462319 -0.8926415 -1.0516272 -0.7178179 -1.2817511 -1.2751107 -1.0328746 -1.3852252 -0.6540106 -1.2149489 -1.2643697 -1.2759782 -1.3263342 -1.1947868 -1.6064047 -1.5409674 -1.9874119 -0.8171998
27207 0.41572168 0.38706163 0.1813374 0.25945529 0.29957335 0.52019773 0.38714689 0.54250396 0.26719958 0.09590103 0.52413752 0.53586249 0.2577397 0.1768785 0.56168591 0.18428428 0.21604774 0.19427774 -0.0892908 0.07983603 -0.1488038 0.29161113 0.45676148 0.24318203 0.08011586 0.36670877 0.40245557 0.42590872 0.27552147 -0.0863953
27214 -0.075008978 -0.18648018 -0.08952156 -0.142207758 -0.166730255 -0.095128883 -0.347245258 -0.138860263 -0.08844424 0.045450113 -0.121077535 -0.34705318 -0.19049364 -0.107374468 -0.406724063 0.027862625 -0.254653503 -0.207179165 -0.179858233 -0.279262225 -0.017931783 -0.103809595 -0.16869266 -0.210931918 -0.124034928 -0.12588521 -0.18025421 -0.095834518 0.041890265 -0.184522828
27215 -0.1574037 -0.1000262 -0.1761092 -0.114646 -0.179151 0.0363774 0.00798765 -0.172696 -0.1643725 -0.1270659 -0.0359221 0.00950803 -0.1896948 -0.079082 -0.1215829 -0.2990142 -0.0825057 -0.1446007 -0.0077462 -0.3305223 -0.306874 -0.0191324 -0.0464385 -0.1211804 -0.1456295 -0.1035056 0.00222644 -0.1315309 0.03244198 -0.3089303
27218 -1.0378607 -0.8769426 -1.1490391 -1.2564184 -1.0989456 -1.2559376 -1.1292546 -1.1427203 -1.2954134 -1.0585373 -1.3025556 -1.512897 -1.6304795 -1.081324 -1.1536767 -1.4222918 -1.1001842 -1.0002789 -1.2963869 -0.3635071 -0.3252427 -1.3698483 -1.1181493 -1.3406419 -0.8156106 -0.8496732 -1.2280689 -1.0572972 -1.4967498 -1.3126872
27224 -0.325422485 -0.230011155 -0.336462415 -0.353957035 -0.34391678 -0.419842055 -0.325951535 -0.32358998 -0.31159839 -0.54257929 -0.392256495 -0.379036805 -0.37927127 -0.492170165 -0.360264685 -0.43633271 -0.283992405 -0.333746045 -0.30334171 0.00396089 -0.310099395 -0.479617995 -0.45794133 -0.3749173 -0.252441045 -0.4002823 -0.53414504 -0.45448797 -0.48586759 -0.082671655
27225 -0.70914806 -0.420987035 -0.66988608 -0.60838705 -0.87879675 -0.3369272 -0.74988842 -0.710338105 -0.87739435 -0.77567724 -0.811024425 -0.9989339 -0.287538 -0.7053675 -0.35247065 -0.316179105 -0.13641356 -1.5797614 -0.56138985 -0.25323425 -0.44219425 -0.779380885 -0.485398295 -0.84038355 -0.6333524 -0.1903532 -0.67709805 -0.54399469 -0.65436941 -0.5710501
27267 0.65884531 0.70263893 0.6249518 0.58119838 0.64193564 0.52745383 0.50073941 0.58706106 0.4903871 0.4924547 0.41907968 0.48422259 0.66550635 0.68720948 0.71468767 0.59317451 0.62164548 0.44467322 0.69770264 0.33562249 0.36314222 0.55730146 0.8354357 0.62022854 0.60157953 0.8381403 0.36449638 0.73457739 0.5327991 0.58302702
27275 -0.2860109 -0.3789386 -0.3067909 -0.4781785 -0.3513177 -0.4233559 -0.1175071 -0.4274458 -0.3350508 -0.4767389 -0.3446097 -0.0540975 -0.3387514 -0.5567974 -0.6409033 -0.5245286 -0.4655957 -0.3071176 -0.4187866 -0.4084852 -0.5015394 -0.4761857 -0.3707804 -0.3999825 -0.3504282 -0.5180616 -0.2027204 -0.4288601 -0.4135275 -0.5438095
27279 1.20619342 1.18585687 0.78219047 1.29941728 1.14857229 0.89609379 1.16208285 1.28224322 1.14394304 1.09251945 0.93397568 0.96003632 1.21935778 1.11230309 1.29960779 1.43255163 1.02758237 0.96623234 1.4296862 1.10661914 1.22656276 1.46346959 1.47961993 1.21164758 1.0958594 1.22418775 0.91559469 1.54521658 1.5182473 1.44756551
27354 1.55539281 1.59040789 1.51516835 1.79814621 1.60139597 1.63381106 1.48560252 1.50332207 1.65323021 1.4911038 1.57592644 1.57517564 1.75036238 1.72417975 1.62072895 1.76230759 1.66851448 1.78247183 1.71459114 1.69697508 1.74420316 1.59134801 1.60393863 1.67982018 1.80907472 1.42007628 1.47040473 1.42203582 1.59384139 1.72357278
27357 -0.524928 -0.0927776 -0.3438163 -0.2547635 -0.2796436 -0.2811595 -0.1700804 -0.2162817 -0.1040323 -0.2224274 -0.3077897 -0.343027 -0.1252363 -0.2854257 -0.2130402 0.08907234 -0.4020342 -0.8737452 0.1303606 0.22304949 0.12670679 0.31385079 -0.0452978 -0.1986469 0.00677516 -0.5639506 -0.2321429 0.02874428 0.10934163 0.10073856
27359 0.80187816 0.75793925 0.87397976 0.6603911 0.90443611 0.6444662 0.83859395 0.87171134 0.97272459 0.96270129 0.79881522 0.78660192 1.01976204 0.94335317 0.79116167 0.59868632 0.74563541 0.8322664 1.11485224 0.83436628 0.97304561 0.80462928 0.66032068 1.07132345 0.95975759 0.68958277 0.83631222 0.8400349 0.83032543 0.86582031
27361 -0.0907108 -0.2277229 -0.2021747 -0.2362819 -0.2185686 -0.0152999 -0.2783838 -0.2021746 -0.0377248 -0.286732 -0.0473664 -0.1239164 -0.3436168 -0.0987962 -0.3153096 -0.3412078 -0.2935262 -0.0247077 -0.0468671 -0.0968205 -0.5950217 -0.2331575 -0.1439984 0.01465715 0.02885771 -0.0175522 -0.1950027 -0.4112057 -0.0367826 -0.176264
