Gene	AdFA2a	AdFA2b	AdFA2c	AdFA2d	AdFA2e	AdFA3a	AdFA3b	AdFA3c	AdFA3d	AdFA3e	AdFA4a	AdFA4b	AdFA4c	AdFA4d	AdFA4e	AdMA2a	AdMA2b	AdMA2c	AdMA2d	AdMA2e	AdMA3a	AdMA3b	AdMA3c	AdMA3d	AdMA3e	AdMA4a	AdMA4b	AdMA4c	AdMA4d	AdMA4e
11472 -2.5217833 -1.399249 -1.5749149 -1.433695 -1.4814018 -1.4573212 -1.731621 -1.6859667 -1.280529 -1.6961861 -1.0673459 -1.7264264 -1.6594821 -1.1843704 -1.0319783 -0.7008596 -1.5574559 -1.7898968 -1.7555715 -1.8143498 -1.5123115 -0.6895754 -1.0726402 -0.9005483 -1.8991536 -1.4526103 -1.7655277 -1.6863625 -0.6555757 -1.313696
11474 -0.5080661 -0.9789198 -0.5208289 -0.641634 -0.7487027 -1.4847171 -0.7424214 -0.9274296 -0.8809649 -0.844391 -1.0119537 -0.8863318 -0.7634346 -0.7237904 -0.7837892 -1.0362078 -0.7648945 -0.735475 -0.7485574 -1.0036039 -1.2262237 -0.957801 -1.0129693 -1.2311796 -0.6667878 -0.3733576 -0.8673363 -0.8051696 -1.0187146 -0.9931659
11475 0.19630666 -0.062497 0.28808085 0.21261687 0.10480454 -0.2611779 -0.1121684 -0.2450008 -0.0142256 0.16446648 -0.3084882 -0.0949704 0.10549916 0.05024673 -0.2222802 -0.4352333 -0.0276849 0.31139607 -0.1838468 -0.0888857 -0.0671976 -0.704747 -0.2050159 0.01478787 0.05389943 0.00667079 0.19125864 -0.2153939 -0.4618609 -0.0861539
11479 -0.3352408 -0.4264695 -0.3371321 -0.2159168 -0.3657702 -0.0776574 -0.3256833 -0.2422308 -0.5505327 -0.4140235 -0.3272805 -0.1990641 -0.5674294 -0.6218528 -0.4429339 -0.5287528 -0.2791398 -0.1482728 -0.7639641 -0.5555259 -0.5167543 -0.5819322 -0.3471348 -0.6021458 -0.5071355 -0.2939563 -0.3830606 -0.3717235 -0.4901796 -0.5533025
11481 -0.9684985 -1.0649281 -0.992442 -1.1621944 -1.2076754 -0.7418677 -0.8853752 -0.9789922 -1.3399781 -0.8533611 -0.8058139 -0.7901641 -1.1984266 -1.0011965 -0.8887842 -0.9417611 -0.9854077 -0.9168181 -0.5029647 -0.7723818 -0.4381478 -1.186909 -1.0983271 -1.7875031 -1.2959403 -0.9311796 -0.5154542 -1.1070365 -1.1307621 -1.0615841
11487 2.08294844 1.91157718 1.80604446 1.96649285 2.01737875 2.09239774 1.88999635 2.00688192 1.79270865 1.98126012 1.97300282 1.91011455 1.96144649 1.92569231 2.13330346 2.10144204 1.94736945 1.78144063 1.93767455 1.81920994 1.99620624 1.92157288 1.94182122 1.82694813 1.75631696 2.09688618 2.0391299 1.87470329 1.84732603 1.90066124
11490 1.06946502 1.0255334 1.16880086 1.22087625 1.12423163 0.94014446 1.09591604 0.97804 1.06503872 1.22716077 0.93582211 1.08415691 0.9695482 1.14914245 0.97303052 0.99615767 1.04449093 1.12259609 1.10420686 1.17909358 1.20732377 1.05337619 0.9564694 1.17492053 1.2453976 0.78681941 1.03155591 1.02511628 1.22725119 1.11844441
11491 -0.754827055 -1.083253098 -0.67640227 -0.786227625 -0.575382988 -0.610579998 -0.769343598 -0.696100935 -0.51589783 -0.964838683 -0.847494073 -0.7147969 -1.005389068 -0.743025245 -1.167461268 -0.914341223 -0.745415783 -0.471056525 -0.837006705 -0.503146123 -0.719889448 -0.65603921 -0.89557028 -0.65864166 -0.461501898 -0.996798313 -0.739271838 -0.639900698 -0.494257178 -0.25852074
11492 -1.0140837 -1.2680749 -1.0654916 -0.7870262 -1.0950019 -0.6364672 -0.2713811 -1.3099011 -1.1402604 -1.0724869 -1.2761327 -1.1800598 -1.198702 -1.0259731 -1.0434188 0.15869789 -0.4542205 -0.8485196 -0.666732 -0.9601678 -1.5964512 -0.4838578 -1.2180912 -1.0228183 -2.0603742 -0.9407007 -0.8387502 -1.5460767 -1.1803763 -0.3433792
11496 -0.20869224 -0.22559114 -0.21700598 -0.159624 -0.22888476 -0.086487605 -0.0823804 -0.109349815 -0.313348575 -0.666414805 0.024714965 -0.21209012 0.257106625 -0.06732301 0.100338095 -0.221214985 0.305870885 -0.11238402 0.109642445 0.026234015 -0.73585851 -1.09773433 0.17649445 -0.03863932 0.046436285 -0.090497225 -0.58996565 0.150102235 -0.56356717 0.234497475
11501 -0.9701958 -0.6990402 -1.1986087 -1.498154 -1.4835294 -1.3730832 -1.4128627 -1.0221503 -1.6431735 -1.4425815 -1.5034196 -0.8393468 -1.2452063 -1.0857846 -0.7682334 -1.0751834 -0.8885759 -1.7657098 -1.0356401 -2.4644642 -0.6290552 -0.821123 -1.0843796 -1.3928931 -1.3398579 -0.0290259 -1.4035023 -1.2188709 -1.6971948 -1.2226362
11502 0.09081954 0.13427659 0.30940525 0.09198919 -0.0721566 0.01297223 0.10581046 0.10560407 0.12215539 0.12129933 -0.0840185 -0.1015478 -0.1266128 0.03088967 -0.0074736 -0.3499896 0.20466781 -0.3946965 0.06110451 0.3750705 0.21161272 0.13654987 0.25552231 0.21714034 0.3382002 0.06964318 0.01757945 0.20371155 0.22616794 0.0931046
