Gene	MsFA2a	MsFA2b	MsFA2c	MsFA2d	MsFA2e	MsFA3a	MsFA3b	MsFA3c	MsFA3d	MsFA3e	MsFA4a	MsFA4b	MsFA4c	MsFA4d	MsFA4e	MsMA2a	MsMA2b	MsMA2c	MsMA2d	MsMA2e	MsMA3a	MsMA3b	MsMA3c	MsMA3d	MsMA3e	MsMA4a	MsMA4b	MsMA4c	MsMA4d	MsMA4e
11472 -0.5291505 -0.0333271 -0.3112948 -0.0125818 -0.616119 -0.3842916 -0.4091107 -0.5650946 -0.3025744 -0.272752 -0.3244049 0.36303649 0.05978559 0.32722399 -0.1214863 -0.4247565 0.29777165 0.33103689 0.53080839 -0.316316 0.13728523 -0.4063477 -0.0106852 0.28288505 0.1239911 0.40044476 0.26721248 0.03166777 0.01910062 0.34342866
11474 1.20094794 1.14958641 0.94167998 1.05173096 1.19626201 0.97992619 0.68093105 0.66775063 0.94981091 0.85191523 0.86908808 1.58181207 1.49394364 1.52228386 1.4785992 1.1580837 1.51555943 1.51696024 1.523954 0.78297255 1.50743025 1.11130362 1.09151258 1.43672393 1.14565924 1.65946946 1.54104773 1.39283457 1.47891907 1.51022521
11475 0.05056229 1.7437859 1.53311159 1.69460807 0.73280213 0.64946839 1.28793674 0.5620689 1.58816378 1.29390198 1.0314819 2.13371788 1.79076231 1.76004522 1.36782938 1.41188249 2.11038828 2.06698252 1.96787485 0.77396276 1.79089227 1.02524047 1.67368375 1.88622058 1.67182885 1.77311227 1.93857303 1.86562473 1.89366152 1.83593974
11479 -0.2295935 -0.3382726 -0.2013923 -0.1926899 -0.3262562 -0.2735125 -0.3436133 -0.1903579 -0.4352946 -0.220075 -0.2015392 -0.4194404 -0.4348448 -0.3790357 -0.3565792 -0.3477863 -0.3242408 -0.3116133 -0.3011686 -0.3065119 -0.2145633 -0.2894027 -0.3589029 -0.526583 -0.2242224 -0.2754515 -0.39829 -0.2710713 -0.3712695 -0.2421509
11481 -0.4067598 -0.5689826 -0.4568522 -0.5070297 -0.4930228 -0.2919389 -0.5369472 -0.2465614 -0.4534493 -0.4305199 -0.265128 -0.6205673 -0.7388792 -0.5105321 -0.5616903 -0.5336932 -0.5173745 -0.5911847 -0.479378 -0.402795 -0.4208512 -0.4188958 -0.5731308 -0.8839876 -0.4926134 -0.5563772 -0.6397191 -0.4319635 -0.5903107 -0.5333693
11487 2.38004167 2.23780881 2.17501366 2.22662227 2.33666716 2.24317376 2.34837435 2.15766467 2.19459779 2.25686234 2.20503299 2.30455792 2.24320359 2.19365563 2.27657425 2.14248822 2.25910823 2.201602 2.28435871 2.21218631 2.24419143 2.2957954 2.11688139 2.09971747 2.16363711 2.26951192 2.35915219 2.22709347 2.33791913 1.65438243
11490 0.19100434 0.4430044 0.27611579 0.37546912 0.26728563 0.06867173 0.36296174 0.12009521 0.32104704 0.42386898 0.37618884 0.58293482 0.57052003 0.45899213 0.44593341 0.43012396 0.40537041 0.55426177 0.40067573 0.18626095 0.36603038 0.28988443 0.51582201 0.74223232 0.4612134 0.4074989 0.45528521 0.50357993 0.46432311 0.25253009
11491 -0.67876955 -0.900218563 -0.789509993 -0.77095566 -0.645008928 -0.709880273 -0.741884118 -0.714230915 -0.736836898 -0.724082198 -0.765095563 -0.923166075 -0.8637886 -0.80442842 -0.805021165 -0.77677399 -0.8471959 -0.941836758 -1.180676403 -0.711955278 -0.849358113 -0.768251973 -0.84021028 -1.044597345 -0.831084798 -1.06471637 -0.80600467 -0.861246688 -1.07310869 -0.803642455
11492 -0.7782876 -1.1686662 -1.017217 -0.8826596 -0.9065951 -0.6396361 -1.0793846 -0.1584047 -1.0761081 -1.0833871 -1.085305 -0.7517102 -1.004525 -0.8932358 -1.064572 -0.764389 -0.7836909 -0.8737492 -1.1201231 -0.9418268 -0.9842074 -1.0936177 -0.8031029 -0.8082269 -0.9040287 -0.9366389 -0.8155495 -0.8381834 -1.0629923 -0.9565688
11496 0.713522345 0.65423373 0.74602018 0.74196593 0.68828611 0.751997085 0.7856747 0.716722175 0.6323689 0.687435655 0.76994835 0.72133329 0.6242925 0.83610006 0.99018387 0.7326201 1.027592075 0.70014642 0.704752055 0.72873495 0.650176725 0.754388085 0.742631575 0.636491025 0.725652215 0.709600155 0.68714533 0.95218134 0.79883541 0.836785695
11501 -1.2640286 -1.3271317 -1.3746238 -1.1565971 -1.1518946 -0.9533818 -1.3791405 -1.0357749 -1.3546393 -1.3365782 -1.1773358 -1.2817997 -1.3203745 -1.1188219 -1.2557432 -1.2678795 -1.1305875 -1.3785414 -1.318148 -1.1995704 -1.3148071 -1.1644348 -1.16763 -1.3209409 -1.1938675 -1.1436921 -1.2014691 -1.1925168 -1.4029819 -1.275083
11502 -0.4817825 -0.2628946 -0.3221155 -0.4925145 -0.4502326 -0.5635629 -0.554295 -0.5320444 -0.4806455 -0.4373998 -0.5173717 -0.0942518 -0.3644346 -0.3628212 -0.3499739 -0.3042398 -0.4415883 -0.3378428 -0.5307319 -0.3729431 -0.2715155 -0.4778445 -0.2932718 -0.1923047 -0.4379514 -0.3531673 -0.3454311 -0.2739953 -0.3874369 -0.4172619
11504 -0.8328766 -1.1912311 -1.0644678 -1.2727082 -0.9848333 -0.9182932 -1.0256817 -0.9915251 -1.2173203 -1.1072419 -4.2964196 -0.9742513 -1.0263641 -1.330432 -1.4421134 -0.7302713 -0.8835202 -0.8850125 -1.5902747 -0.9174595 -1.0969146 -1.7181243 -0.9602682 -1.1681435 -0.9527331 -0.8646949 -1.1732978 -0.9768513 -1.2972472 -1.2943439
11513 0.01157997 -0.3221261 -0.1057823 -0.0009967 -0.1819406 0.131303 -0.3330787 0.0462401 -0.0303837 -0.2884713 -0.233974 -0.4014049 -0.338956 0.00497306 -0.079199 -0.2853952 -0.1068942 -0.3971449 -0.2633864 0.06547823 -0.2622806 -0.0444583 -0.1196264 -0.2654292 -0.1369162 -0.1077438 -0.2525993 -0.3469065 -0.4481372 -0.2165406
11517 0.34199597 0.40006721 0.34808491 0.41329023 0.28262781 0.19062445 0.3523877 0.10651507 0.1430248 0.36367996 0.36437792 0.70021681 0.41927252 0.41026946 0.40375285 0.36947836 0.43823502 0.62800422 0.42058799 0.26785801 0.23076696 0.25727612 0.50336567 0.88470419 0.43013149 0.38425277 0.28342315 0.44703355 0.53299739 0.38619712
11518 0.82137455 0.88837763 0.84579765 1.02115881 0.87842207 1.07167728 0.58733631 1.0320324 0.86319825 0.78863123 0.73671477 0.54507877 0.71359264 0.94521348 0.95467021 0.87783097 0.89289362 0.6584558 0.8400872 0.9997833 0.74895861 0.95446379 1.04916814 0.66177329 0.95980375 0.87447203 0.73960933 0.87447633 0.42291111 0.93883156
11520 -0.4087022 -0.2225066 -0.1805335 -0.2602034 -0.3548863 -0.4188653 -0.341962 -0.3486802 -0.2521041 -0.2658029 -0.3568097 -0.0728367 -0.3411872 -0.2506522 -0.3183228 -0.2922525 -0.2575854 -0.3192896 -0.326102 -0.2909815 -0.2565754 -0.3801515 -0.2778953 -0.1345322 -0.1751665 -0.2374672 -0.3177265 -0.2108895 -0.2084255 -0.2845225
11532 -0.3508161 -0.3105499 -0.2470251 -0.5526171 -0.3903396 -0.4103651 -0.5317936 -0.4136405 -0.6024666 -0.372307 -0.6657824 -0.5920062 -0.5255061 -0.5490474 -0.5233662 -0.4164508 -0.2683111 -0.5589617 -0.6145973 -0.3576515 -0.527458 -0.5068255 -0.3803623 -0.5935773 -0.4910078 -0.3724495 -0.6063186 -0.2577451 -0.2963508 -0.5227784
