Gene	GSM1330624	GSM1330625	GSM1330626	GSM1330623	GSM1330619	GSM1330620	GSM1330621	GSM1330622
102633981	5.78332306530131	2.39761131981224	6.42455935391625	6.50287475616737	5.63706533643011	6.03910109747643	5.42665724856241	5.85442210705099
102633986	7.23530582941529	6.43256027323272	7.11070775508555	7.4201202344042	7.05949588853274	6.32605730469738	7.09093809316883	6.65390554638452
102634000	3.64404084292241	6.2156261834302	6.35606984203062	5.16335381143999	5.8496615572707	4.11062215682284	5.3829334973952	6.07293969791425
102634034	6.68187087996144	6.11846563156471	6.32750414176729	6.58568967617752	5.96074336788096	6.26470718734588	6.48183332955658	6.21248957599775
102634072	7.06026359873829	6.78350903885003	6.75367138559126	7.244991681157	6.77716981961924	6.59389005025071	6.89956236015469	6.69393293919951
102634096	6.57795444732583	5.87744488420592	3.99869196482619	6.30544892672988	6.1854285178271	6.42533844848065	5.6917630573515	5.96129687928777
102634103	6.46890094862949	5.98974984303322	6.30713886415648	6.03802786365926	5.75954735410228	6.51149175929484	5.84103717635509	5.74891737025725
102634132	5.97603362962216	6.08838544668783	6.00513383716312	6.15532119286001	6.03361791739438	6.12424127288087	6.06278551499864	6.26957742170139
102634243	2.33629195830457	4.26621684473137	5.14594233251035	4.96644431091031	5.70608844879118	5.20887227142485	5.61372612075985	6.08120539125144
102634251	5.92833715723451	5.40919403726107	3.32184008780562	2.05379949428098	5.15827238884451	3.53412387209939	4.67906904880477	6.09875851287361
102634258	4.51884982870769	4.40846731572146	5.00011721421031	3.36953627852947	4.82513942398391	4.30090710762574	4.84454132389303	4.86138968505107
102634282	2.68709653124969	3.95099089987828	1.8067076250918	1.42427178859791	3.19248456919063	2.97266324845535	2.25518950043996	2.24282807610784
102634284	5.23578831947336	5.16082340306702	5.48536886057998	4.27054389251093	6.51443791382931	5.99574228148351	5.78554793626364	5.83689362740974
102634292	7.35538633739997	6.66310263167224	7.67702190611114	6.84496305738563	7.37337850724152	7.08140354506251	7.22949179113703	7.00663464339423
102634333	6.2938229109368	5.76618699408289	5.58038219485415	5.76339962278633	5.50716034911752	4.85732840115623	5.69264618587911	4.80891399334946
102634350	1.94667098050427	3.20322935203537	3.72386432362673	3.52949614744982	3.39576203543022	2.92062106158567	3.93542202979483	3.9486942832656
102634351	1.60055521900627	2.23167201847492	2.01195714155345	1.5783784281616	1.12781814413365	1.90570132484795	4.54670928928295	2.25568502378032
102634385	4.36640615042462	2.16222615212064	4.08280475958212	3.28102161953588	4.2452598593545	2.43087668347433	4.57358660060263	2.72027846523333
102634389	6.81086721235285	6.74740082750386	6.79819311776128	7.2961545197493	7.02318880579134	6.53411764525251	6.74941359110402	7.04342106508253
102634450	8.80809540132451	8.53411998032324	8.9951848684928	8.83454689614158	8.33943138248353	8.37660295192479	8.49989769564337	8.43888747472898
