Gene	GSM73014	GSM73015	GSM73001	GSM73016	GSM73017	GSM73002
116748	6.90448409790142	7.02790599656988	7.32102612859297	7.77544567410286	7.38887833881199	7.50700173276412
116810	5.71699089440494	5.20554891117303	2.37851162325373	1.58496250072116	5.7279204545632	2.29278174922785
116811	4.71149490665009	5.42961596420174	3.41953889151378	4.63807383718072	5.48220292629596	2.32192809488736
116837	10.134747168669	10.1271560508774	10.2048156481123	9.86913111964429	10.0176435834973	9.79108147005894
116838	8.61090180015984	8.7267858142838	8.50409067143528	8.57579133403435	8.51109373845979	8.46842040186455
116847	6.19278595925112	5.9898202201176	6.34251918966061	6.49745269597724	5.85299758761332	6.04001567884788
116848	6.89036562190126	6.14023331650551	6.57843559363201	6.76906643733323	6.59892095831108	6.04439411935845
116852	3.66106547980695	3.56071495447448	1.88752527074159	4.32192809488736	4.45285896471381	0.765534746362977
116870	6.69557630622205	6.05419729438881	6.6387978999517	6.62131930101419	6.63662462054365	6.77873424411784
116871	6.34281546136119	5.91328836680667	6.58846479662746	6.71195370615813	6.47140426030337	6.00824185334213
116872	3.49825086752783	0	0.137503523749935	2.78659636189081	0	1.43295940727611
116873	8.02375435329942	7.87405920314115	7.82813648419411	7.6724253419715	7.81985974678364	7.72075727733199
116891	7.37634248280467	7.42919748847991	7.58908931290962	7.91587937883577	7.44542875923832	7.44045394382303
116903	4.76022094646651	5.29645740737124	5.18982455888002	5.27798474729977	5.90689059560852	5.34340782229781
116904	5.82527683005487	5.18189764310839	4.51096191927738	5.30012372456901	4.8073549220576	5.88996019965864
116905	6.08852325661663	6.17990909001493	5.88752527074159	5.98299357469431	5.34518344718767	5.68229237143083
116913	1.8073549220576	1.67807190511264	3.6724253419715	0.84799690655495	3.17791779219584	1.35049724708413
116914	6.76376565350993	6.73335434061383	6.83415498140132	6.8915812054931	6.71881824745594	6.49292136371717
116939	6.07895134139482	5.91647664443772	6.467605550083	6.36632221424582	6.15583017155653	6.49825086752783
116940	7.44914864537544	7.41426240607356	7.62095290227168	7.24126817732937	7.2916311829009	7.21431912080077
116972	6.34163000932991	6.00898878322726	6.06608919045777	5.73335434061383	6.72246602447109	6.55458885167764
117004	5.10013667128545	2.23266075679027	4.71699089440494	1.96347412397489	3.83794324189103	3.72246602447109
117005	-0.15200309344505	0	0.485426827170242	3.51096191927738	4.30742852519225	-0.321928094887362
117066	3.74416109557041	3.53605290024021	0.84799690655495	0.584962500721156	0.485426827170242	-0.514573172829758
117109	8.46332001105809	8.75755668893945	8.70735913208088	8.56529252058102	8.7292808460274	8.40917875950067
117146	8.35138098067433	7.9692426044345	7.9915218460757	8.51963625284321	8.22641219278879	7.90628934740607
117147	1.88752527074159	3.79701297783614	0.37851162325373	4.86789646399265	1.92599941855622	4.41953889151378
117148	8.94046042886366	8.91975719271426	8.99463629050958	8.84486265583082	9.21941056308346	8.90358062534864
117149	4.37851162325373	4.74416109557041	4.46597446450407	5.14159627838382	4.12515513132229	5.15380533607904
117150	9.12437983616298	8.76470575418888	9.03424873562899	9.12437983616298	9.09024477093642	8.76768789934074
117158	3.8073549220576	0.678071905112638	4	0.584962500721156	0.584962500721156	3.91647664443772
117160	6.12722055048807	6.22689381357139	5.77478705960117	5.44128427192704	5.93073733756289	6.47654370621426
117167	1.29278174922785	4.00898878322726	2.15380533607904	2.26303440583379	2	5.89360490485829
117171	7.66177809777199	7.68580001974489	7.46107011403305	7.18586654531133	7.75555526197214	7.34607044078517
117172	-0.321928094887362	2.56071495447448	-0.321928094887362	4.49185309632967	4.94485844580754	4.49825086752783
117197	6.95652136333312	7.43990012614218	7.47735352663456	6.74281466986289	7.22432330947775	7.45148588471972
117198	9.36741475124683	9.17201072544429	9.23553560671046	9.12868176874252	9.10608305276602	9.31046130966181
117229	2.56071495447448	4.90207357931074	-1.73696559416621	0.37851162325373	4.29278174922785	4.06177619758669
117589	6.82654848729092	6.65069276717138	6.49785183695112	6.8712892278117	6.84203599652491	6.46107011403305
117590	3.11270013274936	2.93545974780529	3.6724253419715	3.22496636500027	0.84799690655495	1.65535182861255
117591	3.48542682717024	3.57893871309339	4.65248649491816	4.03562390973072	4.29645740737124	4.03562390973072
117592	5.40258575823259	4.99095486039699	4.96347412397489	5.0703893278914	4.95109039951905	5.239041550212
117599	2.67053823242723	4.69302224657861	5.49931440981034	4.27052894238072	5.20294005867027	4.73335434061383
117600	6.27519333390221	6.53449743373817	6.53760669149529	6.19672506078603	6.45779126025604	6.30286736097287
117606	6.45888503971775	5.96038814410114	5.95806931953408	6.14091495839907	5.91647664443772	6.12859585568364
118445	6.83415498140132	6.99548451887751	7.57516103342539	6.28725064325462	6.35226417325832	7
118446	5.04657836662033	5.25361115194717	6.01903466936434	5.62205181945638	5.36806987653208	4.85798099512757
118449	5.57516103342539	5.15886210620845	6.0666274090952	5.62643913669732	5.40002551791402	5.18883607303053
118451	7.56833618213375	7.5480512380126	7.69418374333315	7.5909612413426	7.85206127927917	7.70528679027247
118452	7.77988347493664	7.30697305714083	7.46393301087224	7.42332604706989	7.73420153955819	7.57553924683453
118454	4.57288966842058	5.54432051622381	4.9275804543757	5.41728995101022	4.60880924267552	5.38658105322962
121021	6.31197531446116	6.04439411935845	5.61323695471633	4.56985560833095	5.3110671022556	5.80606622608903
121022	8.86789646399265	9.01150682039669	9.0503928599799	8.95971220517869	9.08640164588003	8.95579518672299
140474	2.73696559416621	0.765534746362977	4.05311133645956	1	1.39689015256858	2.92599941855622
140475	2.72246602447109	4.65535182861255	0.84799690655495	2.48542682717024	2.4594316186373	1.0703893278914
140476	4.58496250072116	2.29278174922785	1.92599941855622	2.29278174922785	5.4594316186373	2.96347412397489
140477	5.14974711950468	5.10852445677817	2.51096191927738	4.31469652565629	4.18586654531133	4.62058641045188
140481	9.36763315939816	9.43295940727611	9.29599846191139	9.35974956032233	9.36806987653208	9.27006167272776
140482	5.98185265328974	6.05202456048283	5.23840473932508	6.0574502721839	6.03121873061072	5.38024459047818
140483	7.61618123133188	8.14669594803066	7.99265514938683	7.22303633790187	7.7176764230664	8.15228484230658
140484	5.41052201815635	5.42514595275313	5.64865717603855	5.32072534780571	4.96962635095648	5.29032609750153
140486	3.93310047493137	3.93781516880342	2.93545974780529	3.8801957289431	4.15583017155653	3.37851162325373
140488	4.43962313755712	4.68088692071969	4.762880292917	3.51096191927738	4.71516122384786	4.4240262825061
140489	3.40599235967584	2.0703893278914	1.63226821549951	4.72246602447109	3.65535182861255	0.263034405833794
140491	4.26303440583379	4.94016675048282	4.13750352374993	3.75488750216347	2.74416109557041	5.5453506448223
140492	7.80799883862303	7.86604249709684	7.73707830031375	7.50858711208948	7.74919903006095	7.36194377373524
140493	2.86789646399265	1.88752527074159	4.36457243229586	5.02680005934372	2.92599941855622	0.84799690655495
