Gene	SpFA2a	SpFA2b	SpFA2c	SpFA2d	SpFA2e	SpFA3a	SpFA3b	SpFA3c	SpFA3d	SpFA3e	SpFA4a	SpFA4b	SpFA4c	SpFA4d	SpFA4e	SpMA2a	SpMA2b	SpMA2c	SpMA2d	SpMA2e	SpMA3a	SpMA3b	SpMA3c	SpMA3d	SpMA3e	SpMA4a	SpMA4b	SpMA4c	SpMA4d	SpMA4e
11474 0.07940258 0.27328228 0.41638054 0.34728139 -0.1363427 0.24926274 0.16737583 0.14234274 0.28051021 0.4928951 0.18400586 0.28881182 -0.1357809 -0.101272 0.04878224 0.08360498 0.37514152 0.21087732 0.47179195 -0.5933739 0.220955 -0.062633 -0.2468259 0.20028345 -0.0093403 0.15824286 -0.0210152 -0.0064768 0.38350915 0.27978288
11475 0.38025177 0.40740165 0.46512651 0.27885564 0.22144175 0.32523451 0.37233144 0.42464755 0.34297623 0.26709382 0.32751865 0.37534976 0.19302588 0.34983012 0.39097041 0.5155364 0.40250525 0.42998981 0.170383 -0.6339466 0.40930826 0.19238978 0.4210946 0.41689443 0.56866368 0.21246861 0.34070901 0.38402942 0.1471276 0.38452585
11479 -0.1993835 -0.2589899 -0.2478003 -0.2939457 -0.3038672 -0.2181646 -0.2435309 -0.345485 -0.2294544 -0.2401081 -0.2816275 -0.2869256 -0.2423674 -0.2573938 -0.237817 -0.2435808 -0.2307676 -0.3362831 -0.2601968 -1.078775 -0.2556132 -0.305791 -0.1409297 -0.1613719 -0.1716471 -0.2341827 -0.2915903 -0.2896851 -0.3263671 -0.3177928
11481 -0.769455 -0.6472558 -1.0290948 -0.8701803 -0.7200896 -0.6798018 -0.8015895 -0.7627047 -0.6530034 -0.791617 -0.7934765 -0.7522984 -0.7598152 -0.8315321 -0.7029133 -0.7527456 -0.6036756 -0.9842236 -0.823415 -1.3757983 -0.6689276 -0.8617359 -0.7798772 -0.7948172 -0.8825741 -0.8713333 -0.9773437 -0.7430582 -0.719283 -0.8702377
11487 2.2036215 2.35480391 2.38094703 2.46936098 2.19629697 2.34773369 2.38638098 2.15778341 2.49906904 2.17568924 1.90953025 2.36545737 2.32752898 2.35530135 2.38529668 2.21075167 2.27578326 2.42088562 2.45539548 1.86765073 2.24337504 2.25650876 2.15533457 2.3355269 2.49513136 2.27385376 2.23478767 2.37471452 2.07391598 2.48527791
11490 0.34806022 0.23018583 0.50038306 0.47715151 0.43168422 0.31543856 0.22021993 0.42302457 0.32482295 0.40876602 0.37166407 0.32957814 0.19327664 0.56247605 0.19907687 0.29919496 0.34371384 0.6192623 0.52722136 1.08174267 0.36666525 0.19083316 0.36509555 0.21123719 0.19046167 0.45597256 0.4486108 0.44438765 0.09861014 0.35701372
11491 -1.005059078 -0.961776828 -1.046946773 -1.387229355 -0.298600398 -1.008204263 -1.90250925 -0.992871333 -0.986091868 -1.238720605 -1.16649639 -1.155299258 -1.061891528 -0.993783808 -0.901078943 -0.874273963 -1.053222258 -1.047862225 -1.078030538 -0.45727082 -1.018986508 -0.88772624 -1.16515007 -1.349941435 -1.076547075 -1.585764813 -1.130019338 -0.917226335 -1.61502524 -1.004730375
11492 -0.1856885 -0.1112169 -0.4040423 -0.3114406 -0.0604092 -0.135618 -0.3079493 -0.2150422 -0.2137697 -0.1474051 -0.2374603 -0.1591594 -0.1898245 -0.2500417 -0.039611 0.01797627 -0.1554139 -0.2097158 -0.2286277 0.23852293 -0.2298046 -0.1569901 -0.2353367 -0.120051 -0.1965473 -0.3021913 -0.1805641 -0.1547676 -0.1958328 -0.2238171
11496 0.369466795 0.271881515 0.40898185 0.249998715 0.33836699 0.225777235 0.317111595 0.26587873 0.23903165 0.39089057 0.380594045 0.169493565 0.35549537 0.17146948 0.39298457 0.30186534 0.298901845 0.408445945 0.245376685 0.510752035 0.28313677 0.221736865 0.26368586 0.215343075 0.352589265 0.26708225 0.270342005 0.32215903 0.417176705 0.277377015
11501 -0.5012866 -0.5943206 -0.7195117 -0.5861955 -0.6317022 -0.7572988 -0.7278005 -0.4517203 -0.5674791 -0.6619815 -0.8940034 -0.6614621 -0.441604 -0.79929 -0.6208614 -0.4179336 -0.6194244 -0.7936623 -0.7689969 -1.050789 -0.6830002 -0.7947766 -0.6326201 -0.9221834 -0.4626655 -0.712301 -0.6627615 -0.5351605 -0.7889389 -0.5850061
11502 -1.0640341 -1.240644 -1.3669765 -1.1300959 -1.1437618 -1.2521663 -1.1299118 -1.0254223 -1.3780876 -1.160177 -1.2714005 -1.5028268 -1.1767492 -1.1157347 -1.1811692 -1.1143736 -1.1283497 -1.2774856 -1.1919515 -1.0140767 -1.3264678 -1.3432998 -1.6558871 -1.2951418 -1.1163702 -1.2953702 -1.1828556 -1.3781871 -1.1132531 -1.0660759
11504 -0.3984447 -0.4199123 -0.5979604 -0.3946934 -0.5090538 -0.3556667 -0.3873265 -0.5482245 -0.3951325 -0.7040073 -0.5894381 -0.3878422 -0.4638294 -0.216271 -0.3429638 -0.4687387 -0.3439064 -0.4271413 -0.407261 0.15516954 -0.4262774 -0.4926644 -0.4060434 -0.3788967 -0.6379488 -0.5072952 -0.4835153 -0.4075435 -0.4483311 -0.3484905
11513 0.4863006 0.44593144 0.36191389 0.45058602 0.62255756 0.64410817 0.51326694 0.45171515 0.54354635 0.55740933 0.63684868 0.43559168 0.45385565 0.49768171 0.43442789 0.52306854 0.34154168 0.51640482 0.42503845 0.57201962 0.54787663 0.52592868 0.5589958 0.51641141 0.36343317 0.46313374 0.68222453 0.41103942 0.52725641 0.50875608
11517 0.55766976 0.49686908 0.65146198 0.4431257 1.03846466 0.76153618 0.42790563 0.52526966 0.33388479 0.98904931 1.03759017 0.50307531 0.95304617 0.48088462 0.5524811 0.52338618 0.43677283 0.68808572 0.41566922 1.59643037 0.85448225 0.719602 0.49656642 0.20140483 0.41321269 0.93702537 1.01843582 0.53913497 1.01263143 0.29251678
11518 0.59281154 0.43564554 0.55897175 0.56831889 0.59096435 0.55222272 0.30145032 0.49079484 0.52522649 0.63096747 0.67298449 0.59763247 0.59781884 0.5027735 0.50338622 0.53452042 0.60876246 0.37934107 0.54519723 0.46376218 0.64608605 0.60342536 0.42473257 0.31280399 0.48656302 0.57549653 0.60755424 0.57923354 0.51600852 0.44383067
11520 -0.6526252 -0.8363513 -0.7563623 -0.6005731 -0.5873805 -0.7762842 -0.6732917 -0.6290894 -0.7752835 -0.6588343 -0.6748059 -0.9424684 -0.6189675 -0.596252 -0.7149875 -0.6403295 -0.6226626 -0.7544622 -0.7415775 -0.5197317 -0.7250929 -0.8170012 -0.7801484 -0.8235197 -0.5942504 -0.6512463 -0.604766 -0.8052253 -0.8282557 -0.7482956
11532 0.2020819 0.18287215 0.00748389 -0.0645814 -0.0551687 0.08909242 0.07601854 0.03813858 0.11429171 0.1317781 0.05277542 0.04551791 0.09683082 -0.0206221 -0.056222 0.29279516 -0.0418865 -0.043351 -0.1130427 -0.7199886 -0.0773367 0.06567146 0.1559095 0.10181221 0.14580008 -0.0142537 -0.0135999 -0.0983839 -0.0287319 0.07495167
11534 -0.4835785 -0.40554985 -0.41863945 -0.52795715 -0.3831881 -0.4093789 -0.46516645 -0.5663083 -0.56692235 -0.5571279 -0.43976 -0.3929693 -0.4607341 -0.40958135 -0.45460555 -0.3768116 -0.51121835 -0.6283242 -0.4784856 -0.602106495 -0.5678841 -0.41621695 -0.426089065 -0.3922053 -0.40850345 -0.40407395 -0.37537915 -0.4987251 -0.5443238 -0.5103231
11535 0.32600774 0.339999077 0.34829283 0.315153743 0.342604727 0.21545082 0.384729997 0.341596343 0.370730017 0.307340863 0.35553069 0.27874453 0.26717013 0.47206216 0.280701313 0.264527763 0.216874733 0.360698317 0.29998227 0.438153093 0.3346299 0.239513767 0.39449483 0.429024517 0.378192117 0.33744127 0.242191263 0.168059387 0.337817063 0.36278204
11539 0.34664142 0.37968526 0.38617257 0.3523251 0.45430369 0.39809739 0.50645659 0.38316294 0.43379407 0.21951802 0.46221109 0.5777119 0.37375642 0.45196002 0.61826745 0.39766326 0.47250851 0.29889105 0.31814649 -0.6488466 0.33100337 0.47303558 0.67656985 0.57715617 0.6216062 0.44725907 0.31840431 0.38630666 0.49560647 0.46307231
11545 0.78392262 0.7640479 0.76817133 0.65099761 0.78940835 0.70375318 0.83333694 0.78475113 0.66507694 0.68624011 0.75988426 0.6875655 0.64070065 0.88331192 0.68209295 0.78274952 0.74642299 0.57132479 0.46940529 0.02519994 0.72867175 0.67650312 0.88925473 0.83651356 0.6695892 0.67863389 0.60473444 0.44527951 0.68385456 0.79706926
11546 0.20303603 0.2569678 0.40585261 0.28420415 0.11470837 0.11931509 0.28739152 0.2767413 0.12923063 0.3478613 0.20953923 0.05521917 0.1771629 0.09942171 0.03901648 0.23226612 0.29234585 0.15366157 0.24477733 0.00664003 -0.0265651 0.05731324 -0.1728048 0.13119786 0.18753021 0.06018894 0.1810952 0.19348075 0.15546828 0.15203773
11555 -0.3969689 -0.5411492 -0.4074919 -0.4211463 -0.4193856 -0.5017188 -0.4755732 -0.3868517 -0.4843375 -0.3474286 -0.3543434 -0.4430373 -0.3801111 -0.3630277 -0.3301371 -0.2605916 -0.3661586 -0.3006453 -0.2996425 -0.0169386 -0.3847372 -0.3881657 -0.3199827 -0.4702601 -0.3882803 -0.3677682 -0.1886497 -0.3995192 -0.5029426 -0.5252333
11566 0.03809492 0.07105228 -0.0123851 -0.0271691 -0.009587 0.18781254 0.08039244 -0.0565013 0.00400022 0.13054184 0.05202341 0.00777867 0.12245333 -0.1885024 0.03340272 -0.0451885 0.01068381 -0.0523137 -0.1365365 0.06417805 -0.1338017 0.02547742 0.08885972 0.18805565 0.13777248 0.03428472 0.00042556 0.14473277 -0.12545 -0.0374853
11568 -1.3677338 -1.4954562 -1.1632959 -1.4131597 -1.7104038 -1.6116752 -1.2647857 -1.316807 -1.4464894 -1.4392478 -1.7155253 -1.416577 -1.506734 -1.2088048 -1.2899857 -1.3874937 -1.6064895 -1.0313353 -1.1480992 -0.8695757 -1.5325324 -1.4218511 -1.2113832 -1.2936326 -1.2910208 -1.4877863 -1.5092021 -1.3437273 -1.403676 -1.2355146
