Gene	GSM1630476	GSM1630478	GSM1630477	GSM1630465	GSM1630464	GSM1630466	GSM1630479	GSM1630481	GSM1630480	GSM1630469	GSM1630468	GSM1630467
Gene	6.0	6.0	6.0	6.0	6.0	6.0	24.0	24.0	24.0	24.0	24.0	24.0
24153	3.15581749307051	3.27589038526522	3.0328326343194	4.07107026401083	4.70448621051595	4.34530629474892	3.19471349138242	2.79086065395945	2.78641963020453	4.1288919050852	4.79138763616133	4.34688235137055
24157	8.58954003206839	7.99211961746545	8.09854548065595	7.02514288387575	7.30477359527466	7.00895083519227	8.14043870896221	8.12900790584189	8.06304778204853	7.03971253907184	6.78592931903757	6.91081217180677
24158	8.56395789530207	8.37937728318399	8.41602767051212	7.98941517940122	8.18529824439633	7.81278784514127	8.62848847103597	8.4886922586332	8.62083017392575	7.92565252012	8.09549241980868	8.07474439129991
24159	8.29160482243233	8.51116425680911	7.46248106809474	7.74101324951983	8.47058901468897	8.66558222447798	8.54809614532419	8.55996593530009	8.3530317902232	8.84957786020654	8.7013567938992	8.83725458386797
24161	4.94351975487729	5.08001772979386	5.22940545734487	4.43986843862449	4.10816209791962	4.20243311482995	5.31586159170641	5.36978381907126	4.88081935242819	4.48615508251996	4.13936117339373	4.12653252685453
24162	5.31429764629174	5.20479264555071	5.32234726824606	5.15721538400212	5.16809239999843	5.09230283961628	5.00707459650712	5.35369420743557	5.42989872083276	5.13725930260569	5.04498021095286	4.89399458833322
24165	0.0954694414509163	1.06073805970109	0.978711858191878	0.709200328165707	0.762901851911828	1.07789211509037	1.46725068179314	1.59474004358545	1.99566606921374	2.37343482983261	1.40088691950536	1.43413252686657
24167	-0.85694863737714	-2.03296188211434	-0.812425313603121	-1.30432926496574	-0.830295942271258	-1.65435136765107	-0.563837282722607	-1.55003408282425	-0.580877051805217	-2.05880792072108	-1.01010754345697	-1.14508555482148
24170	4.5404816036038	4.54553941179184	4.40611900621687	4.79209782722527	4.79476582103885	4.77458587826148	4.35344159444653	5.13395773190514	4.35117576833712	5.2545650699723	4.44632290820591	4.55643663369782
24171	5.05754083747777	4.51379580824008	-5.58617486576462	-2.43422262735251	-4.39759461696533	-2.29059739606263	5.17556548557421	4.73368920169638	4.93025672881848	-2.4110937044443	-2.88514043145565	-3.35771934821619
24174	0.441334632962813	0.704944525782729	0.261084126078384	0.429277005497702	0.675940230701353	0.539234524022192	0.10367979728306	0.415163545822111	0.659825361145254	0.501793955368083	0.620256538131236	0.249905670373091
24176	-1.34940296290912	-0.700502914204408	-2.89500384497204	-0.328014107281084	-0.554420502727696	-0.395892981184914	-0.868808235427968	-0.158681425860748	-2.28404199362601	0.569583933543267	0.11918847459656	-1.09950773469971
24177	1.63534405264353	0.622113740104629	-0.0504344874676403	2.54714357005673	3.67261849159911	2.83633743666702	2.56833680690746	2.22903025667018	2.24502553815045	3.53279778754629	3.89424792821782	3.64091816813823
24179	8.98729448039881	9.67232548928843	9.86207720008467	8.98258833121974	8.09134563863072	8.89475235267536	8.28417702375814	8.71860754841621	8.24553726743621	8.25187941008379	7.69408725404872	7.72916776163611
24180	5.2704748069773	5.42958001447139	5.72405695052204	5.5122945676085	5.34925023315931	5.20967695201762	5.25079989965819	4.81107850048403	5.60547067926434	4.78992703886615	5.47185682785145	5.30639811604409
24184	6.76252808276984	6.96743773347695	6.85593617945597	6.86689060188926	6.52823521825264	6.77998245592086	6.67937020554917	6.80855082036728	6.41209901244047	6.41418664905827	6.2856113432802	6.36557344954844
24185	3.21412058077716	3.4436829927694	3.27055571279435	5.34701775162219	4.85709994751354	5.61617386499593	3.43853457346558	3.24134338554265	3.15160672750811	5.66073680288476	5.09994707326593	5.30699464077489
24186	16.5323698970498	16.2757434447909	16.0647753834302	15.8033873302328	16.1881552788594	16.1244266728041	16.7987521515398	16.3765091825133	16.8767985009221	16.2287505874534	16.9282949424394	16.7732415440192
