Gene	GSM1330631	GSM1330630	GSM1330628	GSM1330629	GSM1330627	GSM1330633	GSM1330632	GSM1330635	GSM1330634	GSM1330636
Gene	6.0	6.0	6.0	6.0	6.0	24.0	24.0	24.0	24.0	24.0
24159	0.857834329	1.259946852	1.055600542	0.708444379	1.197568462	1.583608007	1.397422384	1.688594145	0.829033248	1.605504841
24161	3.0179959005	3.0657376115	2.96767882	3.126332208	3.038324654	3.262287527	3.3407743845	3.015884318	2.525282542	3.1239019205
24176	2.700402919	2.937937939	2.138203928	2.469052647	2.335785822	4.329479732	3.719700045	4.360330388	5.050991187	3.059004983
24179	1.481388758	1.637615156	1.362125676	1.718247883	1.867917102	1.1968941	1.300720461	0.950901158	1.668072731	0.650523038
24205	1.33178384	1.428853028	1.321482107	0.470246926	1.176361431	1.31207337	1.036003775	1.953642241	0.502762548	1.405316476
24206	3.485772202	3.298267574	3.524372104	3.622086247	3.271295526	3.523980241	3.514619458	3.423725778	3.435228842	3.325842207
24208	2.858612354	1.87339915	1.378306662	2.063721703	1.644677212	1.769371999	1.793298235	2.23083757	1.885256944	1.543638742
24224	0.171017072	0.616026474	0.159769894	0.456639916	1.077447109	0.255054052	0.402532277	0.178832771	0.135144411	0.16531755
24230	3.66887213	3.863025597	4.031465478	4.684852498	3.978494947	4.372881834	4.679292135	4.486514391	5.593937262	4.104792952
24245	5.070951795	5.3121582555	5.3780808855	5.3213938355	5.420463917	5.8435766205	5.5424667275	5.6657629065	5.3971798155	5.302236491
24252	0.536964771	1.1	1.314259599	1.416761555	0.773821724	1.263949611	1.100148454	1.230434338	1.128237759	1.123507455
24265	13.89477634	13.95668005	14.33497851	14.59262122	14.02092299	14.06595822	13.99806859	13.829707	14.34170047	13.81234086
24267	3.54460052	3.553756815	3.594498653	3.819547103	3.611839919	3.832440756	3.796295337	3.632608986	3.946103696	3.914753572
24356	0.229798268	1.404203377	0.344896823	0.112309436	1.302731165	1.156549671	1.019560144	1.493242718	0.045695313	0.503553511
24383	12.49541236	12.48836739	12.69647622	12.79251384	12.72096103	12.49404454	12.51605081	12.24751827	12.03686185	12.34473
24392	1.759058467	1.90047618	1.48513791	1.179423632	2.018546394	2.071311495	2.236690706	2.239170755	0.92978885	2.20311422
24399	4.803197059	4.882488291	4.680595692	4.254496483	4.77155575	4.647352626	4.722441751	4.697638643	4.136204808	4.794710352
24400	3.075809483	3.164962544	3.008584563	3.244089392	2.981214778	3.302461981	3.408012749	3.52788849	4.104165316	3.04130667
24404	4.922943283	5.189261583	5.023656505	5.67515538	5.244181073	5.542711361	5.470652462	5.341450627	6.546614316	5.26480763
24426	6.62467073	6.835418654	6.996434261	7.458575147	6.746565929	6.860911985	6.826906806	6.522516985	8.20770186	7.028251737
24439	4.754492454	4.940575496	4.887351405	5.174556217	4.744714836	5.011775328	5.053469524	4.879516059	5.213053466	5.151501221
24464	2.555454047	1.635071633	3.206792362	4.671979451	1.908556335	3.93385531	3.125055832	1.25406931	4.244329854	0.446775867
24472	0.528933076	0.8250307085	0.7759177375	0.84060489	0.7445807705	1.2829788305	1.5433881825	1.594951609	0.544093483	0.751989252
24479	2.296261644	2.459615807	2.51604016	1.988292385	2.351402017	2.429343833	2.508106801	2.369225666	2.632643598	2.661675505
24483	1.629420853	1.818068729	1.856333412	1.81347362	1.379139258	1.891920846	2.848055495	1.75383431	2.197887629	1.696675519
24514	3.297110783	3.216167157	3.385549739	2.485025612	3.100849397	2.728109452	2.619349659	3.109515925	1.350697794	2.838027338
24516	4.877143443	4.735281135	5.389184179	4.704546102	4.706994193	4.686831225	4.811765523	4.857878672	2.824268228	5.799184862
24517	1.298439933	1.666251999	1.246846678	1.928361868	1.79017716	3.247336696	4.10955113	4.161921382	5.258081821	2.896818206
24518	2.600017864	2.896346075	2.807256052	3.574809149	2.977316904	3.458066459	3.721871475	3.204502705	4.921958576	3.017298463
24547	2.4115548174	3.5183729972	4.2379869422	4.795162923	1.8664976698	3.990260284	5.7666246538	3.0108085316	5.087255476	4.5515251414
24552	6.384961556	6.684788021	6.528571375	6.31188116	6.55153289	6.506873712	6.324201386	6.434644813	6.142299902	6.066782118
24567	4.799262965	2.424038136	4.759275892	5.84291585	2.706408802	3.824930535	4.529330441	5.948640011	8.052630609	4.691301846
24577	0.1988815185	0.347523591	1.4646365675	0.6200725855	0.820665351	1.315074734	1.439827742	1.8082304995	2.0614010965	1.7595126185
24582	2.915401312	2.77105994	2.979800764	2.342154744	1.815916562	2.648406559	2.757401601	2.221932084	1.341045191	2.775688142
24591	2.08396111666667	2.03695255033333	2.39425916766667	2.47066400666667	1.99275518066667	2.51299828433333	2.30335754733333	2.27259106933333	2.436481138	2.58809553
24598	1.983181629	1.896270615	2.174961548	1.86	2.157807777	1.596588784	1.198416665	3.105240946	1.86	0.748386801
24609	7.042694022	6.233311756	6.848102305	7.218895544	6.079255921	6.98047274	6.369708566	7.111163278	6.444401849	7.814202311
24615	3.3067848	4.391275445	3.574339344	4.291591531	3.947918215	4.262003474	5.104090197	3.941255949	6.245596055	3.690931971
24617	1.155923654	0.464072798	0.684816899	0.877708758	1.46	0.870659765	1.788470931	2.000109026	2.764274309	2.54610393
24627	4.724430098	4.0546865385	4.861583987	4.2314643025	3.962730375	4.3866520555	4.1318676185	4.859277922	2.411730148	4.8394773535
24628	1.862411909	2.756267081	2.148272855	2.450133022	2.83724485	3.085636753	2.868900561	3.010560014	3.135469632	2.370467355
24642	2.450285433	2.431824729	2.155356818	2.574993319	2.274729209	2.783519937	2.756800402	3.191921754	3.319555829	2.660514734
24644	8.495528724	8.638370254	8.465115973	8.27214993	8.636878751	8.310130274	8.6203201985	8.189826313	7.4877642265	8.2983641205
24649	1.261221903	2.68594146	2.140071627	1.385278276	2.361342519	2.731127433	2.290333752	3.203367463	2.169685067	2.897441375
24650	0.40455657	0.482891099	0.743789138	0.356758177	0.388801298	0.421399604	0.530616942	1.026570408	0.240307849	0.783457789
24655	0.654795364	0.62329747	0.746982821	0.777288476	0.884834633	0.618358905	1.102839771	0.185529103	0.960808601	0.885601756
24667	5.8536673725	5.6928102675	5.71395480625	4.97468002225	5.661131739	5.4792973185	5.5402068645	5.7350712015	3.63633687575	6.556853115
24668	6.4970483	6.567665281	6.769085486	6.914928181	6.615912503	6.691451941	6.588881698	6.660214642	6.309798161	6.509772131
24673	3.25639769	3.467478615	3.403389337	3.934902764	3.43703983	3.560424816	3.554716453	3.448574826	3.818826143	3.636445384
24705	0.169873962	0.963914743	0.808212766	0.661355253	1.161684791	1.195481964	1.021627143	0.990758234	1.258909371	0.646436767
24706	1.027586023	1.582941201	0.667775624	0.343265747	1.489237523	2.148040047	2.149163455	2.20419197	0.963161033	0.436600152
24783	3.232765142	2.912620879	3.350721669	2.955102474	3.12381924	3.150137611	2.997934856	3.23550888	2.044530412	2.39359054
24786	7.411424038	7.439047082	7.455290674	7.91191575	7.464642332	7.341790033	7.322882805	7.150237666	8.202429621	8.026191058
24787	5.285026469	5.294107338	4.963893435	5.112415977	5.244301365	5.014367402	5.145278641	4.94469563	5.644803617	5.021745596
24812	0.821908743	1.082467663	1.05001312	1.581690731	1.195184894	1.486270847	1.562153609	2.329240925	3.173452444	1.098703229
24818	5.08264538966667	5.203441823	5.26821536766667	5.34355498233333	5.16454247166667	5.26408832733333	5.23692965466667	5.139411777	5.48830022666667	5.487568398
24831	1.096405067	1.237351235	0.640939504	0.444514777	1.029058425	1.207111494	0.972056516	1.577680409	0.271042345	1.228287953
24837	0.160410947	0.997122184666667	0.932899933666667	0.218261784333333	0.06281408	1.267354826	2.32763179766667	1.626740246	2.40667533366667	2.10390989366667
24838	14.5528482033333	14.66219191	14.7362900566667	14.8443587533333	14.6409760933333	14.5970554766667	14.6790665866667	14.3468219216667	15.1557866183333	14.50933869
24855	2.997875304	2.862840917	3.280006757	3.07470735	3.139048534	3.187009985	2.982796379	3.324709762	3.196942192	3.151648507
24887	2.616784976	2.883071806	3.171059516	3.657830353	2.861314286	3.318615382	3.185402545	3.311913385	3.73592714	3.544833823
24888	2.918104438	1.637824767	2.346325817	3.527149624	1.426421263	2.57948027	2.491962847	2.713623498	3.483619114	2.554802036
24890	1.206912678	1.649787301	1.03815747	1.025849029	1.502896098	1.564998806	1.461533313	1.79570697	0.378961	0.568382146
24896	8.495606338	8.511716764	8.71390759	8.906143739	8.6130892	8.731762813	8.584705904	8.460384701	8.298430154	8.440836911
24908	3.981873827	3.756406625	3.770919387	3.469809031	3.302928334	4.047172835	3.891009919	4.162124937	2.520008572	4.982774696
24914	0.71	0.73192558	1.11551975	0.464284832	0.027044738	0.560872954	1.110364118	0.578114043	0.708145076	1.110482934
24918	1.501629261	1.523319119	1.847840748	0.964017641	1.643005905	2.19436618	1.688881176	2.299721669	0.508522161	2.05595653
24954	2.440694527	2.537567461	2.381128694	1.543049993	2.410462146	2.439245642	2.16081516	3.145062364	1.693948697	3.243593774
24963	2.840629211	2.814936939	3.140660891	3.113539941	2.595085535	3.204667231	2.669122486	3.361647449	2.882117794	3.203176846
24967	1.22	0.37857575	0.250006534	0.563701179	0.76807629	0.767745663	0.937845243	2.487161695	4.071620619	0.783342983
24968	1.04978510266667	1.04030019266667	0.751185885333333	1.415590075	1.20340674733333	1.06048153366667	1.56382401833333	3.32713538866667	4.13855889033333	1.38882016433333
25009	2.72933322733333	2.56620232233333	3.18001412	3.156440007	2.85082203233333	2.82740820733333	2.67510669733333	3.19976444866667	2.70808364566667	3.546881811
25026	0.390504285	0.272889523	0.765808684	0.467885197	0.135998104	0.816980013	0.59	1.296277456	0.351434869	0.840924676
25031	1.446389058	0.768271318	0.85860472	0.95	0.499805267	0.705467446	0.298413448	1.787560682	0.95	1.201705878
25043	2.420532768	1.589233236	2.709064446	3.149513374	1.244251754	2.074800481	2.122332369	1.376823466	1.179904434	1.569858568
25049	1.660099057	1.689042041	1.396107349	1.26879853	1.477730713	1.272855226	1.398997422	1.490615092	0.701786213	1.471266024
25055	1.105972691	0.8164884935	0.795411675	0.5296531635	0.60207247	0.6327687385	1.098324202	1.740052069	0.406572952	1.4336272095
25062	4.825073846	5.073954334	4.818695928	4.343274011	4.901875384	4.7723969955	4.6292594995	4.7609836155	3.7213119445	3.9504789535
25086	1.805500656	0.869126209	3.079902141	2.843095003	0.822432598	2.745599152	2.033919526	1.590485604	2.998297628	2.177009464
25119	3.093889753	3.218845294	2.944963631	2.045907704	3.118064168	3.594181327	2.967304307	4.011803486	1.100533311	3.878701155
25123	5.312070531	5.232550322	5.474706205	6.111032242	4.321972345	5.41714143	5.577069044	4.392647467	5.897549771	5.27001882
25150	0.215309383	0.380474882333333	0.45624622	0.469516174	0.498794300333333	0.452499712333333	1.01968288466667	1.03465920333333	0.578674914	0.631282250666667
25159	0.449285201	0.44	0.256781821	0.635708872	0.44	0.28062803	0.401868824	0.217554848	0.87559667	0.375733721
25176	4.38207113	4.0175714895	3.8815007875	4.4226294905	3.701571753	4.27411636	4.35406257	4.5949792715	3.501799497	4.1974012655
25181	3.241310428	3.158167883	3.478906069	3.197664862	2.970359496	3.412952117	3.919071238	3.419833159	3.352537207	3.32122922
25186	0.536894851	0.632178776	0.803169842	0.799927637	0.369793264	1.026165706	0.840722911	1.151113576	0.797659759	0.877658439
