Gene	HFA2a	HFA2b	HFA2c	HFA2d	HFA2e	HFA3a	HFA3b	HFA3c	HFA3d	HFA3e	HFA4a	HFA4b	HFA4c	HFA4d	HFA4e	HMA2a	HMA2b	HMA2c	HMA2d	HMA2e	HMA3a	HMA3b	HMA3c	HMA3d	HMA3e	HMA4b	HMA4c	HMA4d	HMA4e
11475 1.46330234 1.31815397 0.92534414 1.32723243 1.3884325 1.03549244 1.32977592 1.2928364 1.04719311 1.15319934 1.2091956 1.202311 1.20594026 0.95057713 1.09471535 1.16337533 1.63726589 0.22490583 1.70702937 1.3352301 1.09825897 1.00460319 1.03739877 1.3579097 0.5797035 1.17399988 1.22137309 0.86004217 1.1168963
11479 -0.5334987 -0.6676796 -0.2507115 -0.5764181 -0.5824958 -0.6452343 -0.3956095 -0.724579 -0.5971589 -0.5434383 -0.6473489 -0.6860652 -0.6323489 -0.5291174 -0.670928 -0.9001737 -0.7620864 -0.2933667 -0.5674367 -0.5658157 -0.5650967 -0.5767594 -0.6396678 -0.5553513 -0.3868771 -0.5683612 -0.6784985 -0.5183259 -0.3588441
11481 -0.9982026 -0.8365572 -0.7567795 -0.8459068 -1.0500931 -1.0294988 -0.8936088 -0.8468444 -0.7790858 -0.8680349 -0.8202457 -0.92985 -0.8094542 -0.9990498 -0.9220872 -0.7849968 -0.9747276 -0.9060976 -0.730191 -0.9633846 -0.9281859 -0.9379327 -0.9494746 -0.9124605 -1.046415 -1.1162028 -0.8767619 -0.794157 -0.904468
11487 2.15362708 2.20190757 2.19573968 2.16952346 2.08215362 2.12536566 1.63672683 2.15400148 2.24759013 2.05785983 2.09117248 2.07349179 2.10414153 2.19254292 2.21526078 2.15481336 1.83812908 2.29063494 2.13384625 1.99236527 2.11352347 2.1009482 2.27943755 1.71275019 2.28928013 1.92875835 2.13251179 1.25694418 2.21129307
11490 -0.0878011 -0.13027 0.06628957 0.7640227 0.02900301 -0.3340083 0.76912741 -0.1080793 0.14615654 0.04948667 -0.1924633 -0.2546647 -0.0182888 0.485938 -0.3596361 -0.3731354 -0.1649614 0.01655306 0.5701026 -0.2527873 -0.0358426 -0.3666106 -0.3064137 0.4855485 0.01185561 -0.0533924 -0.099333 0.50964383 0.21827928
11491 -0.71308407 -1.021664158 -0.800041475 -0.809692725 -0.933747318 -1.044556853 -1.196763915 -0.927196298 -0.793173175 -0.805366468 -1.104363478 -0.937009185 -0.881522238 -0.774475353 -0.888319575 -0.951670385 -0.92612855 -0.788270528 -0.856912633 -0.921247015 -0.76430013 -0.971423173 -0.947183693 -0.974640603 -0.627680373 -1.008775415 -0.884088415 -0.986609893 -0.732929053
11492 -0.361197 -0.332451 -0.2120132 -0.3020294 -0.2985073 -0.4653637 -0.308164 -0.6737466 -0.393375 -0.1073253 -0.4006797 -0.1200294 -0.2461876 -0.6229568 -0.3118936 -0.2629581 -0.3120035 -0.418586 -0.3113321 -0.4163579 -0.1533728 -0.2569327 -0.3714032 -0.0769616 -0.5401463 -0.3364383 -0.4851437 -0.2260427 -0.3894782
11496 0.382410915 0.38745967 0.362989755 0.37161976 0.328117245 0.316849175 0.134181735 0.35371063 0.406897315 0.465492155 0.33332663 0.479745855 0.36789327 0.32382479 0.33716497 0.50367744 0.298847015 0.5120215 0.280827195 0.265688075 0.39831979 0.468307095 0.407402795 0.264734455 0.33980996 0.338857015 0.28022305 0.317170255 0.33482803
11501 -1.1796728 -1.2557392 -1.0229752 -1.2432435 -1.2168635 -1.2884349 -1.3220577 -1.2831587 -0.9017209 -1.3728523 -1.2159279 -1.4601559 -1.5483318 -1.1626788 -1.1354394 -1.0417414 -1.3153333 -0.7623459 -1.2280264 -1.2844657 -1.2140129 -1.1303049 -0.9352145 -1.2412807 -0.757692 -1.3701921 -1.3250986 -1.2364444 -0.9539238
11502 -1.8894244 -1.3589361 -1.3987457 -1.3112302 -1.309089 -1.362239 -1.0233261 -1.3275627 -1.37492 -1.353247 -1.2033968 -1.3382576 -1.5801675 -1.5728867 -1.3711032 -1.6491361 -1.2291652 -1.1094892 -1.3459008 -1.4312519 -1.4416158 -1.3124443 -1.3863934 -1.4051712 -1.616921 -1.3511841 -1.5593913 -1.2831943 -1.272038
11504 -0.5060623 -0.6294509 -0.7803957 -0.1914913 -0.3681881 -0.4536684 -0.38923 -0.3255071 -0.5825102 -0.3253492 -0.6537819 -0.3424311 -0.3088629 -0.4017941 -0.355811 -0.6441424 -0.4109432 -0.6327237 -0.2708419 -0.252453 -0.3226268 -0.6163934 -0.5211213 -0.3172347 -0.6703775 -0.3409645 -0.3239506 -0.2818625 -0.493483
11513 0.54216413 0.64873736 0.60198693 0.63764078 0.62493281 0.59482672 0.80221427 0.43807246 0.46759594 0.95483718 0.43761921 0.89950609 0.82948539 0.5015637 0.44918647 0.74165377 0.88211885 0.15503966 0.85111891 0.78030584 0.79489751 0.84525941 0.55783464 0.7184712 0.39835716 0.90916159 0.50411318 0.75397738 0.66514244
