Gene	GSM1399443	GSM1399440	GSM1399441	GSM1399442	GSM1399445	GSM1399446	GSM1399447	GSM1399444	GSM1399448
9882	9.19145284749696	8.10902095115047	9.67732852843636	8.67284429917819	8.73472655316685	9.40445293330701	8.26480850573385	9.1112178467257	8.04144834398173
9883	10.5115528859629	10.2232954131078	10.2602766445229	10.7360829978851	10.3511342525417	10.1543504228878	10.0087347770942	10.0416234944548	10.5672721062723
9884	5.6675543974461	6.83058492366881	6.77645935275271	5.93721725611085	6.89379903074292	4.9950140964714	6.72753931496571	7.1354835668235	6.22342448073536
9885	8.15431687529226	8.49279855321279	8.63210095789145	8.32976719257194	8.59762055776508	8.78875421612311	8.35395838889469	8.52668897773568	8.35969246623817
9886	5.5679864876386	7.01753223866122	7.80622737605188	5.36396651322367	5.66187213705044	9.27405428224021	8.13564259999242	6.95588234721807	6.8410422099282
9887	8.75051494903199	8.58458386882569	8.48987230613072	8.42170047123061	8.88082896328388	8.87059028232135	8.75394643791271	8.77701492819733	8.62154275856171
9889	7.35065282345467	7.38533266826903	7.50204889730164	7.52504661890989	7.74994851373774	6.67004647097945	7.70215986905015	7.5235082460299	7.79202661864979
9890	1.25220369615542	1.88039166742512	-0.181409540227199	2.18812236071378	3.85132928725514	2.62618211549718	3.8289869315477	4.29295103514208	-0.549626454962075
9891	5.21790149101785	2.89294079683452	5.30997285562526	5.13209970384355	4.88833412293189	3.38839621218557	5.17186332208462	5.03776876328366	5.18388742792647
9892	1.10809618460192	1.37297437874427	1.62160414837803	0.731357049781661	1.12554530896213	0.806200304116112	1.12096233534026	1.089104881489	1.51573767896917
9894	7.34013049965072	6.87962000570611	6.90039589342068	6.9613165609298	7.17482583855857	7.16511150341829	7.26929502271942	6.9593586595628	7.06539997747876
9895	7.27452072663971	7.51825264649269	7.6770758340704	7.07255067721555	7.4465109952794	7.76949704310785	7.42860974364025	7.6316958232372	7.88337521467076
9896	9.02647641238467	10.319028521876	10.7247440520473	10.2104400070469	10.2682144766143	11.3850049391824	10.0412073832224	10.5703870296691	9.57102068349565
9897	9.71717087721196	9.71675431141978	9.92178293064384	9.42113702112509	9.68626064168174	9.86636865895372	9.98567119375906	10.0282514281628	9.72238405083313
9898	10.0608303338132	10.6159183309894	10.3697595449363	9.38662775325945	10.3625224897009	10.4573385518724	10.1027296397775	10.58882587807	10.529374182518
9899	3.53443518018184	4.44975944271517	2.40245478422713	2.67870294616286	1.35032750827096	6.04597366119843	6.02145085545355	3.22235480772542	3.13887179556352
9900	6.08838544668783	3.17100181178033	4.34625486696131	6.41658643754191	4.35494576332571	3.6144860618151	4.83415498140132	4.63623018165193	4.39947190881555
9901	4.16692428325279	4.88366235670336	4.93272971842228	5.54441119706216	4.2685470529403	5.44111160303957	4.94950225023489	4.49210634722992	4.94823405358798
9902	9.43003641004058	9.01113918123533	9.24921302724237	8.23934075425379	9.6896512288272	9.06108443443063	9.31771333232811	9.32987816708726	9.91216631099145
9903	8.8288029220115	8.36117179115858	8.59805994631034	8.03444133893225	7.88804303710443	8.59358907124909	8.37036483469653	8.22187224889102	9.19166874473426
9904	7.34064104187035	6.71350611876394	7.07932850562269	7.111303670508	7.16564115703978	7.02218580001916	7.2314583297215	6.99809731890762	6.86133471800085
9905	8.43505874809854	8.73180392136886	8.6078516859678	7.6327214103939	9.00775100325011	9.39809987833653	8.25647935031732	8.70107722997742	8.50082926795095
9906	10.079680174438	9.92936338862572	9.95962339223618	10.3218193814659	9.70662741733461	9.74590713619816	9.84635548674795	9.95897386290908	9.79072406993018
9907	7.77144655116078	7.23929778727633	7.2018764134846	7.15706089461141	7.82305828551247	8.56562954169643	8.07012362855812	7.21573197844274	7.70772838714086
9908	9.93631648644087	10.0559647520436	10.0036120742258	9.56395953216251	10.1456426439843	9.92402028811581	9.69118691880669	9.98471892963535	9.94861252729583
9909	10.6028009170062	11.0564954705618	10.9072812726136	10.4591446905246	11.0414880438815	10.7037132773763	10.2647123472506	10.5865208214207	10.8283983357669
9910	8.62795939547452	7.73020631243943	8.15161193481358	8.70717274316984	8.3999415219743	8.44138416970431	7.67731678165507	7.82844668053649	7.6410722298166
9911	7.0222568322183	6.94205699291193	7.34001029342875	5.62237400978062	4.12160396679606	9.1065210656954	8.66849501398657	6.91413394680099	7.66441172785495
9912	5.08744586826766	4.95933222709831	5.55930519299822	5.63440740203982	5.96752139742062	5.76166823891027	5.39563866548085	4.8959302704276	5.33463084162511
9913	8.31616022711061	8.62859074408041	8.49217926883414	8.61044772688572	8.51125375076257	8.41102068498162	8.47062173020056	8.55001294025694	8.2799590451852
9914	4.780732660701	5.81571502949409	4.57806619225911	3.52630110193299	5.70884937710518	5.71645458393329	5.41642598843408	6.12679428362089	3.42779253120109
9915	2.60419945207806	2.86405536739981	2.55837540351397	5.20760787561332	1.32290302724498	2.11460023624689	2.40226375915272	4.19108883328748	4.52040967596586
9917	8.24476340511975	7.85500236383523	7.62699026357926	7.77314250430459	7.5232208438083	7.54330254191181	7.7314921440434	7.58943767551828	7.66900904361618
9918	9.38544829420802	7.95528373905961	8.5636500824205	9.8959629782417	8.07879127019534	7.08729310243717	8.25365842165248	8.27126692010478	8.62070003287348
9919	10.9178568748372	11.2934084217736	11.3542218283009	10.7989820409442	11.2107687376317	11.1485719113001	10.9612036772778	11.2922928706525	11.8797402222211
9920	6.80797308747771	7.50721586072151	6.20127706365966	5.29871696051243	6.77216279012984	5.99710268573305	7.28306982712604	7.24484901286657	7.80834643410499
9921	9.85272065968523	9.8395565437543	9.48752353048811	10.3595623491621	9.51717429937016	10.1085871812859	9.85510439883367	9.81704759944398	9.88536158654685
9922	8.95495672437437	9.87810687165282	9.72070940327251	9.6311634109827	9.50469089683983	10.3997105079209	9.67384082226634	9.74915041414052	9.90250400154575
9923	7.87033697518123	7.63923939986356	8.082391244728	7.29600764225151	7.08803132080872	9.02745957645612	7.21945170629095	8.04844327914925	7.82301050313085
9924	7.5277584800718	7.78058569677058	7.98462352624574	7.75067349320609	7.56246377314546	7.77522177890566	7.34194128478803	7.63491992870774	7.46178227914045
9925	9.25066319122314	9.20663834050242	8.88406059529865	8.87015199886361	9.07939677941196	9.13353270210734	9.12458145298849	8.69052185753822	8.96257794131189
9926	9.02734760423363	9.27598943716697	9.38905909476641	9.47019518507859	9.50863464656308	9.7627391383617	8.83520090379241	9.22510860231892	8.62987749924685
9927	9.63644427239154	9.75305040337081	9.69653986890355	9.71399044724576	9.99565057188679	9.58821672620119	10.1700583694285	9.71918686372906	10.2479263270163
9928	6.86709337083677	6.21406456224934	6.85535439302211	8.76196669538209	6.17004722459473	5.05678725997497	3.5013627089597	5.84246349152891	4.07563531043439
9929	10.2743665044707	10.5216691378519	9.97823853915142	10.28941952005	10.1909111116307	10.1131561149311	10.10280245663	10.230428801147	10.5102399956864
9931	8.95966874112648	9.78976347977018	10.186163773285	10.3789233914954	9.87263640788988	9.76423467442272	9.22831125351027	10.0038551808267	9.13278759728914
9933	8.37627301642974	8.2966501209362	8.66018134439655	8.38021428144047	8.53090568262703	8.69577463705908	7.49375139536071	8.3768633740274	7.37291728342225
9934	6.26960734153363	5.67562683316237	6.76261457875456	7.00775614146135	5.6137143355762	6.56252635530349	8.3338441007191	4.68858322724615	6.59843071591291
9935	10.8308479154069	12.7560871618772	13.2516747176912	11.2367018800874	11.720941064768	13.6346862834133	12.6820596882412	13.2372562768573	12.9969006552962
9936	9.54762912147778	10.879085418625	11.0231375074289	8.27066442227631	10.3317007385201	11.1449513401414	11.066654314757	10.7723475682851	10.6271416953501
9937	7.02214584287018	5.18158363398431	6.60181534972849	7.70904933913869	7.10755187801878	6.81652291092957	6.85890104163553	6.83804412612874	6.56935741287603
9938	11.0436869435248	11.1300202775593	11.0974988717621	11.3642167483689	10.9753428646984	11.3833316921257	10.2378134476033	11.1749412824925	10.5456354099692
9939	8.91579424835588	8.72428532304028	8.61307392391275	8.59426954530153	8.44605354347059	8.43972389830894	8.76540213962168	8.55259129361987	8.40420308707035
9940	2.51729081307838	2.12491259486479	2.54653891133331	3.043720121351	3.44345194242571	3.14894386342258	2.77547341712733	3.33301338511625	3.96667409533393
9941	5.72969541963925	5.85871368154325	5.34624694657801	5.60256476391544	6.21931175005434	5.4317927572001	5.93791605194401	5.890213845156	5.87386486284303
9942	1.572761962031	3.21671456309286	2.31434366261437	1.35844877720098	3.30230003913017	2.29004883746988	3.56097249737977	0.654197210671062	3.54540872216886
9943	9.59073299611657	9.72700827410089	9.65531246883594	10.1692861669061	9.60193602972758	9.58823865507157	9.17221496425756	9.80645940037957	9.48438992010884
9945	4.41345868800798	3.23013382876124	4.28443269803618	1.42537873503381	4.94547661122765	6.05613478389382	4.19585150857564	5.20654555122304	4.45293801433115
9946	7.73712563427024	7.45387146031218	7.33956499793686	7.52687478001452	7.34362101270889	7.38969586387232	7.66173535061896	7.78580553784564	7.57850855683087
9947	3.35936654751361	4.39487765091651	3.15806875919698	5.03306613817295	4.60788656889436	5.73422186622078	3.27314435162181	1.69081934015993	3.44559429134118
9948	11.7639187968918	11.7167315082561	11.547161541086	11.4391607424477	11.6317955945677	11.1611876634892	11.640054643406	11.7681857724346	12.0694339238773
9949	8.1460900314307	8.07328469186198	8.51558552185291	8.61031988150748	8.02661749819083	8.52338552875664	7.71505594720878	8.38916237371609	7.54315558503031
9950	9.28271084088878	9.54731679139955	9.66001729195049	9.41545446805199	9.55387500148841	9.54939771585494	9.14444411672419	9.30467074427608	9.04265528013885
9953	0.253553669898707	4.77386449388333	4.53545579943529	2.23809591220888	3.38697644692639	5.26151577142106	4.76949142302589	2.40736362910122	4.72697286442553
9955	-0.249971546441583	4.55134989818768	0.972236800629824	0.797345070843513	4.45700979399299	2.29470308124017	3.3812972178792	3.80027869568771	3.70795541482678
9956	7.71679203014741	9.21593335576568	10.1382589989172	6.98940017694145	8.0864494164481	8.68945292797527	9.56812143414483	8.13791844383109	8.13992988228543
9957	8.72346311127803	9.36690267291721	8.61959299386984	4.95087491194758	9.27927727961331	8.51428943369006	9.74719044347583	9.29038385330193	9.70814015035537
9958	9.0855056547276	9.16290738388934	9.42206897227467	8.97882341098613	9.45367909967013	9.71954283710232	8.29612927624352	9.33604567177442	8.36114766004563
9960	10.1807172703102	10.1750754354591	10.235008979568	10.786392161661	10.3735503406778	10.7737326506079	10.5295867237762	10.3106014218113	10.321093795629
9961	10.8561375834061	10.7362497045844	10.7055114377972	10.3660161555631	10.7070571009077	11.0142506692422	10.8391959131025	10.8083448250596	11.4528846974866
9962	7.36098662937683	6.86955025072777	7.38531224580942	8.19982854655735	7.54935009368239	7.41557756349254	7.50554084956445	7.23211932481886	7.57537486225488
