Gene	GSM2394	GSM2395	GSM2392	GSM2393	GSM2390	GSM2391	GSM2400	GSM2401	GSM2398	GSM2399	GSM2396	GSM2397
Gene	21.0	21.0	21.0	21.0	21.0	21.0	62.0	62.0	62.0	62.0	62.0	62.0
9	4.16188768237689	4.71149490665009	4.49825086752783	5.36106648879432	4.60288440871842	3.78659636189081	4.26303440583379	3.67807190511264	4.12928301694497	6.69209237542757	4.53605290024021	3.90689059560852
10	5.7839804136838	6.19377174339668	5.85549144310187	4.39917109381982	4.54843662469604	4.10433665981474	4.27052894238072	3.71149490665009	4.5909612413426	5.43962313755712	4.11270013274936	3.99095486039699
12	7.30469355747101	6.68369645430652	8.33940465790782	8.1893304006149	7.81313985089045	8.02014657311178	7.27891401949994	6.4708621994137	8.90147031982427	7	7.89602960297675	7.3037807481771
13	6.47411151394241	6.53760669149529	4.90207357931074	4.60288440871842	3.20163386116965	5.62058641045188	4.99548451887751	4.91647664443772	4.5668151540109	5.16591193893569	4.51727569320958	6.37851162325373
14	9.64925617751731	9.38456792317383	9.85018683764577	9.66853047018635	9.82623067805053	9.59768014371589	9.49024921062709	9.51254295509686	9.92955431573285	9.67419226814568	9.81089291189221	10.0695840278198
15	10.9883296492311	10.2791462440543	11.8730210855374	11.2823355468764	10.7898596409136	11.8087631164504	10.9423678825391	10.5229737811324	11.6842664728697	10.9343543190171	11.8710581562903	10.7658662099005
16	9.66249036391378	10.1899480720037	10.186361891253	9.95405087008826	8.83099048124926	9.89648378054729	9.76371033438796	10.0969786363705	10.317073382261	10.0520245604828	9.85953478638265	10.0643385918828
18	6.97956810009519	5.90849270020502	5.22625161679208	7.40967378978842	6.86294724802092	5.91488338636205	5.62253995853763	6.86418614465428	7	7.74752167254042	6.64673869830785	5.14023331650551
19	9.30035256032822	8.41334584963313	9.27068466530611	9.16624678750186	8.6978942614779	9.36230915173919	9.03580716727824	8.56643464628328	9.3759806421063	9.30780797208981	9.31929578207936	8.80327009617439
20	6.74326361806657	6.78528898070402	6.20945336562895	6.97651639077985	7.27146302790437	6.64529816394863	6.59792839202432	6.87323902401678	7.18817670599853	5.71149490665009	6.71836162613835	6.21205047711499
21	8.69835740595729	8.30833903013941	8.72417275014144	8.83983364841731	8.89784545600551	9.15228484230658	9.16691625156997	9.01986867750447	9.04220656012069	8.54419169841571	8.91826695909256	8.8814199080924
22	7.97785230797118	7.81762325751143	7.91288933622996	7.15987133677839	8.25644459647344	8.16289479937478	7.48944659862258	7.98811658476014	7.28540221886225	7.94836723158468	7.50937914891469	7.74685018309805
23	10.072534599723	10.2735625117203	9.78463484555752	9.83652380965103	10.317864798392	9.78692302215279	10.0082885477911	10.3059477279732	10.2398371687403	9.97211821838414	9.95535930524299	9.94617524072356
24	5.53605290024021	5.89481776330794	4.52356195605701	4.76022094646651	7.4749227003798	5.06608919045777	5.64673869830785	4.78135971352466	7.77544567410286	6.20163386116965	5.30012372456901	5.68650052718322
25	8.86020757657767	8.85377738063857	8.8297755800904	9.08480838780436	8.84413034985909	9.06326024367536	9.14321312497278	9.10673740548617	9.00023479453887	9.15186219837771	8.97379301670921	9.27589169375814
26	7.31560245663795	8.04930403348226	8.32327998788732	7.90388184573618	7.15380533607904	8.49944729748518	7.12412131182919	7.64241277290506	7.44294349584873	6.07253459972295	7.92184093707449	7.98299357469431
27	6.82145511910246	5.05311133645956	5.82781902461732	7.75622271284729	6.12722055048807	7.02680005934372	5.64673869830785	6.05093696522523	6.7045953476324	6.12515513132229	5.77082904603249	5.98641093525204
