Gene	GSM132530	GSM132509	GSM132527	GSM132529	GSM132528	GSM132501	GSM132526	GSM132510	GSM132511	GSM132525	GSM132524	GSM132557	GSM132561	GSM132560	GSM132518	GSM132519	GSM132500	GSM132523	GSM132558	GSM132559
Gene	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0
22933	7.12722055048807	6.6667565918848	6.88874324889826	6.84297883178833	6.44294349584873	6.55151601762801	7.2278565730605	7.02901108665907	7.24031432933371	7.17392693199981	6.65391987311942	6.62351574149055	6.95419631038687	4.79701297783614	5.83035674741922	7.32553033156756	7.06824086131282	6.5894638929561	6.86418614465428	6.39059890555246
24152	5.26303440583379	5.99322146736894	5.89965902637744	6.20163386116965	6.28355142317431	5.33628338786443	5.70873904135958	6.11894107272351	5.68369645430652	6.37851162325373	6.34340782229781	5.49505552836802	5.59991284218713	6.58646452588639	5.4757334309664	6.36457243229586	5.84297883178833	6.25550073314839	5.44294349584873	5.39917109381982
24153	8.17841587438304	8.42584530563943	8.58308276750293	8.33539035469392	8.29920801838728	8.53177132541286	8.57175264350355	8.63299519714296	8.43003431857349	8.42961596420174	8.67771964164101	8.67666233485797	8.73504824129086	8.91558065328529	8.5208150858443	9.00842862207058	8.97068112787693	8.65033375384593	8.67807190511264	8.9518675043269
24157	8.46842040186455	8.60954813899943	8.53683000504806	8.58608916617544	8.43504513127809	8.64673869830785	8.32777717058405	8.467605550083	8.46025109894385	8.65678236421899	8.44003860049473	8.44501484586842	8.65642486327778	8.54959216744175	8.81057163474115	8.78135971352466	8.58759001940925	8.76950729143624	8.84014847548695	8.49465561290021
24158	9.19081236791614	9.38132663886078	9.26842503609065	9.00814845991009	8.91348784071516	9.46719795153787	9.37764435839991	9.36413465500805	8.6582114827518	9.32080054888164	9.26959425168337	8.97498811199193	9.34739990950854	9.12567176339259	9.02292258905563	9.21237478756727	9.47755591073265	9.27612440527424	9.44935502475364	9.07092594498551
24159	11.0089887832273	11.2188053803736	11.102631888855	11.1144581276009	11.0685095946732	11.2822196956726	11.0461008450288	11.1787270884492	11.2250869060072	11.0808841324901	10.9538326821453	11.0527718069009	10.9473447169581	11.1143930548673	11.2537293233066	11.1995496614704	11.1275430052939	11.179287104646	11.1173833669315	11.1409575503259
24161	9.86866824758828	9.95230444190257	9.75547180889673	10.0585329702016	10.0392617943411	9.77577486863729	9.89375656793763	9.89261870602764	10.089781488354	10.0821490413539	9.84862294042934	9.92295599190848	9.92955431573285	10.0984927240704	10.0549434165733	9.97312333067025	9.76196669538209	9.97963954716916	9.87044178456784	10.0548077866925
24162	9.28262513419167	9.02624677264819	9.02541644454419	9.04302728359455	8.91468410532839	8.95099323197964	9.04739660751998	9.15633593669436	9.00337736020232	9.07815080773465	9.31537602721884	8.93899143877554	9.11296071164303	9.17617314910749	9.10564665267773	9.12437983616298	9.27076252046605	9.06123616574775	9.10904707770071	9.28540221886225
24163	1.76553474636298	2.16992500144231	2.58496250072116	2.35049724708413	1.48542682717024	1.43295940727611	1.48542682717024	1.72246602447109	1.76553474636298	2.74416109557041	3.90689059560852	1.48542682717024	1.76553474636298	2.03562390973072	2.98185265328974	1.84799690655495	1.92599941855622	3.4594316186373	1.67807190511264	1.88752527074159
24165	5.86789646399265	5.45285896471381	5.49825086752783	5.57288966842058	5.6409679104499	5.5909612413426	5.51412226017071	5.93073733756289	6.01792190799726	5.63807383718072	6.55151601762801	5.14974711950468	5.21334728173344	5.63517394667492	5.75755668893945	5.98641093525204	6.1333991254172	5.15380533607904	5.33628338786443	5.8703647195834
24166	9.12127448240965	8.71836162613836	9.44294349584873	8.61176256006487	9.21115824728025	8.98441845880114	8.5762953763282	9.07868454619464	9.33315535031062	9.27052894238072	8.99378756313484	8.99123838108984	9.11945993445933	8.56376827845203	8.89875252616484	9.11426290059405	9.14923903883703	8.97899639608894	8.80122333788621	8.62497817956904
24167	9.00232278421358	8.68501154209551	9.10702086618778	8.97434288349865	8.75697322616545	8.76138501376339	8.93450175846954	9.05609575603812	8.61911951145322	8.98705079015316	9.0195212327033	8.65901474024219	9.0146481990767	9.08194939261759	8.68772559734675	8.78659636189081	8.80138502968138	8.75330033279712	8.92087385860831	8.98783244984226
24170	10.5580858313914	10.8487011755662	10.8527635674921	10.8500305241898	10.7013064619586	10.7018262584121	10.892125353692	10.5400311451309	10.7659904890961	10.6922231747786	10.77474588621	10.8248394388726	10.7757748686373	10.7874944996968	10.728345714711	10.5978663339518	10.7130857431078	10.7583481540372	10.744034921527	10.8868016093941
24171	4.02680005934372	3.23266075679027	3.32192809488736	3.60880924267552	3.35049724708413	4.12928301694497	3.15380533607904	3.20163386116965	3.13750352374994	3.08746284125034	3.41953889151378	3.18586654531133	3.0703893278914	3.94485844580754	3.10433665981474	2.88752527074159	2.98185265328974	3.57288966842058	2.90689059560852	2.58496250072116
