Gene	GSM2330258	GSM2330256	GSM2330257	GSM2330254	GSM2330255	GSM2330253
Gene	3.0	3.0	3.0	22.0	22.0	22.0
11302	2.16124723604876	1.67564480581206	2.36657791713189	1.39310722664596	1.42291889069427	1.19979437899
11303	3.99062699967423	4.39209254255562	3.83434865704717	4.68456176313019	3.58664511927306	3.98710096752943
11304	0.265691064857058	0.175806878130944	1.36771321732863	1.53576381328134	-0.80074673691616	1.07299029063217
11305	2.78113199458526	2.96185698194687	3.04604285681724	3.02296626534144	2.66942870358328	2.78593117867025
11306	2.78992782973012	2.62605367386472	2.56810879114664	2.64619745011918	2.99045235531742	2.72450023395395
11307	3.0613612314848	3.32719219045781	3.1265769544932	2.47255507483218	1.81234733689425	2.61609469879274
11308	5.32553568895694	5.03226409518744	5.26936705251059	5.28544947822279	5.39364608323467	5.30131820348967
11350	4.64457867512749	4.85006937116845	4.83430865341361	4.44574548184503	4.63689406001201	4.58098423721028
11352	5.29191920832028	5.371840896856	4.87938609186142	5.59724721869253	5.4985181060826	5.24808251769644
11363	6.04941944195094	6.17708073017867	6.22965111656715	6.36400566005714	6.29787331411661	6.3227445637035
11364	4.57406752598215	4.32332647938643	4.67022523976932	4.62460750720922	4.73875836602128	4.72401308963691
11370	6.35459734923462	6.04145262008591	6.37539633361938	6.26844003635465	6.22785004015095	6.45542008225563
11409	4.9787055944226	5.03570905583813	5.35237772685156	4.82910832894939	5.36094698124739	5.04452463766612
11416	3.05260526760373	2.66539338678959	2.9746920198826	3.04235327655482	3.01217396619366	3.18223379469488
11421	2.59591876708488	1.94275165229033	3.60749063579613	3.25080590870856	0.17995523375167	2.71393264527632
11423	1.11044746786304	1.54706156721429	1.4763116148618	0.920693439261765	1.10136727535056	1.09092457914287
11426	5.20460472350231	5.97106497936651	5.06489325203365	5.60403296134065	5.78283907319012	5.51763447400697
11428	4.78856179333001	4.758974625965	4.83189160872014	4.72525826432229	4.89223451284002	4.75832135192128
11429	6.9616579542746	6.7914311997871	7.22157020257166	6.99680474490949	7.11881300405538	7.0526608752614
11430	4.83994387583356	4.88143263238706	4.86544848346547	4.78011916113263	4.67999965323055	4.89763227701749
11431	2.6615878998232	2.05789477640436	2.82766661004468	2.47558182852978	2.96795936193952	2.85712643005745
