Gene	GSM70910	GSM70909	GSM70908	GSM70911	GSM70912	GSM70913	GSM70914	GSM70915	GSM70916
Gene	2.0	2.0	2.0	4.0	4.0	4.0	6.0	6.0	6.0
11287	0.670146	0.203015	0.114091	0.539533	0.272063	0.0768367	0.069891	0.822637	0.0612195
11298	0.889466	0.701323	0.209167	0.832757	0.570455	0.153673	0.814383	0.952729	0.238756
11302	0.771007	1.35421	1.00056	1.89494	0.949199	0.893677	1.26963	0.888613	1.51794
11303	0.761506666666667	0.675731666666667	0.747277	0.422869666666667	0.806929333333333	0.754545	0.782098333333333	0.539634666666667	0.912458333333333
11304	1.11957	1.33438	1.10907	1.36945	0.928467	1.26302	1.28506	1.2448	1.17335
11305	0.773915	1.02996	1.09607	1.71389	0.376994	0.479577	0.827825	1.12945	1.26319
11306	1.07977366666667	0.922171666666667	0.999974666666667	1.00199633333333	1.18928966666667	1.27972166666667	1.10217666666667	0.863522333333333	0.946924
11307	0.808273	1.50639	0.9779095	1.56695	0.7151	0.914974	1.198105	0.837597	0.942028
11308	0.939489725	0.92057475	0.829902875	1.0735485	0.96274725	0.822876	0.8820015	0.599908125	0.696834325
11350	0.406248566666667	0.486390333333333	0.408694733333333	0.649720633333333	0.681369666666667	0.503602666666667	0.793576733333333	0.818708933333333	0.575328
11352	1.068836	0.905407	0.900781666666667	1.002628	1.05981033333333	1.04466533333333	1.08949533333333	0.92986	0.642731
11354	0.536116	0.682868	0.31375	0.164206	1.02682	0.678724	0.613826	1.47309	0.964207
11363	0.472075	0.41476525	0.6440685	0.4679425	0.48757295	0.5979461	0.728304	0.50619845	0.8727755
11364	0.898406	0.83302	0.884366	1.21596	0.917017	0.989865	1.13409	0.862747	1.01013
11370	0.890161	0.819451	1.05105	1.1651	1.00946	1.34172	1.24304	1.28932	1.14708
11409	0.963809	1.50599	0.831228	0.830118	1.27881	1.4395	0.872919	0.299474	0.920085
11416	1.33777	1.35233	0.949781	1.44803	1.24891	0.992661	1.00734	0.530072	0.915185
11418	1.15064	1.06982	1.06939	1.17516	1.13199	0.983207	0.852724	0.987044	1.38304
11419	0.932472	1.0496	1.44187	1.33407	1.39258	0.57544	1.1009	0.746822	0.833862
11421	1.0234935	1.190405	0.760607	1.22568	0.7328145	0.46102	0.5500125	0.1645275	0.707087
11423	0.721731	0.979684	0.996375	1.01006	0.685799	1.00362	1.08828	1.09398	1.06905
11425	0.0731068	0.0738235	0.0380303	0.0821028	0.0965385	0.0384184	0.0546973	0.401753	0.104073
11426	0.9810865	1.15014	1.117725	1.003972	0.8751605	1.0662885	1.216945	1.028606	1.104365
11428	0.841562666666667	0.674260466666667	0.650338733333333	1.01126666666667	0.838598333333333	0.770868	0.663319033333333	0.709413333333333	0.545953933333333
11429	1.052086	0.9237115	1.076345	1.122255	1.011942	1.023315	0.9958775	0.878681	0.9674275
11430	0.9722945	1.045502	0.945098	0.890647	0.974744	1.079325	0.955601	0.918247	1.03421
11431	1.12767831666667	1.09835966666667	1.09175233333333	1.37647883333333	1.113294	1.09158433333333	1.12588533333333	0.7485505	1.06887066666667
11432	0.925682333333333	0.981166	1.012165	0.836177333333333	0.906227333333333	0.971796666666667	1.034493	0.947437	0.935865
11433	0.0974757	0.332206	0.114091	0.598178	0.122867	0.0384184	0.115472	0.0994817	0.257122
11434	0.828544	0.719779	0.817652	1.05561	0.737203	0.704337	0.610787	0.864726	0.832585
11435	0.0731068	0.0553676	0.484886	0.0469159	0.0614336	0.140867	0.285642	0.034436	0.146927
11438	0.946178	0.962365666666667	0.883404666666667	0.863739333333333	0.824921666666667	0.967691333333333	0.854828	0.993367	0.906863333333333
11440	0.9886455	0.921913	1.040527	0.772024	0.934511	0.9799755	0.9462185	0.806027	0.889096
11441	0.950388	0.0738235	0.703561	0.867944	1.08825	1.02449	1.41605	1.18995	0.8785
11443	0.657961	0.498309	0.532424	0.715467	0.588007	0.525051	1.35224	0.891509	1.18766
11444	0.5288351	0.714751666666667	0.546671	0.842135	0.707322333333333	0.681356333333333	0.706642966666667	0.787152666666667	0.735592333333333
11447	0.158398	0.0553676	0.152121	0.0469159	0.236958	0.0640306	0.118511	0.570107	0.492817
11448	0.0487379	0.0738235	0.0855682	0.11729	0.0702098	0.0256122	0.0607748	0.103308	0.226512
11449	0.0203074666666667	0.0738235333333333	0.0507071333333333	0.1759346	0.196002166666667	0.251853766666667	0.0749556	0.286966433333333	0.143865966666667
11450	0.389903	0.239926	0.370795	0.269766	0.0263287	0.435408	0.194479	0.577759	0.431598
11451	0.0243689	0.332206	0.123598	0.621636	0.0614336	0.448214	0.12155	0.137744	0.0673415
11459	0.938204	0.31375	0.541932	1.10252	1.03559	0.729949	1.35832	1.38892	1.24276
11461	1.0038395	1.26539	1.00467	0.9934325	1.01155	0.9178875	1.112422	0.973845	1.036703
11464	1.55961	0.775147	0.94125	1.16117	0.754755	1.07571	0.683717	1.167	1.255
11465	1.20091	1.20044	1.14588	1.1856	0.908726	1.04348	1.07193	0.984991	1.08615
11468	0.182767	0.31375	0.27572	0.0586449	0.0351049	0.0128061	0.0273487	0.0420884	0.171415
11470	0.0243689	0.0553676	0.456364	0.22285	0.377378	0.0256122	0.303874	0.0497409	0.28161
11471	1.56003	1.24368	0.804412	1.15043	0.827958	0.565718	1.04888	1.37512	1.26053
11472	0.609223	0.276838	0.541932	0.11729	0.122867	0.0512245	0.106356	0.153049	0.404049
11474	0.755437	0.110735	0.598977	0.504346	0.473916	0.691531	0.094201	0.367317	0.217329
11475	0.2481285	0.558250333333333	0.653532666666667	0.486214	0.3724358	0.7335397	0.717347933333333	0.399190666666667	0.4107211
11477	0.889347	0.855534	1.017594	0.824184	1.01836866666667	0.601356333333333	0.855391333333333	0.838333666666667	0.980308666666667
11479	0.880731	1.2180835	0.9303885	0.9029435	0.7106205	1.079675	1.059135	1.088498	0.852644
11480	1.215715	0.8522545	0.9409035	1.0818675	1.179685	0.8790455	0.972353	0.760084	0.859609
11481	0.524092433333333	0.824565866666667	0.754715	1.07328566666667	0.533271333333333	0.548775333333333	0.6868722	0.588861666666667	0.6952118
11482	0.706699	0.40602925	0.6370075	0.5864464	0.741591	0.4546175	0.545454	0.633239	0.477512
11484	0.511748	0.572132	0.123598	0.633364	0.807413	0.537857	0.528741	0.987165	0.648927
11486	0.0243689	0.221471	0.456364	0.387056	0.561678	0.0256122	0.209673	0.0688719	0.257122
11487	1.17173	0.997603	0.982515666666667	0.799933	0.995534333333333	0.975639	0.942147666666667	0.828017666666667	0.844160333333333
11488	1.07996	0.9609355	1.174925	1.0133915	0.8712185	0.551785	1.175325	0.9528895	1.255365
11489	0.5604855	0.4060294	0.670284	0.4105139	0.55729	0.941251	0.607748	0.73080585	0.5096525
11490	0.6733535	0.98229675	0.71016125	0.5863404	0.711404	0.672948	0.84578925	1.14296325	0.738047
11491	1.108371	0.997486666666667	1.13752666666667	0.884841	0.942111	0.991255666666667	1.057792	0.981384666666667	1.00184966666667
11492	0.99393	0.31843	0.518916	0.502148	0.688895	0.672339	0.5130124	0.6839465	0.792715
11495	0.328981	0.0184559	0.35178	0.445701	0.078986	0.268929	0.109395	0.0229573	0.149988
11496	0.679076	1.076535	0.84652	0.968077	0.622839	0.8642315	0.6051095	0.8735065	0.9266905
11497	0.0243689	0.129191	0.0475379	0.0586449	0.0438811	0.16648	0.340339	0.0726982	0.251
11498	0.569681	1.12841	1.29254	1.0124	1.44562	1.34488	0.931141	1.26327	0.557048
11499	0.304612	0.203015	0.190152	0.258037	0.552902	0.435408	0.0334262	0.822637	0.618317
11500	0.243689	0.0922794	0.0380303	0.0351869	0.166748	0.23051	0.306913	0.0726982	0.477512
11501	1.04056	1.02714	1.19511	1.17047	0.917916	1.31483	0.752284	1.34742	0.757789
11502	1.05744	1.0034	0.972857	1.11732	0.887531	1.05155	1.03176	0.834863	0.821559
11504	1.17415	0.910548	0.875049	0.984747	0.686197	0.61703	1.01525	0.700996	1.28409
11512	1.11051	1.11272	1.10286	1.58695	0.929066	1.0193	1.20532	1.19593	1.20712
11513	0.3411649	0.270686166666667	0.339103666666667	0.390965666666667	0.327645933333333	0.396989566666667	0.304887133333333	0.510162666666667	0.568321
11514	0.597218	1.13748	1.07044	1.18394	0.864588	0.851419	1.06915	0.534771	1.28494
11515	0.98129775	1.2620775	1.107813	1.2993345	0.985395	0.9097065	0.919815	0.9308965	1.0502525
11516	0.962574	0.6736395	0.408826	0.6802805	0.9917115	0.525051	0.5803995	0.6389785	0.866256
11517	0.942265666666667	0.418332966666667	0.437348533333333	0.4183333	0.778158	0.221972866666667	0.431501	0.603266633333333	0.711166666666667
11518	0.977120333333333	0.928311666666667	0.911727333333333	1.04091433333333	0.882724666666667	1.15707333333333	1.28745666666667	1.12758	1.14875666666667
11519	0.8616564	0.7907468	0.8382492	0.8241146	0.8307034	0.8817568	1.0302768	0.8044494	1.0668168
11520	0.796652	0.781608	1.10551	0.732013	0.87376	1.02284	0.916641	0.938131	1.04957
11522	0.840728	0.350662	0.646515	0.985234	0.473916	0.217704	0.774879	0.684893	0.667293
11529	0.31070395	0.1199633	0.3993181	0.480888	0.236958	0.2177045	0.3798425	0.49740865	0.42547545
11532	0.786351	0.50610025	0.7084645	0.5769819	0.653591	0.59452335	0.6306631	0.883605	0.6772195
11534	0.52928646	0.52568968	0.49580664	0.62474534	0.40445	0.4999551	0.4882201	0.4452046	0.4536734
11535	0.554393	0.756691	0.475379	0.3811914	0.390542	0.3649745	0.331223	0.269748	0.4943475
11536	0.560485	0.904338	0.770114	0.856215	1.0707	0.614694	0.850847	1.04838	0.459146
11537	1.19408	0.129191	0.0760606	0.0586449	0.114091	0.371378	0.069891	0.0459146	0.468329
11538	1.05036	1.0546	0.966204	1.11462	0.922742	1.10756	1.09911	0.94041	0.939186
11539	0.8383405	1.163945	0.788868	1.0567945	0.727314	0.7276165	1.115295	0.7834055	1.028216
11540	1.0722335	1.347278	0.784375	0.8562165	0.8425175	0.851607	0.8933905	0.420884	0.94125
11541	0.332026675	0.24915435	0.6774155	0.3929205	0.46294575	0.339363025	0.2423395	0.507929875	0.260948175
11542	0.0365534	0.0369118	0.294735	0.281495	0.0965385	0.0256122	0.0334262	0.0650457	0.0367317
11544	0.8691985	0.918909	0.7081475	0.5815505	0.862525	0.6469775	0.974268	0.7650135	0.8563125
11545	0.98583325	1.1943775	1.088215	1.2860175	1.0094525	1.04629475	0.95288725	0.77966825	0.9131675
11546	1.0639	1.22369	0.961104	1.08741	0.755094	1.07455	1.2874	0.853971	0.965226
11548	0.962573	0.572132	0.218674	0.234579	0.166748	0.614694	0.537857	1.22439	0.416293
11549	0.1705825	0.28606595	0.4088255	0.322547	0.473916	0.28813785	0.3266645	0.39984	0.4560853
11551	1.09515666666667	1.125334	0.863444	1.19601533333333	0.676251	1.03944666666667	1.14131766666667	0.974381666666667	1.09997866666667
11552	0.20104345	0.19378675	0.31850395	0.05864485	0.320332	0.1152552	0.0455811	0.1186126	0.16988425
11553	0.34707145	0.285926125	0.54681075	0.355135225	0.49350165	0.63646975	0.58961575	0.562876825	0.75928875
11554	1.68534	1.86709	1.4917	2.0226	1.18734	1.28777	1.38551	1.17978	1.15892
11555	0.0121845	0.479853	0.256705	0.175935	0.0351049	0.0256122	0.26437	0.264009	0.352012
11556	0.51784	0.08305145	0.0380303	0.28149545	0.2808393	0.23691345	0.2765255	0.3194895	0.15610995
11564	1.34616	0.979539	1.22754	1.10527	1.04946	0.887745	0.915675	0.799038	0.80368
11565	0.798844	0.956444	0.818134	1.22698	0.95828	1.03715	1.054	1.06706	0.962846
11566	0.935675	0.824906	0.931867	0.830694	0.868333	1.02927	0.958397	0.974341	0.966627
11567	0.962573	0.110735	0.836667	0.774112	0.684545	0.525051	0.200557	0.401753	0.208146
11568	0.453228	0.267854666666667	0.535349	0.583015	0.250103666666667	0.4074374	0.568945066666667	0.559467333333333	0.8199678
11569	0.9832142	0.865839	0.965305	1.1084252	0.740066	0.9124594	0.996544	0.912285	0.7949998
11571	0.194951	0.221471	0.01	0.140748	0.272063	0.192092	0.0273487	0.447668	0.131622
11572	0.0609223	0.0184559	0.0570455	0.105561	0.0877622	0.01	0.322107	0.229573	0.247939
11576	0.03167962	0.04629406	0.17113634	0.03284112	0.1474406	0.1818468	0.0495812	0.1591708	0.26630494
11593	1.15579	0.204717	1.00006	1.11258	0.966767	1.35191	0.96354	0.866389	1.37569
11595	0.633592	0.31375	0.741591	0.328411	0.623112	0.102449	0.595593	0.696372	0.162232
11596	0.14621365	0.156875	0.0570455	0.0762383	0.07898605	0.11525525	0.1200305	0.241052	0.3520122
11600	0.24368915	0.0461397	0.532424	0.17006995	0.2983918	0.2625255	0.08052665	0.384535	0.339768
11601	0.32027885	0.5436838	0.56015775	0.35502395	0.59803055	0.66109835	0.5691962	0.5769265	0.5697712
11602	0.18885935	0.2306985	0.2614583	0.2169859	0.5792305	0.22410695	0.4451755	0.2946191	0.226512
11603	0.4409727	0.5169568	0.45337935	0.54129895	0.4549859	0.751273	0.55022865	0.46825095	0.7253965
11604	0.0487379	0.129191	0.503902	0.562991	0.0526574	0.102449	0.136743	0.0382622	0.0428537
11605	0.801669	1.00768433333333	0.951491	0.618719333333333	0.923644666666667	1.07053933333333	0.848012666666667	0.813709	0.743326
11606	1.85204	0.203015	0.779621	0.387056	0.351049	0.819592	0.474044	0.0841768	0.183659
11607	0.0716433	0.0723457	0.0931724	0.0459767	0.0516032	0.363943	0.217387	0.0637436	0.371963
11608	0.0487379	0.516765	0.247197	0.0469159	0.0175524	0.0128061	0.0212712	0.126265	0.413232
11609	0.365534	0.350662	0.0190152	0.129019	0.377378	0.0640306	0.233983	0.179832	0.101012
11610	0.9037685	0.62997175	0.6834225	0.5554419	0.54595	0.6284095	1.2651345	0.521431	0.8008815
11611	0.134029	0.0922794	1.01731	0.258037	0.500245	0.499439	0.130666	0.0612195	0.159171
11614	0.268058	0.0738235	0.01	0.0586449	0.0351049	0.153673	0.130666	0.103308	0.0397927
11615	0.870876	0.743811	0.866795	1.25748	0.787527	1.03891	1.18187	1.00108	1.01965
