Gene	KFA2a	KFA2b	KFA2c	KFA2d	KFA2e	KFA3a	KFA3b	KFA3c	KFA3d	KFA3e	KFA4a	KFA4b	KFA4c	KFA4d	KFA4e	KMA2a	KMA2b	KMA2c	KMA2d	KMA2e	KMA3a	KMA3b	KMA3c	KMA3d	KMA3e	KMA4a	KMA4b	KMA4c	KMA4d	KMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11474 -0.2709423 0.28433253 -0.4755591 0.00790098 -0.3782703 -0.3337724 -0.3135821 -0.0446807 -0.4460011 -0.5294248 0.17369348 -0.0042952 -0.1927356 0.11336173 -0.1537648 0.26616309 0.21314319 -0.253238 -0.1716788 -0.1974511 -0.2990014 -0.0997717 0.17774145 0.05126459 -0.388331 -0.2876504 -0.1470258 0.2876196 -0.0310081 -0.2340201
11475 -0.1057343 -0.0963157 0.13539739 0.22790535 0.04897137 -0.003955 -0.1239052 0.11417338 0.00998169 0.19162435 0.07548746 0.04641436 -0.049307 0.19130552 -0.0877933 0.02833988 -0.0552556 0.10618002 0.19921207 -0.0085315 0.12932498 -0.0416383 -0.0320392 0.01879382 -0.0084281 0.0089922 -0.029055 0.22686327 -0.0956003 0.22688139
11479 -0.4567766 -0.4997071 -0.4976195 -0.5618732 -0.6771112 -0.4902266 -0.5637062 -0.7481378 -0.3978312 -0.6731831 -0.5237227 -0.4556913 -0.6163717 -0.5022388 -0.3060537 -0.6010247 -0.512406 -0.482913 -0.5179489 -0.6282826 -0.3600574 -0.6417501 -0.7587528 -0.770119 -0.3496787 -0.4372482 -0.7029721 -0.7248551 -0.5983053 -0.6587341
11481 -1.0209274 -1.2940356 -1.200926 -1.0636642 -1.2984906 -1.2388174 -1.2040062 -0.9561965 -1.3211621 -1.08182 -1.4260978 -0.9984112 -1.0341776 -0.9926698 -0.993449 -1.0582044 -0.9861837 -0.9589802 -1.0992462 -0.9678613 -1.0666773 -1.1566818 -0.9503619 -0.9494794 -1.0994184 -0.9820543 -1.0135052 -1.0195792 -1.3637562 -1.1499597
11487 1.91910036 2.53077742 1.54634983 2.09656088 2.03016931 2.00673104 2.28396486 2.09804813 1.42482115 1.69242683 2.31406851 2.17413447 2.0005939 1.98324458 1.72469694 2.53179898 2.04975759 1.77881212 2.01743921 2.06771098 1.79728158 2.14092768 2.12663115 2.48892867 2.3144141 1.90715224 2.0628052 2.26387128 2.28325947 1.79752459
11490 0.89907986 0.49993387 0.73423036 0.18386678 0.75243955 0.56476512 0.67791899 0.59480333 0.74190692 0.91625178 0.55757175 0.59138023 0.72558253 0.4448704 0.7738465 0.46079179 0.62187129 0.63927044 0.50451918 0.70741495 0.80700161 0.52903335 0.7180626 0.56838357 0.4896485 0.81088845 0.69011409 0.75530242 0.46150641 0.78307809
11491 -0.981498668 -1.202117483 -1.04519177 -1.010633488 -0.932342388 -1.011923775 -0.868328375 -1.048730115 -0.43315604 -0.840328158 -0.21815513 -0.87468505 -0.661881608 -1.076780313 -1.040555078 -0.530127925 -1.199022695 -1.031037123 -0.95474766 -0.462876413 -0.444894553 -0.550841698 -1.184917998 -0.90064783 -0.55982464 -0.797892223 -1.0863116 -1.348266515 -0.2642955 -0.752844543
11492 -0.5492144 -0.6738145 -0.6125981 -0.3633926 -0.6897674 -0.4902206 -0.7180989 -0.609362 -0.7975283 -0.6286013 -0.5074499 -0.2384095 -0.6077323 -0.4803127 -0.5426432 -0.5903537 -0.7048746 -0.4317586 -0.6894588 -0.4055079 -0.6174484 -0.7374297 -0.3496238 -0.3908109 -0.5068411 -0.5672677 -0.5999483 -0.6261561 -0.6078253 -0.6244483
11496 0.394644455 0.5217092 0.32449551 0.272287965 0.339578405 0.310617975 0.390303705 0.42555197 0.115666505 0.232101895 0.410114175 0.30248924 0.39941827 0.26021324 0.56124114 0.43221263 0.278359415 0.291503345 0.3235681 0.259503625 0.29920598 0.290576395 0.446977315 0.538024325 0.293691095 0.34083544 0.24036974 0.319114585 0.29636176 0.33185775
11501 -1.5947336 -1.1816458 -1.3711903 -1.5165968 -1.1444128 -1.4276856 -1.5780298 -1.4212917 -1.3772967 -1.4860574 -1.6187685 -1.3725774 -1.3438878 -1.4640272 -1.4438636 -1.1986776 -1.5701508 -1.5903571 -1.234373 -1.2915762 -1.64937 -1.4240342 -1.1980927 -1.2536991 -1.2263777 -1.3344053 -1.4071683 -1.3100414 -1.5519412 -1.3748529
