Gene	GSM847849	GSM847850	GSM847851	GSM847852	GSM847853	GSM847854	GSM847855	GSM847856	GSM847857	GSM847860	GSM847858	GSM847859	GSM847861	GSM847863	GSM847862	GSM847865	GSM847864	GSM847866
Gene	3.0	3.0	3.0	6.0	6.0	6.0	12.0	12.0	12.0	19.0	19.0	19.0	26.0	26.0	26.0	32.5	32.5	32.5
11307	7.030055628	7.194707561	7.34944352	7.065018152	6.476374379	6.768600488	7.363173771	7.199454179	7.4227166	7.085381395	7.112872274	7.116752585	7.263661026	7.270299277	7.139133256	6.475080748	7.225331369	6.975652918
11350	4.695577341	4.283074581	4.513597577	4.443622773	4.463281168	4.46863661	4.654367848	4.498693161	4.288394947	4.7600986	4.662443328	4.720970159	4.544212128	4.669568532	4.46126586	4.999869883	4.565217758	4.615856739
11363	3.710365331	3.700777297	3.720119922	3.677421971	3.690491367	3.787003418	3.79475044	3.665081117	3.689071903	3.735415941	3.549683309	3.654218017	3.646802901	3.690616294	3.951955469	3.855611739	3.675766938	3.802164304
11421	7.296435971	7.266619869	7.165590893	7.148298715	7.178214989	7.142888494	7.114479363	7.39558249	7.050027255	7.284485475	7.208425753	7.416636455	7.179140083	7.368498309	7.191429954	6.970826909	7.097049934	7.218115904
11431	7.910397843	7.96428653966667	7.89548216533333	7.95681020633333	8.067984795	8.01144251166667	7.802952815	7.79098368933333	7.84016655333333	7.92332129266667	7.82570344366667	7.82298346866667	7.79079007166667	7.853734224	7.881403975	8.44699559166667	7.92392488366667	7.89643250666667
11432	8.823721337	8.918405086	8.806218976	8.897528781	8.650476215	8.767564521	9.025688617	8.735840214	8.942017291	8.705869087	8.70560911	8.685059389	8.833828492	8.852205078	8.788341146	8.272060186	8.823493168	8.854309323
11449	3.619503412	3.627688989	3.513997101	3.630120119	3.664187203	3.666397732	3.51164185	3.620654451	3.709297332	3.831054639	3.60334767	3.603915144	3.514327145	3.637389025	3.740634781	3.842090372	3.71453021	3.743225737
11475	3.9295081145	3.785487617	3.8204157615	3.86365591	3.7815544105	3.8137523285	3.792885634	3.9159671255	3.811104291	3.8815143165	3.744100266	3.888111296	3.7780854595	3.7771043315	3.7968871055	3.674710757	3.7067679115	3.7643975365
11477	5.556516267	5.522799407	5.386170635	5.398280556	5.353341579	5.538347704	5.346554583	5.508775612	5.479523392	5.447186922	5.292443142	5.363566663	5.312679122	5.508693435	5.416873126	5.457430355	5.356874077	5.394395244
11479	10.79594314	10.81644992	10.50833677	10.70701447	10.16977079	10.49026732	10.79782493	10.74470282	10.35693611	10.6423303	10.63780504	10.57161479	10.71987617	10.64606952	10.67760589	9.288571742	10.6550153	10.57177266
11480	8.97182719	8.967037243	9.229001625	8.980381806	8.999315607	8.932351526	8.846992791	8.749148571	9.10158486	8.617112426	8.752465579	8.63310849	8.704089997	8.804815772	8.660120541	8.6604581	8.833652998	8.889187742
11481	5.2572516445	5.230589821	5.210263196	5.206610195	5.1765282425	5.1626142315	5.2396466755	5.2662526855	5.261116423	5.3705481195	5.2629692545	5.210938501	5.315942853	5.242395177	5.336854002	4.88315639	5.3811793955	5.219903061
11487	8.506511234	8.7446352335	8.969446854	8.4282798325	8.8199032685	8.705227977	8.5569953305	8.5394840165	8.843203658	8.3071189685	8.56904744	8.5772979805	8.6038760235	8.514042471	8.531607775	8.271783312	8.5254314715	8.6893340285
11488	8.814075808	8.80792625	8.273753433	8.769382335	8.283165353	8.393331637	8.791305656	8.63573518	8.123377218	8.616640959	8.46070734	8.512569373	8.599449538	8.590334577	8.782020634	7.525032628	8.349128627	8.469032047
11496	11.33725517	10.76724488	10.83717619	10.82786941	10.1521282	10.9401353	10.79714331	10.75062777	10.83203383	10.61980945	10.45808867	10.51214844	10.76359992	10.6730437	11.25910485	9.118771678	10.56428543	11.05749658
11515	8.66239291266667	8.839140759	8.95099201033333	8.78513220466667	8.04397775433333	8.259943216	8.81458436766667	8.52969619533333	8.95476148033333	8.60341340566667	8.63576983033333	8.28895066733333	8.591855021	8.647910135	8.44883303666667	7.47911056866667	8.53315891833333	8.550711841
11516	4.582549024	4.753855668	5.487383753	4.3163696	4.751604492	5.089993576	5.043434113	4.739775123	5.3673095	4.589534862	5.128182078	4.685192283	4.850370436	4.844225475	4.513919454	5.437819567	4.63673537	4.887685546
11519	7.374857928	7.413371339	7.245063899	7.41087232866667	7.33777865333333	7.23013749166667	7.247608724	7.308283687	7.044944723	7.386437802	7.529587973	7.33502114233333	7.343470745	7.32946813366667	7.28642753433333	6.41859852466667	7.20087324233333	7.302006422
11532	4.150886386	4.282412937	4.176357063	4.172206735	4.081575285	4.203020191	4.160236841	4.202305086	4.226102822	4.294087979	4.014848759	4.100854985	4.037776289	4.14919489	4.092298323	4.282348502	4.13217291	4.140768266
11534	4.33398792933333	4.24585101366667	4.270000575	4.36103930466667	4.30498425666667	4.32583121366667	4.244372253	4.28840116033333	4.180530471	4.42978605833333	4.23947359333333	4.344346271	4.24717108366667	4.216176653	4.17628627766667	4.547748687	4.293165126	4.4541506
11542	3.620815217	3.603768722	3.642484522	3.660812798	3.548332762	3.538039554	3.476501014	3.599989005	3.503005167	3.560532307	3.497136417	3.560886129	3.606433074	3.4334524	3.630701993	3.617295583	3.500359374	3.498626191
11544	4.265559557	4.116974995	4.33944891	4.202843448	4.251906889	4.133833558	4.275458965	4.259784365	4.228578026	4.212088233	4.103081602	4.271527306	4.220789882	4.278069556	4.233998073	4.564538767	4.227943494	4.206213969
11545	5.185999948	5.22300177	5.333000365	5.027497404	4.724075822	4.778648001	5.091564122	4.963008709	5.219813246	5.081220304	4.942446869	4.845518526	5.226225808	4.995743696	5.200529229	4.727224564	5.021514117	4.70083977
11549	4.396019461	4.363595367	4.402864772	4.569646896	4.076074065	4.602975521	4.996567907	4.921437644	4.716003683	4.959065219	5.284084165	4.989990657	4.661013065	4.669386612	4.890984693	4.22947071	4.946516991	4.558290954
11568	4.534529644	4.334884603	3.943126228	4.184796782	4.243194177	4.307193044	4.216691506	4.403866675	4.240781167	4.260616778	4.281027424	4.20363448	4.306890482	4.10775522	4.276195176	4.139465891	4.187258498	4.339640342
11569	4.567563429	4.47813976	4.248148866	4.57387397	4.627933617	4.589148896	4.369167868	4.516429166	4.436603467	4.838176421	4.635129907	4.647419197	4.577693954	4.599517655	4.421888617	4.960793302	4.610038635	4.427991438
11576	4.627971366	4.476898904	4.510685129	4.379743232	4.534870606	4.495621941	4.297068772	4.38799723	4.439900924	5.012110082	4.591631106	4.753826198	4.420952228	4.526527455	4.563352178	5.073472807	4.642626064	4.527962309
11601	4.149593643	4.181048808	4.114191189	4.19885666	4.244672097	4.208566996	4.103349742	4.221810625	4.220980197	4.347267112	4.235751401	4.202218371	4.25455371	4.295669738	4.158462219	4.534885806	4.296755149	4.141804194
11602	4.697561498	4.782193961	4.579484809	4.636489273	4.710454642	4.805660261	4.730640495	4.937103874	4.565579266	4.736462011	4.878794212	4.755295819	4.751800223	4.623339389	4.804530882	4.689564423	4.647556602	4.743000231
11636	4.477845734	4.428265557	4.045031978	4.208288476	4.175307769	4.30717372	4.580493633	4.270278709	4.439943986	4.373999365	4.342901474	4.332991583	4.409342008	4.334198131	4.592762083	4.625481552	4.349174315	4.343253385
11639	5.64396860533333	5.62507658333333	5.54788069733333	5.53443615866667	5.76745459166667	5.77070577466667	5.44244654533333	5.49727238333333	5.47359380333333	5.62551225433333	5.567099782	5.638436422	5.63287038133333	5.610780281	5.67912861166667	5.645726361	5.50448167166667	5.68628711833333
11651	5.753839539	5.645846006	5.528621116	5.7755723365	5.700513827	5.719868824	5.640489897	5.772721842	5.5680893015	5.8081586975	5.6920823965	5.71401551	5.8344336885	5.8801980335	5.796337706	5.7932372845	5.7681471505	5.683766903
11652	6.792874386	6.770964747	6.513444944	6.56838904	6.454302083	6.391973517	6.573962996	6.518671237	6.565277479	6.55451026	6.282585508	6.365170626	6.393413957	6.508522665	6.762559644	6.120599967	6.163761064	6.395330875
11658	10.130425255	9.902203878	10.1429128575	10.0916593575	9.552269648	9.7935396235	9.8979888545	9.813512026	10.215436085	9.499516419	9.4936140085	9.5843165835	9.7417826555	9.733626607	9.6515093765	9.38182553	9.702044631	9.73643103
11669	5.33341762166667	5.422343893	5.47285115366667	5.485773576	5.528566763	5.38560668966667	5.56905292633333	5.507634711	5.34960443233333	5.45583577733333	5.53894428933333	5.455775079	5.40586579566667	5.61305130466667	5.50398125566667	5.52927443566667	5.61906242966667	5.524906551
11674	10.9600139165	10.9513701275	10.6015833245	10.945397592	10.7495146135	10.9121842735	10.926335958	11.0094751025	10.550273563	11.0105126705	10.910819908	10.926368024	10.947812658	10.991789419	10.955376339	10.5409940015	10.8646218915	10.941518422
11676	8.297769178	8.354266818	8.545495089	8.438555324	8.829089906	8.553156411	8.233254591	8.250716657	8.590658237	8.113766979	8.371258759	8.174512468	8.373702037	8.532643496	8.279383772	8.670159743	9.031052923	8.867140293
11702	10.433404005	10.581156555	10.3669372555	10.449597955	10.902397905	10.76657184	10.36911907	10.410135535	10.3206653915	10.4994088	10.48832286	10.537311225	10.536192405	10.482455955	10.528919945	10.72656961	10.57286658	10.63670985
11733	5.817569777	5.559500606	5.475215726	5.487717411	5.551500726	5.491801455	5.535351927	5.508723034	5.394575652	5.764962076	5.495903553	5.493115543	5.510101358	5.5706481	5.544900636	5.416844084	5.554194	5.474274176
11735	6.280816948	6.359158131	6.291348381	6.502176867	5.797403253	5.782974639	6.098433	6.2138427755	6.173867861	6.1597056195	6.0336385695	5.948998445	6.241078818	5.9797435995	6.172816095	4.865622417	6.0702391335	5.8917004645
11736	4.743357445	4.994039686	4.308009941	4.86000802	4.750708009	4.92496687	5.018429737	4.571426758	4.831096001	4.765335324	4.868075143	4.717052383	4.765062186	4.62104722	4.696927087	4.261472165	4.772723809	4.720558732
11739	5.605170568	5.897396725	6.277716768	5.868706097	5.837621164	5.78255952	5.810509741	5.701562768	6.049859324	5.839429841	6.038340872	5.867136918	5.847669719	5.957064425	5.830545641	6.210094333	5.940412396	5.883115333
11740	9.1905051872	9.3172528486	9.4704882174	9.067813572	9.1975670276	9.2721968028	9.2024053674	9.2337468242	9.3384448238	9.2348531034	9.0849568608	9.2303538156	9.0632570968	9.0195025706	9.1172033278	9.6085985278	9.0350489502	9.14569935
11744	6.108253912	6.191979081	5.573171733	6.222904993	5.871655563	5.919085543	6.350153294	6.368766766	5.875194615	6.25640789	6.152607972	6.001068709	6.350365482	6.297259257	6.39086791	5.30080808	6.232653617	6.480006024
11749	5.783232463	5.565504701	5.525913673	5.839537557	4.998170971	5.283006344	5.75324013	5.933483733	5.929115419	5.576387725	5.325597653	5.445700533	5.68009016	5.821926013	5.541295033	5.17339271	5.495338141	5.367744152
11750	7.666186675	7.507631295	7.598433234	7.465353509	7.197651609	7.099577689	7.423779474	7.307494317	7.590640734	7.278749432	7.122224121	7.095845234	7.447511807	7.228265372	7.488481865	7.107018028	7.202920988	7.185266603
11758	5.746315643	5.723862464	5.674464789	6.026463869	5.408464103	5.720477996	5.721283832	5.537880712	5.738647988	5.632903769	5.558830717	5.615621662	5.756032697	5.698764602	5.671963284	5.480520852	5.730730193	5.605042866
11765	5.827834388	5.818085715	5.836954964	5.781612493	5.693225696	5.726580235	5.6859654405	5.8644535545	5.9951392785	5.7031804085	5.8153405655	5.7337281215	5.756148206	5.810807076	5.754059545	5.3709108785	5.820825342	5.7472677225
11770	4.367734589	4.110146718	4.2140116925	4.3239276025	4.189656906	4.300579005	4.1781548785	4.3854334525	4.2812478945	4.378077438	4.179455334	4.218825611	4.2330866555	4.1462861805	4.226547026	4.4040652055	4.2852381155	4.2969110115
11772	6.8830185795	6.8769024505	7.025924627	6.912952423	6.323728925	6.575207387	7.2389218485	6.924970801	7.2482776635	6.9072258505	6.827588018	6.5718109235	7.003356066	6.846740066	6.9823310495	6.046039928	7.002040279	6.348092212
11775	4.601136106	4.272990533	4.247831839	4.576536277	4.277839484	4.354283604	4.32208322	4.446943251	4.324158009	4.511229862	4.373426077	4.531012497	4.379404055	4.295342751	4.250964895	4.126016018	4.301796056	4.660782412
11778	4.981109328	4.935862054	4.793754106	4.9464605	4.808616053	4.724142549	5.02897311	5.00051688	4.810400047	4.874577434	4.948878147	4.660108848	5.07594127	4.958760273	4.994155942	4.850449407	4.793310269	4.793754106
11787	7.4630353025	7.65034461	7.6475243635	7.5707835965	7.480049696	7.5050996425	7.4407651535	7.302022725	7.4919872325	7.4438966365	7.274233515	7.403882644	7.4676122855	7.3780929725	7.635306647	6.838756891	7.448014905	7.713465956
11789	11.07480933	11.17804598	11.27136204	11.30005472	11.04785125	11.19218067	11.45680368	11.40225192	11.53628262	11.30252411	11.53910324	11.4005127	11.39455594	11.41176349	11.38030028	10.5808019	11.41870194	11.05491313
11790	7.8256721285	7.7569846325	7.960859391	8.1602073345	7.769304053	7.852038877	7.7761084915	7.52223587	7.8997711395	7.6740103545	7.6172007715	7.665490446	7.5022199495	7.686776616	7.4178873205	7.788535338	7.7258137455	7.666601097
11796	4.791750861	4.57400518	4.498284248	4.674537517	4.550521634	4.611106772	4.596658861	4.657278578	4.493498781	4.60909939	4.607092008	4.533787864	4.430731219	4.512190025	4.610038635	4.654751058	4.597680549	4.714657052
11798	7.338178284	7.427883888	7.32497989866667	7.24493811666667	8.25080446866667	7.68306205733333	7.21445592533333	7.34416882966667	7.17875855166667	7.35815986166667	7.67839015033333	7.60485353166667	7.43036873666667	7.39791215166667	7.370511286	8.09825314433333	7.46449464833333	7.40906024566667
11800	3.228923223	3.410590714	3.542741472	3.43785891	3.513500719	3.45535243	3.318461735	3.48191768	3.355212896	3.457220334	3.537854925	3.406132669	3.358511309	3.37625275	3.313659634	3.471909645	3.518480551	3.484827236
11818	4.483886031	4.253207139	4.222677594	4.224579752	4.234616326	3.866902017	4.261862404	4.270278709	4.631867858	4.114198333	4.066429602	4.136676843	4.055192539	3.881227108	4.228704995	4.236013512	3.966442517	4.052683244
