Gene	GSM635888	GSM635889	GSM635884	GSM635885	GSM635886	GSM635887	GSM635895	GSM635894	GSM635893	GSM635892	GSM635891	GSM635890	GSM635897	GSM635896	GSM635899	GSM635898	GSM635901	GSM635900
11433	11.8551	11.8555	9.38961	9.4433	9.52568	11.6147	11.3648	11.0272	10.9173	9.19082	9.16016	9.66365	9.52777	9.35801	11.0991	9.56516	11.0624	11.1541
11434	5.07636	5.36162	4.88993	4.5248	4.61812	5.08679	5.09803	4.66745	4.86045	4.44601	4.64798	4.85416	4.67629	4.56872	4.47711	4.76315	4.8394	4.88342
11435	4.76185	4.54628	4.64196	4.85903	4.66428	4.79235	4.41849	4.22461	4.32338	4.5506	4.62416	4.43355	4.5246	4.53346	4.5246	4.16516	4.31606	4.64164
11438	5.43577	5.84398	5.37285	5.49959	5.19879	5.37003	5.31481	5.73819	5.32389	5.33936	5.63515	5.33485	5.00858	5.21435	5.48055	5.23321	5.06458	5.33119
11440	3.74357	3.69944	3.58029	3.80615	3.74671	3.89901	3.44552	3.61534	3.57361	3.40113	3.38786	3.33094	3.29861	3.45936	3.56091	3.39844	3.64532	3.54591
11441	4.87406	5.01451	5.06746	5.13761	4.8639	4.81188	4.92717	4.76268	4.99613	4.85303	5.26105	4.94491	4.64837	4.98269	4.65009	4.83218	4.685	4.5051
11443	5.92708	5.90295	4.90885	5.14456	5.15936	5.80402	6.21513	6.06662	6.22225	5.66443	5.57093	5.65401	5.12765	5.30034	5.18365	5.34238	5.46416	5.16007
11444	5.18272	5.02463	5.21332	5.11657	4.8561	5.08958	4.97794	4.95266	4.70116	4.98713	5.046	5.04275	4.49305	4.7762	4.97832	5.1224	4.96871	4.8901
11447	4.75682	4.59012	4.92857	4.90094	4.97687	4.5129	4.89489	4.85001	4.58131	4.42828	4.90542	4.64786	4.53376	4.90306	4.46711	4.69423	4.80217	4.69296
11448	5.64584	5.64603	5.84237	5.32605	5.08208	5.46384	5.41635	5.61796	5.26263	5.45803	5.42115	5.37514	5.77994	5.51213	5.28018	5.46532	5.40777	5.40934
11449	5.33552	6.00429	5.86094	5.37565	4.9906	5.52406	5.55936	5.28474	5.03843	5.13985	5.28139	5.13057	5.13884	5.45858	5.23064	5.2407	5.26605	5.25015
11450	12.5796	12.5935	9.04924	7.82234	7.35377	12.5141	12.2928	12.3838	12.2188	6.87435	6.42818	7.42403	7.12979	6.96688	12.8743	7.32965	12.6213	12.7714
11451	3.64453	3.65883	4.00209	3.36284	3.66509	3.74392	3.43578	3.52905	3.40015	3.69942	3.60009	3.6859	3.54539	3.47849	3.45197	3.21888	3.30914	3.60089
11459	8.49141	8.16722	7.25419	6.70034	6.58197	8.32974	7.77751	8.0731	7.20463	6.71026	7.25249	7.24268	6.91872	6.67688	8.16579	7.00141	7.93358	8.11676
11461	13.5893	13.6565	13.9828	13.9171	13.8821	13.6715	13.7404	13.6959	13.7243	13.9058	13.9139	13.9137	13.8008	13.7795	13.6779	13.8571	13.6683	13.6804
11464	6.80739	7.14067	7.73925	7.03853	7.20423	7.02367	6.90591	8.12104	7.02543	7.20023	7.2381	7.14457	7.05794	7.31148	6.96296	7.30692	6.80068	6.90176
11465	12.622775	12.629325	12.8539	12.92745	12.922075	12.710725	12.67675	12.77605	12.650025	13.3311	13.35375	13.281675	12.833125	12.68295	12.60345	12.85145	12.479075	12.56595
