Gene	GSM414188	GSM414205	GSM413703	GSM414187	GSM414185	GSM414181	GSM413691	GSM414206	GSM414186	GSM414180	GSM414204	GSM414179	GSM414183	GSM414184	GSM413692
Gene	43.0	45.0	48.0	51.0	52.0	54.0	59.0	59.0	75.0	75.0	75.0	76.0	78.0	79.0	83.0
2	12.3964868483501	12.5482661791769	12.2927292567845	12.1839959909339	12.4941150354565	12.3600605360072	12.6433346683411	12.3114348551727	12.3838031639099	12.3891360167701	12.6433346683411	12.6433346683411	12.7658124040447	12.3153142482724	12.7542951415241
12	6.11798341261698	8.91607452523782	5.86239006382824	6.21551029754113	5.8397526166804	6.1262061151136	5.67961317318852	6.52318087554396	8.83526048431857	6.08907239129068	6.36956860113874	5.24673413900459	6.53158056801363	12.1083286090681	5.54984229760338
14	7.62884224987389	7.59270135903558	7.56526819336878	7.37151394147681	7.63319841386298	7.3685494579809	7.44523992599365	7.8644865332601	7.57317440058977	7.30493769355782	7.63929638693255	7.68359466072125	7.80851794805282	7.87108569456384	7.95028030795532
16	10.225919615011	10.2492322004771	10.2887156846863	10.3433007921649	10.4750562428326	10.4144427845384	10.6316294643212	10.563239853726	10.4579600602668	10.3934184529646	10.3063470094263	10.5689187037099	10.0040134071621	10.177559627092	10.0387833023801
18	5.44384819250558	5.47655794289521	5.42715159290442	5.54826003418122	5.57724343751634	5.6051001449531	5.72544983464168	5.64198109123039	5.60052528138205	5.76449882978199	5.82653855693891	5.42442557262588	5.58512729306864	5.87186928543557	5.7258923494008
19	7.16694273085495	7.27628332566821	8.13501733188922	7.91208721309677	6.58564082117243	8.22297607370699	7.19101730295317	6.52506026727149	8.81693959799274	6.60028010633736	8.63455297522267	7.21531031101321	6.78184228774381	8.8234689894527	8.29947268880231
20	5.73721240365787	6.20069300941065	5.89153152845963	6.06054880452142	6.00410614190305	6.17935204011398	6.04478722751859	5.65471192016673	6.18999558478496	5.99008757928825	5.86273931886836	5.9116220966987	6.15177425597391	5.74567516424361	6.35814909309969
22	7.84811246968891	7.62196325064123	7.34408492608383	7.37683158334812	7.28813012354688	7.51649487525811	7.50142874529654	7.53872361003385	7.34710758731064	7.4457613047429	7.36190704812808	7.53004405752141	7.30252166481111	7.27569996991198	8.00618639643969
23	8.99378121362133	9.30155693962447	9.44005295779368	9.38863420163083	9.29068130321537	9.3205589985006	9.41408252062274	9.34250684225382	9.4294135287557	9.12204751551011	9.42203352244373	9.44005295779368	9.27133865429377	9.27450937020694	8.8686460840174
25	9.37700204328804	9.44119463258191	10.1026910073051	9.86958784806321	9.68378757383003	10.0398500718513	9.7950630352061	9.40667161320072	9.76597141293512	9.69740786133131	9.33903275922841	9.53112355572683	9.52314965840993	9.64580007217251	8.95051982936644
26	5.45544663861594	5.18369279041394	5.09890967506829	5.14412801870469	5.3185403694334	5.49724725498962	5.22446487883337	5.41936566501299	5.03315285659965	5.20563690233084	5.30850078969182	5.11406480949556	5.22178311651065	5.43034723125058	5.21506509755304
27	5.37870412869928	5.24081482066755	5.36238478090899	5.45824914888628	5.33338124301115	5.19454521080044	5.37622410592723	5.26698152555215	5.30435451623947	5.384342587175	5.39705365920334	5.27219642154289	5.36544649493611	5.41149202752742	5.48566629724759
29	9.39392798511298	9.6365506121053	9.24350439006179	9.31043743329303	9.56264007425516	9.23984558205864	9.40581537332308	9.21571462997557	8.75736859297904	9.4544762330554	9.40146690365407	9.33030535227535	8.73332142452047	8.57593276561132	8.64847782586692
30	8.11835661096443	8.07678948136256	8.01245529536335	7.92224892410695	8.1784184266114	7.95193130546337	7.86244976401524	8.00749484022299	7.98210401871849	8.16018295198636	8.2613486042537	8.01562941954887	7.74301595623139	8.03347290305536	7.95811356936794
31	7.54244171776634	7.42897721708326	7.53713656459377	7.52109485093944	7.49967197378231	7.66575441589134	7.31658279181695	7.34520769433106	7.51381245806804	7.34636617647778	7.3390110201671	7.09078552497988	7.31121295448568	7.7355780916461	6.66132075329965
