Gene	GSM1921099	GSM1921098	GSM1921101	GSM1921100	GSM1921103	GSM1921102	GSM1921105	GSM1921104	GSM1921106
11484	10.82812	10.79424	10.90737	10.74168	10.4796	10.75461	10.36279	10.14835	10.30088
11486	6.5501	6.2236	6.61196	6.36934	6.34101	6.51262	6.85349	6.56968	6.43525
11487	9.23786	9.25494	9.31091	9.12278	9.47924	9.30645	9.34055	9.39756	9.33612
11488	5.60038	5.34912	5.49651	5.48302	5.10161	5.51923	5.51596	5.48302	5.36437
11489	5.80223	5.87287	5.99603	5.87287	5.91405	5.81765	5.74819	6.06586	5.87287
11490	7.27762	7.24034	7.29413	7.30403	7.36506	7.32776	7.20807	7.45961	7.36685
11491	8.32929	8.31993	8.39043	8.44057	8.4438	8.3762	8.64209	8.52146	8.43675
11492	6.59351	6.43296	6.66094	6.75221	6.51027	6.68675	6.68108	6.97147	6.55036
11495	3.71401	3.47063	3.63478	3.59355	3.59355	3.54021	3.57942	3.54085	3.68435
11496	6.5722	6.55066	6.47953	6.64493	6.7629	6.67919	6.82532	6.62064	6.47431
11497	4.63634	4.51283	4.29528	4.48474	4.20417	4.57821	4.59584	4.24847	4.6015
11498	8.6789	8.38326	8.34408	8.37728	8.39756	8.85837	8.32654	8.61961	8.41016
11499	3.68959	3.68959	3.68959	3.75849	3.68959	3.48609	3.49646	3.8759	3.62273
11500	4.18502	3.83085	3.98146	3.77271	3.76928	3.77271	3.77271	3.73621	3.72178
11501	6.1229	6.13853	6.05915	6.02686	5.81751	5.89279	5.97346	6.29278	5.91459
11502	9.04431	9.06447	9.09416	9.18463	9.27199	9.07492	9.02629	9.10289	9.24241
11504	8.89047	8.7107	8.56794	8.38227	9.15496	9.13748	8.94927	9.77522	9.09254
11512	8.56975	8.52564	8.56975	8.48494	8.91447	8.59534	8.52879	8.56151	8.60069
11513	6.87262	6.89687	6.89687	6.93405	6.73892	6.98731	7.03351	6.98334	6.89687
11514	4.15708	3.91851	3.91851	3.88849	3.92369	3.83631	3.82344	3.91851	4.23028
11515	6.85775	6.85775	6.96901	6.85775	6.92818	6.85775	6.64313	6.75888	6.85775
11516	5.10698	4.81257	4.88685	4.81257	4.69423	4.60735	4.6082	4.71363	4.81257
11517	6.62071	6.43766	6.5056	6.42347	6.66861	6.5056	6.26518	6.5056	6.6044
11518	9.01144	8.92682	8.99485	8.98746	9.11643	9.01124	8.98588	9.16976	8.96062
11519	5.57661	5.35362	5.38007	5.35362	5.35362	5.23498	5.34283	5.35362	5.35362
11520	8.83913	8.96732	8.75688	8.87831	9.10854	9.33123	9.04785	9.52583	9.01243
11522	10.55394	10.53832	10.50887	10.47641	10.3281	10.27089	9.82194	10.58658	10.02994
11529	6.0119	6.04566	5.98764	6.24232	5.86739	5.61267	5.98826	5.98764	5.98232
11532	10.88724	10.95608	10.75103	10.85806	11.06792	11.11532	10.74721	10.93026	11.0541
11534	8.62997	8.60512	8.42819	8.36346	8.88032	8.74156	8.70811	8.61124	8.81604
11535	6.38203	6.81698	6.50383	6.29219	6.77628	5.74613	6.68157	6.48933	6.7918
11536	5.97553	6.1253	6.05381	6.12951	6.17446	6.12471	5.83636	6.12766	6.19105
11537	7.07929	6.60639	6.49219	6.39772	6.47321	6.21453	6.03939	6.47321	6.18477
11538	9.46866	9.48777	9.48059	9.47344	9.47891	9.47806	9.47806	9.53784	9.42155
11539	7.16007	6.89413	6.849	6.849	6.81268	6.83893	6.777	6.849	6.60245
11540	6.11668	6.11668	6.11668	6.11668	6.11668	6.11668	6.16919	6.11668	6.08361
11541	7.37548	7.39402	7.40127	7.53721	7.74026	7.34297	7.29385	7.37496	7.6002
11544	7.6314	7.6314	7.66882	7.6314	7.73988	7.59524	7.6314	7.6314	7.6314
11545	8.13206	8.13653	8.06504	8.20077	8.38309	8.21459	8.39575	8.30591	8.20653
11546	8.12553	8.289	8.15816	8.25348	8.23556	8.42938	8.31565	8.15918	8.09887
11548	5.37208	5.44373	5.43831	5.43831	5.43753	5.43831	5.44712	5.47267	5.42813
11549	6.82938	6.73287	7.09701	6.8678	7.03561	6.65118	6.83457	6.70128	6.93928
11550	6.25352	6.34737	6.6295	6.40703	5.98621	6.23406	6.1688	6.23406	6.05692
11551	5.4786	5.34629	5.53274	5.53784	5.45493	5.42461	5.46834	5.46834	5.26519
11552	8.87669	8.98263	8.99083	9.11713	8.81297	8.97751	8.50142	8.25856	8.78038
11553	5.14045	4.94566	5.25303	4.97623	4.93944	4.84561	4.82768	4.84374	4.93944
11554	6.43868	6.35857	6.46787	6.35857	6.35857	6.30584	6.2858	6.35857	6.32884
11555	6.399	6.39809	6.34347	6.21479	5.99217	6.12852	6.30244	6.20288	5.94981
11556	4.85836	4.58182	4.72135	4.71246	4.71417	4.71417	4.58182	4.79702	4.71417
11564	8.34465	8.37477	8.20322	8.4667	8.63532	8.56112	8.4667	8.4667	8.53904
11565	6.76842	6.6585	6.44718	6.68396	7.00053	7.00669	6.73823	6.35687	7.15652
11566	11.00269	11.05041	10.97846	11.00297	10.95041	10.91408	10.97867	10.98144	10.95298
11567	6.08132	5.75319	5.75319	5.79241	5.67253	5.72338	5.72479	5.44858	5.75319
11568	8.14177	8.12094	8.12482	8.14323	8.54942	8.07452	8.27171	8.42015	8.45753
11569	8.00525	7.94306	8.07	7.91989	7.89965	7.94306	7.99205	7.91173	7.93004
11571	3.4834	3.41675	3.31375	3.31375	3.12809	3.31375	3.28752	3.31032	3.33333
11572	2.9428	3.04016	2.69682	2.90142	2.91826	3.33317	2.95753	2.67094	2.71687
11576	4.74987	4.81198	4.77202	4.85171	4.74419	4.83343	4.68916	4.70087	4.74209
11593	9.38829	9.28554	9.08073	9.49709	9.54499	9.50502	9.55762	9.54585	9.5709
11595	4.96502	4.88936	4.83506	4.50577	4.67259	4.77185	4.69924	4.77185	4.60162
11596	6.78115	6.68348	6.90327	6.71786	6.49162	6.5049	6.67421	6.67421	6.65174
11600	7.77454	7.7643	7.983	7.7421	7.90391	7.43695	7.6863	7.62252	7.7984
