Gene	GSM1916288	GSM1916289	GSM1916295	GSM1916294	GSM1916284	GSM1916285	GSM1916297	GSM1916291	GSM1916290	GSM1916286	GSM1916287	GSM1916296
19765	18.5900094692021	18.8269489670944	17.284630986411	18.6725483402794	19.3154241932014	18.7446706763101	17.9452808655153	18.9725101745641	19.1134419157256	19.1761073656844	18.3997033562229	18.7529379414961
19769	16.115180707123	20.8739557105293	20.0711396254161	15.8086799119929	13.7638087504218	19.890011007187	17.1057058488495	15.4918886439789	-4.27862181131844	21.076291052012	16.9420925493579	17.9053157104543
19771	17.7863732563952	7.24995732275151	16.7318004494139	6.98970061570301	17.2865402730491	19.6773883553915	17.638242760108	17.5621543769908	15.4414308209796	15.8853094573645	19.8976965134111	8.63673428700408
19775	15.9815810357252	16.0235078146192	17.0650654798699	16.5159620942379	16.3434871681636	19.8441216377243	16.5630737821524	18.3668463511618	15.507498061352	19.9640971042362	20.0098069087544	16.7477221899397
19819	17.6219730922613	17.8586375738985	9.8161384000889	17.3034794851866	17.2099018792304	17.418841492135	-1.20969501459869	17.4894053737216	17.5395090876711	17.4712169176836	17.2268477491061	10.4620372728761
19820	16.9212621435041	19.8584213760934	19.122113255379	18.0082988597321	17.0788756141736	17.3809858408731	17.8838555033839	18.1632926823535	17.6574889344988	17.3983086133017	17.5061501065476	17.6352947242824
19821	17.4185263558088	13.8268962215212	19.0271029029901	18.4245859616877	18.2718437231776	17.9914556221314	18.3287241002026	13.7847455742074	17.7231247947298	17.861672938465	18.0813104269218	18.1679715028374
19822	17.1251242790076	15.2939303073571	17.3676432565103	19.4068639053159	16.663393708148	16.2717139384097	15.3448258177719	15.9080047855506	16.9133475143738	16.6391732160546	15.7796479905723	14.5320924711759
19823	20.1900112034039	17.5314304837923	19.1672755286242	19.8538528330574	21.520325781932	20.0912730933132	17.5154692715333	19.7907067195856	20.1511129615275	21.3319026206859	21.5578483631886	22.3221251559802
19826	18.550089776411	17.8549637939228	18.3068654134003	18.5347301902253	15.6517655665631	15.7673311360975	17.9753395310615	17.9157483388354	18.4924872518209	15.807573848015	15.9287736132019	18.4434993830668
19876	15.8325330532657	17.2719771036876	15.0134177093116	14.9094020884557	13.5129704231104	14.3672534350806	14.7112976975946	17.3104520029786	17.2348250585711	13.8687944689451	13.9489027775068	13.6179457540812
19877	16.3624661720232	18.0622777592716	18.1059323504496	17.8557124646275	17.3320672229434	17.0095188667237	17.8503813049893	18.2466161347219	17.0624117591664	16.6456162205658	17.0613377391386	17.9382252040555
19878	15.9990136926139	16.2701231619119	6.62531819976905	17.4741258423588	17.173961586169	16.7084684558236	14.244433257467	16.2581826966899	16.5873618713654	16.4660777966489	16.7616753965418	17.7069262433917
19881	20.1902396040674	13.5934692890581	19.9767047678604	15.0175809121993	14.7120173572203	14.3880246809793	14.5343009000449	13.6981600300736	14.0586340611947	15.4181050668375	15.2446455850536	14.9972979307771
19882	-1.68310895398819	12.6437684776447	16.7833628392638	17.174986921164	17.0620517740387	-8.89491935800732	16.1485002164436	12.8591792877634	-5.07973879818586	-13.8126710894835	17.1737865828736	17.8712820154731
19883	17.1972111453352	16.3540483620592	16.3327537227632	17.7731040208797	15.7856723999298	16.18822976111	16.8455952980821	16.3373102356552	17.910448865844	16.3219986673915	16.2201171676298	17.1615290414987
19891	-0.586855359368462	15.5475885701492	19.0754576372082	19.1500061868522	9.53172610189137	18.8072487131583	14.7273864247711	18.4438864853561	19.0641730724192	19.1505875794924	19.0904409097723	15.4493192663722
19893	12.00706133075	17.0566395703282	13.4109867879725	13.6456194023325	13.2301698301401	13.1186464487175	16.2747274930634	13.3680066849695	12.3484766402032	12.6525264159489	12.8717173275824	16.1557425905011
19895	17.8395215084661	17.2644270496892	17.7915367759158	18.1422296303211	17.6799472799914	17.5020959433575	17.482878888357	22.7453043429182	23.6247557126299	16.3459681796043	17.7276460713155	17.92854561217
19899	18.0787819913508	19.9048491679765	20.190094836825	24.4629673335242	20.7989267382357	20.2501275225383	20.0212218007137	17.2216012373312	1.41338666611559	18.3012016079379	18.0730737090755	24.5149137555095
19921	13.3242696990576	11.7344538327897	16.0228129015816	23.2885112362591	14.9786200359557	14.712155631239	15.971973340841	13.0981725517647	13.2916497821296	20.0048091611085	14.9838187583955	23.3337583193513
19934	15.0480351955489	21.5019445851912	21.2559671513355	22.0648040957386	14.7759350906376	14.9876011267409	21.493434083228	22.3115241807375	22.631000352222	18.0834348406343	13.8209273301709	22.1972970523545
19941	16.851813284082	14.9523287829835	23.6068299984876	18.1326690171472	1.63363718074359	14.7580743288833	16.3082307962352	17.4849530783811	14.5530836433673	-6.30799164993565	13.0186457313685	17.045986242708
19943	15.3551684824036	15.7781923046449	16.2582796141789	23.7414042327929	16.6807871661545	16.8752491415378	16.1796247871362	14.1991177883583	14.3076190789248	16.6903166364251	16.6876115295131	23.8889357918968
19981	23.6588845326929	18.6803651662398	22.2994962680661	23.6149422268566	8.25157536246687	12.7001721901225	9.0572490305892	23.5855756742878	23.5767660221189	9.23839947965113	8.00220424251938	22.2994962680661
19982	23.4657239791591	13.3169968095417	16.3180115898143	22.8766754487341	17.4245456808057	17.7721813009918	15.8400098675118	16.5147272384158	16.2793920301947	17.4036060906571	12.2139507907132	22.9525077111824
19988	14.5141817635101	17.1898792886127	15.5774064373765	23.3984752382276	18.7078642741289	14.8939884842325	15.7297705559753	17.2795002092365	14.5278573176329	20.2629598717863	15.0890315432316	23.4313836045298
19989	12.9120796165098	22.4760991991917	22.4760991991917	24.5941966902449	17.3629478987262	14.6381642935353	22.4760991991917	12.6674650143089	13.8612149184379	14.8527175407701	17.1941202060894	24.6745196398961
20014	21.5929741391087	18.3913145438493	20.447887276427	20.9062980057753	20.8869379243778	21.0367327102825	20.0791531051752	18.4180027728635	21.3647969366294	20.8863922334414	20.9352261287598	20.6719749243004
20016	18.5696962475744	18.6822618561331	19.4025666984955	20.1618696875645	17.8766431000947	-3.22032198603124	17.8737670259352	18.9490003155725	18.3096262551199	-3.30363292554884	18.1565340307753	18.5696962475744
20017	-16.7843270049732	14.4315949093674	1.55593036708772	17.0677328395671	14.9915678666509	10.6917068544672	17.0260297567851	17.4858437135485	14.2646656786071	10.9368841291405	15.740498036502	17.2096639566807
20018	21.563271755538	20.3712157237496	18.3947391413345	21.3309835241774	20.7959624189368	20.9956311811418	19.9318842548752	21.1848461836576	21.1783095011206	20.7572467627016	20.8085229645399	21.2609285863544
20019	19.9186265541935	16.6737900436664	17.468541026843	16.9627940411622	19.3450186464073	16.4797711846714	17.0179172367228	16.7829305784152	19.4675876332584	19.3817704931958	6.96109183696124	18.2178442398895
20020	18.6117573141782	17.9359303620925	19.6052047494542	18.6928662187219	17.9242218741137	17.7960970922439	18.6869235026343	17.6380395530469	18.5702984626216	17.9776504837672	18.0971573806921	18.950999096124
20021	18.9949350754622	8.02921311431797	11.856355615056	18.5009681213678	17.9219934949382	17.9219934949382	12.684348281724	10.3910616948303	18.1153769246328	19.2382307358867	18.5424988503019	18.1651602132218
20024	18.5290614275061	18.2482589622296	18.0462013129233	18.8079314072903	18.5393726685312	18.4021808601743	17.8141321672336	19.3271818415955	18.2331165902076	18.1373734666694	18.0998320418673	18.5040311682894
20028	15.256835061717	15.6908767368588	16.4233090867339	15.6908767368588	17.7416461422443	13.8638576516793	16.4733557063416	8.4588225172678	13.8211630596083	0.67264009034664	13.1586265776298	15.6908767368588
20044	16.7905092890795	12.9266116037416	23.8523843434281	24.6662048683847	18.2248790906148	17.7095962088647	24.0877800399706	16.6299149243566	16.9484939058788	18.3869591848295	12.1561081645171	24.6580547404882
20054	17.1250098427426	18.2346584675743	18.1041852621187	25.3480677043221	18.7757947219505	18.8995351071921	18.1542414227021	16.6529342643707	19.472057820545	19.0611407726483	15.3221078144349	25.5752392058893
20055	18.8584989870947	15.6706714708421	16.7930374114982	24.0363334625182	19.0616881313349	19.1622825972894	22.5870419002036	1.67565757841541	18.6534910757933	21.9197579818667	22.6702682340419	24.0875194223655
20068	17.4954402940143	18.1520469520984	18.1268538863962	24.5357297218129	18.6342765614265	18.3749776962762	17.936033189372	18.105273078259	16.8990997996738	18.4107548123039	18.414189376671	24.6307208204154
20084	18.5041912490915	23.6898531593571	10.5215753623649	25.4350422662636	18.4159949715071	18.6873998735544	9.17991162114356	18.650920262415	18.4522189530078	10.3104609953323	9.65922825892164	10.8185604661066
20088	16.0426275543596	10.5187591269672	17.1638464024179	22.6331962525134	23.2145117348735	15.9347532024085	16.9573292686787	16.9761808415657	16.1251024097687	23.2121250677911	23.3264352950999	22.7239387389414
20090	16.4236052199321	16.3456148575086	18.3087081433464	24.5152968418456	24.4459280829975	18.825598306056	16.3187092639179	23.6606734114745	24.3980600729455	18.821980831726	18.7696890771451	24.5463604964301
20102	22.8814339845193	16.7946126090874	19.7773594091942	25.121971490649	7.21763923926362	-8.46757028931587	19.7729293425447	18.693680951562	22.8814339845193	-11.1759271888394	9.27590609556254	25.1953589392497
20111	17.4777942931001	18.0162600386227	18.0056444850424	18.5801503470655	16.062884569124	16.2052884849478	14.0765789703166	17.777523278924	17.6048584248631	18.8718107655391	16.9007150001441	18.2177693662567
20112	13.5556919218331	16.7125194055021	13.8697251743485	13.3698851030711	20.176230529817	17.8028550516859	17.5753689302956	19.9213997635796	20.3645325980834	18.0790815914215	15.5919542983459	13.3317303010448
20116	-6.90982638346089	23.5690277074471	23.4102448083276	24.2482927022712	13.2129829452862	12.7598237420297	23.564843610368	20.0300848204197	-7.07039834233984	13.9735173810245	12.4783042767427	24.2992237158368
20128	11.9501389126334	11.1622024819681	10.0297705965867	12.0944154131294	8.50757327160746	11.1622024819681	9.91016963412742	12.6639198745571	10.9328826072043	8.90943488807048	11.1622024819681	9.96368626363502
20130	20.158429998514	19.1191803171644	18.9826797557909	20.1514112418285	11.7356503797328	21.2280175615891	12.9969393954917	19.2506436855871	20.5305378474264	21.2274241320412	18.2406227980013	17.832040425408
20133	15.2040361762805	12.299746415299	10.5346519485044	20.2999412967353	16.9778372966181	18.7558531761515	19.714441963599	10.3618572565785	20.5725225625613	11.6624660242157	10.2038783657474	19.9019675434419
20135	19.4952664244662	18.160454574139	20.0498981894233	20.2707532747718	18.1331137397929	17.975400186609	19.5783733406675	18.6132814316114	18.3138203777468	17.7626948504772	17.7112056584942	19.7179962716236
20147	6.24532145784242	8.69417572517233	10.3694645754727	10.3409999876239	11.069542357512	10.3184668403315	10.8347885050048	9.05602430568511	10.4912919391372	9.57093964752615	10.536378271564	12.1964080709524
20148	18.2208770305513	18.0373866621847	18.8310735262306	18.4073380234811	3.6831654835229	18.9923331448706	18.76917273866	17.5040402489499	18.6479458441027	18.2208770305513	5.84474780648529	18.6349972635627
20163	19.6174887205308	19.1183385823506	19.0014774824004	19.6458926967431	20.326171926368	16.8488112200082	18.9761361903106	19.1840949319123	19.7060519804394	20.05027608738	20.2260495378436	16.2902191750088
20166	18.4754061456273	17.8662709663153	17.6878525129601	18.4535229370365	18.0585594432409	19.1375212053666	18.8195413648484	17.8854239840097	18.6052746796832	18.3758892422276	18.149460327383	18.7817586590287
20167	19.2587029100379	18.5114658951849	18.5048907534655	14.1504468083348	15.0210440697909	11.7592582244753	11.4607302567824	18.1775500512642	19.3757775014481	15.2722895195829	18.7485585476112	14.5749394871953
20168	17.9239706355462	18.7313130732945	17.3878413600656	19.0444910415781	16.7888801177631	18.7542785187626	16.9980666596528	17.6380309947346	17.4132110824236	19.0205684728869	17.7537734281686	17.692079096274
20174	10.7067849925847	16.6436676484824	11.9809086497249	19.7688363512949	17.2386890598295	19.524583299159	11.4919916881181	19.1157927925951	18.416035148938	17.4519420737815	19.6750631517256	18.416035148938
20182	19.5329033052111	16.4543074035138	16.2425394315114	16.999060297729	17.752714775541	17.3621962240369	16.3788157813779	17.3643321043131	22.7481256984867	19.0349751689853	18.8782632405266	17.0928003744236
20183	17.8912898530302	8.63105842689104	18.5040744183628	9.69264363953801	15.2506836653955	15.9385853274547	17.8143864594976	7.79623065877483	16.0676957486301	9.58759335247919	7.94999312028483	15.5360855660899
20184	17.5931383009746	18.1392037413238	18.0041782802084	18.0156609712814	17.9633924969642	17.8527661446978	17.9389375355653	18.3519830012829	17.5588902004477	17.7079868234541	17.7485309074434	18.2385500275102
20185	15.771103762435	15.6832261136782	15.8273097984968	17.7585827790302	15.3370552044389	15.3187876559509	15.5065269194812	15.6637283892331	15.4718400048977	15.3444896012986	15.561200049036	15.6804144302755
20186	16.3810022969825	17.2762327472658	16.5483662059164	16.013504024044	16.1702848780335	10.6592043182258	14.1557916190085	17.2014603672174	14.2415083528604	16.1062647651663	14.7773416241646	14.6342781911231
20187	16.4864345973798	17.3988108852589	17.2703612718131	19.4092537516209	19.3823525263671	16.775729419272	17.3632876286438	19.1431302263785	16.3089371667822	19.1283701400882	19.0108663799244	19.1702281517128
20190	11.2273132736828	25.8741896810806	21.8192650762567	10.8397272404795	24.0124819924955	24.0124819924955	21.9758244553212	11.3131886626146	11.8128797457254	11.0883989730357	11.0611506261754	26.5737751504371
20193	13.5187291940076	18.1789541231532	23.4604786988456	20.8711688532388	17.1549850184148	1.23256298571795	18.9324019993886	16.8904343667839	17.2258327151603	17.0475740450656	17.1858781138771	20.0140744669342
20196	3.45765058302203	19.4734244208024	19.9799322312694	19.7256195125634	-0.0587061938626734	17.4585995272287	20.3993755378876	15.8728505925679	13.7203246696216	-0.141416924539973	1.37735039474038	21.3806046943026
20197	11.8839921134314	22.0845499766024	21.2888715026379	17.1143102648143	18.6237182623544	18.9359126611651	13.0745632954042	14.1127246292555	15.2724938526391	18.4527508772061	18.6501356498539	16.7878851380758
20198	20.5364526405937	19.9244151865118	20.997587219759	22.7759528923974	17.2342122073778	12.9484110807575	13.0691568334162	20.2255934438685	20.8267419240447	13.8789557930648	17.3452084761611	22.7570112647079
20199	11.8752656982691	13.335838549464	14.9922151760877	13.6442226293093	22.7597726697867	23.0444986911595	15.7212272231472	22.8858429570951	20.6811093510603	6.31508139442762	6.05015931866806	13.4453729621598
20201	18.1755479318275	16.4063782116813	14.1015502404688	17.8596820145108	14.4770941766015	23.1250805676622	12.1557287623741	22.0238816676622	17.1372492108365	22.6742724559236	13.9646886508203	18.5403672696614
20202	17.5004427448424	16.677247516056	12.8302659165883	18.2186410706523	26.5744999346282	26.6212734099143	15.3963454020576	21.8913523809012	16.56369240264	26.4617906492764	26.6394401366869	18.9512730445553
20203	7.85189400223379	17.9645507040062	8.74691103880149	12.2923797757811	17.9645507040062	18.0784276129367	17.9645507040062	16.7307035345313	14.048723349338	20.0970896073699	14.9758297162261	19.4973018861975
20204	16.2566042069563	10.8862677221143	16.5060132405442	14.684595343263	9.86984647533102	16.5060132405442	17.4820122918868	11.1777269747356	16.2223258662822	17.8955935482167	18.266610859147	11.1030978490321
20216	9.48025172039352	17.4740343180232	15.1645995128371	11.3648683097855	18.3946108414867	10.0506306416015	9.51951434782491	17.0898461413218	8.64423770323982	-15.6820777180716	8.53721894095898	17.2139912828137
20218	19.8330594153155	19.6292099934345	20.4087084539526	20.462821414206	19.9499758740824	19.6130834412869	19.8740901024925	19.6138382312312	19.7398709814032	19.5656495155557	19.7117434003276	20.2945453625379
20220	19.4757056883908	19.4378749776538	16.7274207797074	17.1156699524811	20.3647788501308	20.2041402123629	19.6988683908905	16.5854984682105	19.4757056883908	20.2714626677402	13.4982227796865	20.5593673394156
20222	20.0018883644933	19.2225940851709	19.0959351150778	19.2788163684244	17.949395673832	18.432533251174	17.4726573719199	17.5007610465314	20.0086833311591	18.6800053773103	19.324889972274	19.3824513740045
20226	17.1571429731859	18.1838711983498	18.9225963243631	18.5480545067841	17.880777587519	18.5609828618013	18.2351173189243	19.2272992825307	17.3682713568422	18.5430834023762	17.4886451430318	18.6250427218538
20227	17.9391943441563	17.4975478078409	18.1233256522934	18.2690401921478	17.653820687879	17.7152652744796	17.7309603348816	17.4938521868264	17.6007687096308	17.8797194510383	17.8137191855125	18.393083850505
20230	18.3790939247885	16.8979166645942	16.0387593320127	11.4150951797512	17.5182680360168	17.9021619508751	12.5243486311581	15.0841385552239	18.4348606929319	17.8372330877962	17.1427644156797	17.9777201063473
20238	7.87967567654015	7.32846658100253	11.5362847127086	15.776409583088	9.00472946912803	-10.6430697314234	8.61277204676058	16.8095988176076	15.5176944327108	-5.73588104139583	8.46219015977342	8.71523066271502
20239	11.9433406436601	18.7063104775251	18.4571480869785	17.0652087469687	12.7979443783252	18.7586900595236	18.5241463423127	11.1999315024082	12.6028523630955	13.8292257458996	13.5416076386911	19.0366092640072
20248	10.0366835326012	12.1152809560606	10.182949509801	13.956678138894	11.1206637060711	11.9842980330058	12.284053447832	9.25481600740606	13.9620096908122	10.6924503239766	10.1667484696499	14.5313303912148
20249	17.3157817290246	16.8742702771892	17.637359799777	21.6124034187402	19.4925873497982	17.3767865486407	17.3437636630856	16.597740107693	17.0490943901861	17.5924506144841	17.3666994147042	17.0704103844533
20250	12.8710968805148	12.2182629401502	19.5470133690624	19.3219325766791	12.7473456890185	17.4512279409	19.7633020195646	12.2493550756917	18.1549786726717	12.9808474514095	18.9003136743687	19.2664248241906
20256	-10.1034935081077	4.30423947696695	2.41088987730316	17.2869714925189	-25.7114863086749	-1.3978394106101	15.6695721475308	-29.3123903532651	11.9229623927304	18.4605407123846	13.747277107486	-1.31805193980974
20257	15.9387950751959	8.42330493274399	-2.57729095232782	12.6224430130948	-2.46637388938817	15.2037711438236	7.58480564124332	17.1319578402223	-8.96002343473229	15.3312313714515	8.74218623403612	-12.3070750237355
20259	17.9001108729856	13.7396753884041	17.8959209430066	17.4681892394819	10.7594701782158	11.9350539028705	10.7944888845963	20.7652360844011	18.5415104644009	17.3851214946813	10.0563325317287	17.9832875583752
20264	17.8820670559452	14.23781374381	9.52065152249357	5.2940813017212	17.2319821334499	7.16617798520411	17.5144030134339	14.4682950110293	4.04494964527691	17.1852881048968	8.08253277083089	19.4498932225043
20265	15.6719982310621	15.26154576118	15.3296110151108	15.3296110151108	15.8411600535683	12.2186502653686	5.92226294371427	16.6495496716098	15.9384883487518	15.3296110151108	15.6091346094549	-1.27311402540496
20266	15.6625404227249	18.3857784549533	14.2794575191397	16.8185494492398	14.7132132922709	21.2081251399235	15.1808988077231	14.7956058942805	18.3857784549533	18.0433455336557	18.1436757676242	17.3142068852818
20269	8.82658026436476	8.28488488508109	6.97086000139573	9.40336919699283	8.3382820889873	8.82658026436476	9.2962279081905	9.3248053707065	8.82658026436476	8.18071629683621	8.08891096903969	9.67164001344134
20271	6.69591686300029	7.14480405152843	11.6725667931985	10.7916593937636	20.1246548641341	20.4260851966257	9.93750408935556	7.28426021070477	20.0163873136568	20.517749752455	20.4782867148533	9.53155917988893
20273	13.7584695664921	14.278691448183	11.6787663895855	9.10522097269437	14.8902383733159	10.8418777907703	12.8100774003051	12.6768478003079	15.4885008760529	18.1143733914015	10.4457722847507	13.247084501282
20274	14.3363126811506	7.82196909574176	16.7655501785491	5.66458679239147	-2.55371750895839	-2.51709236851722	14.3363126811506	-2.57768188626549	-2.6389613244438	14.3363126811506	-2.81096622218119	16.1845030199697
20276	16.9150418406415	15.9406796445826	14.6953976926421	17.0884515715327	15.640716399931	19.0807350038905	15.0999191253433	15.5933536969765	17.310838231559	16.6749658633081	19.3238443053466	16.7322765051156
20277	9.18433353528927	10.0480635346149	17.2743738732274	16.0639689077795	16.5133600900556	14.9486408223308	17.5360876096785	10.1875196937911	10.5390460072473	14.7426124817627	15.4936129606758	16.3536819002496
20278	14.6757864274617	16.8998322879323	16.4261313580021	16.3245713888724	15.4364159745947	15.5226994812031	16.7784877895498	17.1287762375177	15.2202065130525	15.7512519845914	14.4858069649556	16.4323362281268
20280	19.846251635385	19.4984815073016	19.2442209917915	20.2627908443858	7.69698309244392	20.1677401799917	19.5687026203764	19.8021176602492	19.6673228935332	19.6673228935332	19.6673228935332	20.0176890064801
20284	15.7722640498401	16.5123023378572	14.4732590821131	17.382261560822	14.294410127367	0.806768292614323	16.9649391210045	13.7579480089237	15.7722640498401	15.7722640498401	-2.80806760084714	15.7409231121802
20286	11.4730839724722	16.7789806370759	18.7710706507448	18.3525850946141	15.6990495698221	15.6375674911145	18.0122896316203	23.3081439391988	11.3998768409725	18.6090160519059	18.6319522231077	20.1114557540873
20287	10.4643759661596	19.4946107398039	17.7069070990226	10.6496068571002	19.9119723185171	19.9606026719136	11.6591079441038	19.875635591574	19.2804775932498	20.0268764655024	20.0658026618394	19.7975325794542
20288	15.7120426264869	16.3718828155649	17.0300110204018	11.3847623370996	12.8293354815497	14.0057445534722	16.2419031484597	15.7120426264869	15.4301077309749	15.0986359263337	15.51651387976	16.4274232597135
20289	15.97138231777	15.1973193791074	17.3877544243978	17.986969246677	11.8287187980787	11.6048902837631	18.4431235552228	15.1668505368412	10.9859930467835	20.9882155979397	12.1357410266557	18.9855229419983
20292	8.9431172203947	16.2154854002803	9.89622670608744	16.1307965240724	16.5621715162581	16.5074554914606	15.6134677683792	8.94589476980504	15.6134677683792	16.6563113745586	15.6134677683792	13.0005486610464
20296	14.8305515758647	14.6214240057648	17.5076767632534	20.1489418863418	14.2447530510214	13.8680730486224	16.6802280555968	16.0604404467999	12.734602638813	13.2840445880999	14.9409341470516	20.2916830697647
20297	15.2848799961161	15.4914892923522	8.7488119070604	17.3772368713862	-4.23132403787621	11.8842563601345	14.9823974681818	18.0320121591826	14.6522817402867	17.1825672616879	14.3896678266305	18.0073990196435
