Gene	EFA2a	EFA2b	EFA2c	EFA2d	EFA2e	EFA3a	EFA3b	EFA3c	EFA3d	EFA3e	EFA4a	EFA4b	EFA4c	EFA4d	EFA4e	EMA2b	EMA2c	EMA2d	EMA2e	EMA3a	EMA3c	EMA3d	EMA3e	EMA4a	EMA4b	EMA4c	EMA4d	EMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	16	16	16	16	24	24	24	24	24
11475 0.46862457 0.4579275 0.61538211 0.51458692 0.82137778 0.71693334 0.93206943 0.52213772 0.98303073 0.64793415 0.52830133 0.71629415 0.78583492 0.84886769 0.7729343 0.70643948 0.95975211 0.69769055 0.65074489 0.5794587 0.96166748 0.85903588 1.01954517 0.86869568 0.77176854 0.79866974 0.72468858 0.94045142
11479 -0.6084798 -0.4448316 -0.3031627 -0.3544939 -0.4112275 -0.3949632 -0.3675836 -0.6294689 -0.3432628 -0.3788002 -0.4710254 -0.4927586 -0.4187927 -0.3797988 -0.4723692 -0.3099226 -0.2561812 -0.4439162 -0.4892657 -0.4953714 -0.5371913 -0.5383091 -0.3055692 -0.2233341 -0.3813939 -0.609707 -0.428362 -0.4035567
11481 -0.5726138 -0.9796186 -1.1633494 -1.1196672 -1.3145013 -1.1692038 -0.5633871 -0.882863 -1.3310985 -1.7619863 -1.2481943 -0.8216361 -1.0565675 -1.304116 -0.7771051 -1.4287657 -1.336185 -1.3687611 -1.4077695 -0.5006106 -0.4488833 -0.6782892 -1.6673217 -1.5137713 -1.4955575 -0.7615876 -1.1904286 -1.531426
11487 2.06612323 2.45875607 2.44502628 2.39476722 2.27146364 2.29383457 2.35675492 2.43044084 2.31237439 2.35785453 2.27231564 2.40802248 2.28053877 2.3084242 2.38539496 2.48858847 2.37134411 2.35015699 2.41233713 2.49328759 2.33540528 2.45709645 2.28076851 2.33689966 2.13918944 2.3839851 2.40018861 2.28507661
11490 0.75428917 0.2838216 0.56671637 0.61245368 0.64719472 0.53575507 0.62924941 0.61844665 0.52615095 0.5998474 0.88912943 0.50077709 0.47655689 0.54504262 0.6624552 0.67871589 0.60462621 0.67494063 0.5712543 0.41542795 0.46184722 0.69903435 0.60295037 0.60245767 0.58501628 0.72325961 0.6759222 0.60160689
11491 -0.716738128 -0.457145753 -0.688839308 -0.628432478 -1.392960465 -0.885637035 -0.814107185 -0.971969263 -0.796132743 -0.980963603 -0.770676043 -0.93720961 -0.943412018 -0.607088023 -0.880940658 -0.881636675 -0.64972234 -1.010156998 -1.149414418 -0.468409763 -0.841260298 -0.93593256 -0.968051143 -0.561926565 -0.708261043 -0.92201218 -0.86166179 -0.723303083
11492 -0.5932262 -0.1527674 -0.2287295 -0.6037045 -0.6617986 -0.6799566 -0.2185227 -0.3278438 -1.1066529 0.14262732 -0.7727128 -0.3354892 -0.8653888 -1.0415323 -0.0386701 -0.451579 -0.8359466 -0.8016363 -0.718387 -0.3719117 -0.3179908 -0.3729494 -1.0664301 -1.6367777 -0.3958506 -0.109807 -0.5719737 -1.0714406
11496 0.17588395 0.39986764 0.244067365 0.083647005 0.29545302 0.26158023 0.434208075 0.22113844 0.21452266 0.139759015 0.408182475 0.02855186 0.311977765 0.47088242 0.061044935 0.241402425 0.539804525 0.058784545 0.33483167 0.49593616 0.09811758 0.42447967 0.07884493 0.049049995 0.185229455 0.42412147 0.19810896 0.164656395
11501 -1.110526 -0.8408686 -1.4604092 -1.3646787 -1.5003466 -1.2702526 -1.1165006 -1.0012316 -1.8256451 -1.9576321 -0.499898 -1.4262297 -0.7524539 -1.2619571 -0.8212827 -1.7162986 -1.1912195 -1.6822564 -1.1857025 -1.3924492 -1.0637057 -0.8207803 -1.5309462 -1.2124178 -1.6764653 -0.7341061 -1.1585602 -1.9746208
11502 -1.4765201 -1.3506777 -1.4806718 -0.5601798 -1.0813531 -1.3733691 -1.3378854 -1.3343617 -1.523467 -1.0711411 -1.6662109 -1.4531746 -1.0830362 -1.3436784 -1.5699978 -1.2755789 -1.3312734 -1.7610617 -1.3013657 -1.3427574 -1.6362811 -2.2102968 -1.3844164 -1.3546263 -1.346827 -1.6844106 -1.5127515 -1.4125616
