Gene	BmFA2a	BmFA2b	BmFA2c	BmFA2d	BmFA2e	BmFA3a	BmFA3b	BmFA3c	BmFA3d	BmFA3e	BmFA4d	BmMA2a	BmMA2b	BmMA2c	BmMA2d	BmMA2e	BmMA3a	BmMA3b	BmMA3c	BmMA3d	BmMA3e	BmMA4a	BmMA4b	BmMA4c	BmMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24
11287 1.5397499 1.32449529 1.3338381 1.62385778 1.61204797 1.59719437 1.46900697 1.49309632 1.62308868 1.17678947 1.57542256 1.14138923 1.23362473 1.40255229 1.65416234 1.70180894 1.58909653 1.37447302 1.34314828 1.3919355 1.42048208 1.75100469 1.21481569 1.52314529 1.71987948
11479 -0.4703891 -0.3765378 -0.3491037 -0.5458604 -0.717353 -0.5969911 -0.4424932 -0.4189574 -0.5945189 -0.1929978 -0.4950302 -0.2614065 -0.3208462 -0.2494297 -0.541105 -0.394066 -0.5786699 -0.1996014 -0.3367131 -0.4621828 -0.3926869 -0.3475045 -0.2660053 -0.5440505 -0.5903314
11481 -1.0191256 -1.2785436 -1.3115341 -1.2736312 -1.4244689 -1.2971367 -1.5218734 -1.2850697 -1.7033297 -1.0558242 -1.284748 -1.0356019 -1.1566175 -1.0946728 -1.106185 -1.3713777 -1.0790092 -1.148354 -1.0656952 -1.3610514 -1.1367863 -1.4790952 -1.0420931 -0.8934058 -1.1334384
11487 1.75343056 1.88666023 2.14382777 1.73839434 1.64276696 1.81333895 1.84450823 1.73121797 1.77873217 1.97739893 1.76091962 2.00323471 1.92173788 2.12310226 1.65035731 1.80036189 1.59045115 1.94405469 1.87398465 1.88379375 1.85601814 1.74778229 1.97442863 1.78886107 1.72646217
11490 0.83779381 0.89500547 0.79782122 1.00887882 1.11804166 0.92474492 0.89050478 1.14671737 0.89670412 0.66873199 0.90123591 0.8231814 0.81084044 0.83498799 0.96888236 1.19531274 0.98348383 0.78071822 0.73327093 0.77775442 0.93252199 1.02615948 0.78288017 0.93889409 1.08493266
11491 -0.940288238 -0.847337188 -1.025966108 -0.856771433 -0.582297453 -0.788129748 -0.943426088 -0.918220553 -0.61164597 -0.870296323 -0.829579165 -1.007245403 -0.87195085 -0.847332093 -0.69148636 -0.6412776 -0.696246123 -0.882215225 -0.953632348 -0.942320993 -0.743624778 -0.701975198 -0.96654872 -0.881277915 -0.744388498
11492 -1.0183982 -1.279133 -1.2066449 -1.0887029 -1.0398123 -1.0894805 -1.4223169 -1.4286646 -0.8566801 -1.4616219 -1.2621271 -1.1249407 -1.3833602 -1.1587242 -1.1460713 -0.4208379 -1.3341787 -1.1383369 -1.2288152 -1.061856 -1.1084365 -0.8533007 -1.0472777 -0.7641536 -1.0064331
11496 -0.087964385 -0.09277384 -0.06842212 -0.139475485 -0.129856965 -0.117664655 -0.0197482 -0.24055739 -0.119065 -0.10721448 0.00010121 -0.117992 -0.1536638 -0.10027165 -0.074017005 -0.18518054 -0.261487695 -0.21850793 -0.138486485 -0.109686465 -0.289929375 -0.08992487 -0.067573055 0.032052645 0.01931466
11501 -1.0072283 -1.4830875 -1.2461397 -1.3495581 -1.1823893 -1.1438317 -1.293104 -0.9744867 -1.2721158 -1.3628952 -1.1269194 -1.0976013 -0.9795403 -1.0173599 -1.3193857 -1.0379036 -1.416219 -0.7356455 -1.1993346 -1.2549097 -1.227231 -1.3908406 -0.7584969 -0.9145002 -0.8640359
11502 0.1791057 -0.0082049 -0.0255006 0.02630142 0.14088976 0.22054401 0.22446622 0.12745886 0.1114472 -0.2409149 0.12869492 -0.0202706 0.1259437 0.05317205 0.20673361 -0.0791954 0.02963877 0.24016042 -0.0632285 0.09296182 0.01204852 0.36394556 0.15573108 0.25734063 0.21686935
11504 -0.6237036 -0.9243104 -0.6922529 -0.6233939 -0.523605 -0.5083435 -0.695311 -0.5344887 -0.521843 -1.2152195 -0.5995509 -1.0208033 -1.2731702 -0.9638207 -0.3857674 -0.2419745 -0.4538544 -0.9356578 -0.7734653 -0.4923621 -0.7290388 -1.0133743 -1.2327394 -0.7220454 -0.2420719
