Gene	GSM154905	GSM154904	GSM154907	GSM154906	GSM154903	GSM154908	GSM154897	GSM154896	GSM154902	GSM154899	GSM154898	GSM154901	GSM154900
Gene	4.0	4.0	4.0	4.0	4.0	4.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0
22933	3.62393707567169	3.99196167346563	3.93238249058586	4.05558612880636	3.92919448473284	3.94593538096101	3.88930804170466	3.93795637184817	3.93865277134132	3.93115353052023	3.84252634775862	3.94151952378205	3.93816344465118
24152	2.11009927083735	2.25743913760442	2.10540654142641	2.39098403136532	2.10218779322362	2.11579568494173	2.10159293186931	2.10867833604245	2.10831033658192	2.09461443204067	2.03794442963488	2.10996893747822	2.08216437323446
24153	2.53501776839507	2.8463689489879	2.48872065289528	2.5870504923495	2.51865850553465	2.48091393036257	2.44690198917988	2.51507910939191	2.62228380374248	2.48563291174182	2.34809924996109	2.78465054827523	2.52161363001809
24157	6.74180402530956	6.17042184417173	6.9502817662372	6.60958211912761	6.37781611824008	6.5647515989769	6.44349227888402	6.57957842762046	6.10923308506252	6.27471825603109	6.52704061278523	6.39874882151144	6.30041662783687
24158	13.519525687849	13.4532191817721	13.3612173101138	13.5250191063968	13.5007920962604	13.4823289952284	13.0009295625042	13.059650341941	13.118001782725	13.1419251130485	13.0958815761708	12.3964950765349	12.8264471931966
24159	7.2901294646757	7.16945404494925	7.24253581880079	7.35164599522504	7.35763997114601	7.3133637734994	7.4657214810899	7.65553072315564	7.51173684332413	7.41009513888098	7.44491548898671	7.75476059285128	7.67922672593311
24161	8.47799296351637	8.54986358573155	8.56008057938502	8.64125519210492	8.62392903051161	8.67980730785713	8.45731110266059	8.51980331275952	8.4544411910717	8.49463361433292	8.50228882699275	8.02476568690769	8.18608699525788
24162	5.90339263195529	5.27115671449946	6.02347049834065	6.10984945488805	6.21700382294999	6.59092681978473	6.36132446593575	6.29339071769895	6.19245852992173	6.08179125120998	6.36559631233158	6.18105880795877	5.77444973256007
24163	4.0486982902953	4.35666500236433	4.06104170478987	3.97116644971077	3.91156695831356	3.81790972170135	3.82896662819911	3.78894666657714	3.9810214946184	3.75598780535458	4.26578942507794	3.81754140015143	3.79123062524214
24165	6.49584383696534	6.33164789732127	6.79719460067103	6.47875020817153	6.42988037827179	6.42761958066607	6.91048083976139	6.63961131296264	6.44306786075039	7.06358922531452	6.48375290985362	8.04556310297359	7.63897885887835
24166	2.57256472235725	2.93579822281561	2.5616242992793	2.64795108924089	2.55505044024049	2.56753571282655	2.52758459816629	2.5949485792166	2.56384147888033	2.67775515369725	2.63118928126463	2.70905899177699	2.63522967949133
24167	3.60004193530774	3.66222401753984	3.65356338168394	3.76465188637678	3.56181520110583	3.68656523690759	3.79029531726684	3.71221084535239	3.82623525500044	3.72838367584233	3.92079491639081	3.86242882579181	3.71515509055007
24170	7.86690488806309	7.40898310498876	8.06298783325141	7.9276476100298	8.19032595649028	8.04598894568495	7.9661362593129	8.01168990609568	8.21220210132589	7.79938880767668	7.98459219838365	8.18928097547775	8.0547589568139
24171	2.22781499512597	2.3992804883483	2.22983706604193	2.30216694938404	2.23777784291201	2.2822144126359	2.26470456047823	2.29057479963811	2.29726479694994	2.71743186381642	3.18879177300986	3.60862002436049	2.9009015771159
24172	2.60909302362406	2.95321680686419	2.83138579015342	3.01952934996843	2.83796140157445	3.09920682182936	3.8223921200743	3.61048983093936	3.08992096530007	3.09577170559895	3.32183575944998	4.2802863886245	2.66838126461579
24173	9.65497786737225	9.55128336814025	10.1339641730629	9.71872293969087	9.21956302908746	10.0362010921973	9.65178361938285	9.63193913588102	9.28726911554405	9.54473845080788	9.45212590259814	8.3268608828169	9.04978594057141
24174	3.68496643982654	3.96386618781051	3.56806210992104	3.69143180289361	4.0194107369861	3.40526266145176	3.3787109048622	3.53728488336501	3.40605360486342	3.40831377442929	3.59294293685099	3.69863670283273	3.49459054949983
24175	2.31181986908837	2.42140105793091	2.29197184614961	2.386209468299	2.28645832888678	2.31517492809996	2.93227854219142	2.296792161884	2.30674053080954	2.28886644320048	2.24614658457311	2.30180418092663	2.36899178890816
24176	5.0253876512643	4.24135971356879	5.04508906865381	5.22988012348653	5.78843253822173	5.32856363582858	5.1649350765482	5.51822352852336	5.11352965235585	4.88595987750113	5.18629849646324	5.66283782215837	5.18939366231977
24177	2.29418842695887	2.57127634281901	2.2773956505108	2.37141946505247	2.28026745547012	2.30073875276234	2.24236775356478	2.28921772137819	2.29267869590155	2.27625545187825	2.19618210405254	2.2938383571497	2.29256974580896
24179	3.95814667376272	4.05334597259572	3.9382387364839	4.02889619672139	3.9383893083623	3.96576581804738	3.91436360369576	3.95292059025585	3.96113246920048	3.92676801837717	4.17535692894571	3.95640984636306	3.95281811123186
24180	4.3508119183005	4.04784807778832	4.09284591942152	4.17646160939849	3.88938105911553	4.32634678821392	4.32511293297646	4.06531811156217	4.50093905160251	4.46376989662173	4.8573092393429	4.28766067243259	4.18205422465112
24182	2.2974335576703	2.5525246286738	2.27748343523301	2.35659880731516	2.42221819683335	2.32374186462668	2.2735009703381	2.31035757246274	2.31173560197927	2.48472978557912	2.28894615247385	2.35681428217791	2.40780683626296
24183	7.58789000278423	7.12752959261064	8.11511649856798	7.97192860442536	7.85315357994097	8.00645512277172	7.56508684189659	7.60677902494263	7.25568153078537	7.00786656186961	7.4848832989309	7.03775888141595	6.65858781994289
24184	9.00580417319148	8.7338237502903	9.17710554946221	8.97568463479444	8.88814321866696	9.01744872439434	9.12596874308102	9.1135780957317	8.87237938606659	8.83852953287931	9.07558878479697	8.67380549633741	8.84069925759864
24185	8.87562190133037	8.46495993732193	9.17650249155108	9.07907999908581	9.13751868836243	9.18078257637307	8.98626456292594	9.10667532451925	8.93197863469344	8.58468559442066	8.88780956778318	8.63468199426957	8.66671929338126
24186	2.68820498156602	2.94868213695741	2.64762880551387	2.75173363885322	2.68672797883958	2.69726896585833	3.04569108737942	2.79003799471613	2.71970696600534	2.79054060434402	2.58311587198977	2.6934992238398	2.68384127790131
24188	9.53381249682767	9.48527184183934	9.31427507390609	9.33306811494984	9.35717368741727	9.33186417574004	10.0201187859597	10.2415661255432	10.5851879042121	9.4712606340011	9.96363017629634	10.4147275119655	10.0149689327771
24189	13.4881916227776	13.1339946664995	13.8336906300938	13.7387256224934	13.6355027428019	13.6929096768824	13.6444421656168	13.6434278260961	13.3424914110691	13.0926745667252	13.4135750433393	13.5547327303116	12.9931046824805
24190	3.96332614766408	4.17698491982734	3.74061460075046	3.78433646144298	4.28712502541358	3.79206404720049	4.34990307384676	3.75056363064605	3.70721554571642	4.39498737147429	3.73308313184512	3.70378732282977	4.26318467874064
24191	3.39648833344054	3.26994726205395	3.29384571243105	3.61100708636438	3.44300982513041	3.12313477102112	3.64892555945312	3.79855863560701	3.16448863528487	3.56674210431135	3.85035938803356	4.01331932318634	3.57834702644638
24192	11.0964381502123	10.8196534560158	11.0068229757857	10.9221288524257	11.1062007818086	11.0859165523432	10.8227606949681	11.0023955395584	10.9550134485683	10.5330198895243	10.7758057679178	10.7075710770601	10.8219435484527
24197	2.23663343691309	2.50708167758597	2.20662447132633	2.33963910463978	2.47563487045543	2.23369789650987	2.19514913535431	2.223833366043	2.22014418819378	2.21354014666898	2.23474042147277	2.49463065450008	2.22328352551322
24203	2.78178039452026	3.10499830248286	2.77661884354785	2.86517352649261	2.86699103701568	2.80549780315546	2.73197932871517	2.75729425991187	2.82588838276102	2.87316649774593	2.81548218348514	2.78029854903684	2.79479221769293
