Gene	GSM74435	GSM74446	GSM74447	GSM74444	GSM74445	GSM74434	GSM74433	GSM74432	GSM74437	GSM74436	GSM74448	GSM74449	GSM74439	GSM74438	GSM74451	GSM74450	GSM74452	GSM74442	GSM74443	GSM74440	GSM74441	GSM74455	GSM74454	GSM74453
361381	9.21662461822373	8.89345322583372	8.60362634498619	9.22025739261482	8.81650371138949	9.53624721568813	9.44728990123914	9.75780667219723	9.30023814698577	9.6972282306968	9.04726026626004	9.08533966935737	9.50531535613624	8.96434086779242	8.81410175449819	8.92050173267035	9.30685916765658	9.46801303350355	9.50243403868212	9.53352441485668	9.90139489464893	8.87590290312484	8.87927691241217	9.14108531856233
361384	8.63753055152531	8.65535182861255	8.90989308377004	8.80170835891646	8.33962734758039	8.51766938813381	8.58833986092348	8.16566075149867	8.56014173612078	8.51609396341718	8.46699410907326	8.57440430902258	8.75605587907539	8.75622271284729	9.05853297020161	8.94661390541276	8.73572524507657	8.35557133839774	8.7719845887782	8.47735352663456	8.02680005934372	9.14031853935699	8.74214098549815	8.83019827045516
361391	10.8809609626325	11.341407628591	11.0762143488484	11.2297801667333	11.0987558815413	11.0743421948504	10.9170736628782	11.2924941936588	11.1463140974728	10.4372319010395	11.1970938007346	11.3691610913492	10.7944158663501	10.7251958172267	11.1756742918961	11.6146178325688	11.0677032443732	11.4318631938951	11.1339770124832	11.9537235757983	11.1581047196966	11.4229057426122	11.53454606746	11.2289389100735
361402	7.87835751033694	7.57742882803575	7.93957921431469	7.44128427192704	7.86974805146507	8.68720069465189	8.76453989857671	8.52669484554198	8.67983193343985	8.98213796823992	8.04384754043891	8.01234519041983	8.13134253912326	8.66853047018635	7.95070169008901	8.38111029409905	8.06069593168755	8.5077946401987	8.46801303350355	7.91229058335111	8.77939105953591	7.43962313755712	7.08533966935737	7.94192792470872
361409	2.92599941855622	4.41616416473313	4.22881869049588	3.74953426766926	4.11270013274936	3.7279204545632	2.68929916053589	2.59693514238723	2.24792751344359	3.32192809488736	3.74416109557041	3.60880924267552	4.79701297783614	5.03562390973072	5.20163386116965	4.59991284218713	3.23266075679027	4.58796498888268	4.83035674741922	6.50620838930675	3.13750352374994	2.8972404255748	5.29278174922785	4.91169158187234
361419	2.78659636189081	2.51096191927738	3.36457243229586	3.15380533607904	2.63226821549951	3.4594316186373	3.43295940727611	2.76553474636298	3.29278174922785	4.50462039240355	2.78659636189081	3.71149490665009	3.26303440583379	3.56071495447448	3.48542682717024	2.37851162325373	2.92599941855622	3.41953889151378	3.75488750216347	3.64385618977472	3.77610398807316	3.99095486039699	1.92599941855622	3.33628338786443
361420	6.97384083953315	5.69209237542757	5.96347412397489	6.01569380710515	6.85174904141606	5.28540221886225	6.35931031689044	5.45285896471381	6.41616416473313	5.3819754785573	6.58345891013077	5.61176256006487	6.27984269352035	6.68929916053589	4.53605290024021	6.13134253912326	5.91169158187234	6.64529816394863	6.1168637576909	6.73876783680019	5.25171909260596	4.23266075679027	6.15177765473205	6.12722055048807
361425	7.83478704933734	7.75555526197214	8.08746284125034	8.26584942144085	8.24365004189697	6.8073549220576	7.69835740595729	7.96462966672059	8.57288966842058	8.43671154213721	8.30012372456901	8.02458563827827	7.55995061271308	7.80025280637239	8.54997714277182	8.08746284125034	8.22110372536788	7.04766925139131	8.0757465380609	8.48260630810786	8.59395128394841	8.78888143201129	7.69488019279919	8.34340782229781
361448	10.7552214207024	10.080417833731	10.2106713437856	10.4231159101471	10.4580989695546	10.3956412357957	10.6025132974518	10.1541852092653	10.8252768300549	10.9104178773574	10.1812765146531	9.52473758701238	10.9315501027095	10.6396120364355	10.1332706746277	9.53488645761565	9.95608570123079	10.1005309400306	10.6621342747991	9.68650052718322	10.7964452590618	10.1309566025993	10.1138723673074	10.0969786363705
361473	6.13134253912326	6.59842476052772	4.93545974780529	5.3327079336406	5.09169983413681	6.58796498888268	6.57591736111815	6.08321336824898	6.04439411935845	5.14974711950468	4.99095486039699	5.04875931191986	6.23457795978457	7.17692111164436	4.27052894238072	6.37330019660839	5.81506301719287	6.77346892790519	6.53760669149529	6.68369645430652	6.05311133645956	4	6.49024921062709	5.91408609701272
