Gene	GSM197121	GSM197120	GSM197125	GSM197117	GSM197116	GSM197114
Gene	3.0	3.0	3.0	18.0	18.0	18.0
11287	3.16713533429534	3.17032924053459	3.41465769551524	3.07521522406513	3.16713533429534	3.10929755973928
11298	5.58261492089057	5.41435916298275	5.92505751227408	5.58383781325542	5.6795770133604	5.31915149497015
11302	8.47908621526793	8.66752037939058	8.36378820749123	8.66582990884649	8.72251684237584	8.7187695778769
11303	6.51175921525918	6.6036184655952	6.48995183913472	7.0290125329439	6.83102320351309	6.96462146546443
11304	4.2124177054088	4.00030169898341	4.24752835245738	3.82913199518749	4.46617607748104	4.33195984440469
11305	7.96767057478787	8.08388887010371	8.04521414121296	8.26061961357473	8.12257596013159	8.14743511114167
11306	5.28923178902795	5.18633579324803	5.11552128762136	5.38268883954541	5.22127649843943	5.37820630995896
11307	7.6699555537656	7.73288412216449	7.54008235971908	7.57017262564963	7.78017092783313	7.52102194085625
11308	6.95538419151934	6.74783460075166	6.99141812611543	7.0801664246317	6.89189832753408	6.87855479908332
11350	5.10605333764228	5.21969139412711	5.38428448053099	5.08595463219222	5.08787295612899	5.01282432941914
11352	7.14467737889716	7.10790380018103	6.91650339162836	6.76441220916976	6.73093412694536	6.87301811366523
11354	4.60595881636758	4.52194312221731	4.72260152059852	4.5647584719795	4.53619715363407	4.60783689717524
11363	5.37204687852842	5.4204165109769	5.25113105736822	5.51158420958953	5.50073395384827	5.35255958138617
11364	8.19481006845528	8.14599069622493	8.05764504334116	8.0665699507987	8.15597016227186	8.1300749311704
11370	7.90851282561367	7.9963913964266	7.95689081151022	8.00569805973006	8.08104149723544	8.00882564406108
11409	5.84564321067097	5.66352380311387	5.93318415110441	5.54508570536594	5.81827659856592	5.68179138542196
11416	6.94122744089983	6.72937277045735	6.56161181148924	7.07837760522918	6.87524108933734	6.77047590085142
11418	6.01975937824451	6.06718234838813	5.87713375777771	6.04548841322033	5.82956948177698	6.07590349297178
11419	8.19211245191046	8.41945585454076	8.62852684433377	8.23817455098907	8.49719724293032	8.33095982159029
11421	6.54447895103099	6.51899453550898	6.57578293736917	6.47024033857364	6.88209701901494	6.49580865989742
11423	7.30727320210719	7.59961109548457	7.3959459144426	7.57733611286382	7.62569833013183	7.99313841209044
11425	4.78593827628868	4.54954096767775	4.92022037675614	4.7048047625031	4.78480548287824	4.56547438304303
11426	8.60414997772819	8.69707743001105	8.63692159129513	8.75813812892547	8.87592392834015	8.79008402576809
11428	5.56086192482027	5.51419782003463	5.56574697859264	5.66817764286756	5.56927127196114	5.62215312133389
11429	10.4788449177302	10.4333171579412	10.4955427817626	10.4982580016571	10.5843874460763	10.6059835010336
11430	8.83042567340654	8.81171642443281	8.84101048294808	8.83123093343237	8.84733925274451	8.9204814743609
11431	6.58516481590017	6.43230590360821	6.62327898120953	6.42297478770955	6.3668396172212	6.51702580471116
11432	7.41770847008439	7.42666021254522	7.52210330848426	7.59588248783031	7.29400143503065	7.62137879666843
11433	3.20630377109149	3.23215989139868	3.45465541948638	3.20327431556994	3.34401064987713	3.19685324995857
11434	4.35300206394099	4.36801040130499	4.78487562605289	4.4396857556033	4.72156419414195	4.53401198619486
11435	3.65698968069844	3.52547904598319	3.9408347513259	3.38792438324058	3.52107236797042	3.14406236012969
