Gene	GSM13328	GSM13329	GSM13323	GSM13324	GSM13325	GSM13326	GSM13327	GSM13331	GSM13330	GSM13320	GSM13321	GSM13322	GSM13313	GSM13315	GSM13314	GSM13317	GSM13316	GSM13319	GSM13318	GSM13305	GSM13303	GSM13308	GSM13309	GSM13311	GSM13310	GSM13312	GSM13306	GSM13307	GSM13304
Gene	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0
11787	6.66249036391378	7.00562454919388	9.01485738131639	6.36806987653208	6.72109918870719	6.90568784852686	6.78267065867701	6.0639343057541	7.46597446450407	5.10013667128545	7.32750773458721	7.21334728173344	6.95884267524324	7.54920708935568	6.37677657188298	8.9407540474748	7.72314895704758	7.32750773458721	7.05311133645956	6.35579154675365	7.52904005609508	7.51884982870769	7.10328780841202	7.6387978999517	7.08533966935737	7.71218305120923	6.71973105674985	7.11790278909403	7.1106138055009
20209	7.69905184401685	7.76487159073609	8.01569380710515	8.01736520529273	7.6560672737256	7.66888498426625	5.95652136333312	7.62570884306447	7.231701199029	7.02014657311178	7.23744899563932	7.26209484537018	7.79766152585376	8.00337736020232	7.9086928382425	7.45203527354619	7.52825874275841	7.85299758761332	5.93073733756289	7.23744899563932	6.60880924267552	7.64529816394863	6.67101024127845	7.96636124729361	7.3037807481771	5.93073733756289	7.73063995591679	7.06501215043695	7.77082904603249
24153	10.0170867733627	9.82829518779043	9.97835295816514	10.0045013922349	9.84399954181112	10.3385135553218	10.1511434194201	10.3811102940991	9.77165452814055	10.0832798626163	9.98484564975552	10.3087940672165	10.2890390488127	9.99527250853533	10.1764225130422	10.4238512555073	10.4554299727024	9.75288236627309	10.0514128890395	9.78994112839092	9.96340187181306	10.069382632546	10.415002276802	10.3342732853072	9.93103294150632	10.3405733953952	9.69209237542757	10.3565620114133	10.3557915467536
24157	9.94851324596068	9.73657105329737	9.78217919383121	10.240791332162	9.92020396279501	9.91871419083189	9.9013194655301	10.3341615307821	9.95230444190257	10.1479680537836	10.1127001327494	9.93825638243881	9.80558266816901	10.187475798173	9.92139467371859	10.1897010351811	10.3292357417338	9.90884292355248	10.0985585179384	9.86990224320795	9.86897684545916	9.89436306086969	9.77676200178623	9.93251005337989	9.94661390541276	9.8298812642924	10.2555007331484	10.4747199465265	10.2211037253679
24158	9.01513624379738	8.64565843240871	8.7790626892054	8.59170933316174	9.29186136958522	9.30241045042562	7.80348537559595	8.82081718186417	8.19475685442225	8.69104555348718	9.33494363072662	9.10171310018849	8.5438051759644	9.14542271960022	8.20701432017753	9.22496636500027	9.31786479839195	9.19031854794182	9.30058135979597	9.39510565460353	9.44646302341689	8.92896244083598	9.23935985027747	9.25408377931942	9.43212427264156	9.02125762056052	9.7657004876511	7.85735900975864	9.17916267538715
24159	12.3401097239826	12.3756277600259	12.3917000662675	12.2815340522933	12.8172235193357	12.3553419189463	12.2646185279191	12.1604912429664	12.3091352508626	12.639438694016	12.1269195276309	11.3707963675747	12.3535328161089	12.2485897830667	12.1405635270162	12.3128546001503	12.0983501603954	12.2399763568831	12.2803551429657	12.6811651915357	12.1680661676097	12.1454970221285	12.1759549203023	11.9787819486651	12.6692763257235	12.213843406387	12.8141551747874	12.0398672175974	12.1541219040133
24162	8.76586620990054	8.46025109894385	9.30765620530649	9.04111153536915	8.89542381038297	8.84862294042934	8.897542972507	8.64601861092535	8.9047851297316	8.81442224656679	9.48964729348844	9.14414836650889	7.11478344724985	9.38219169362566	8.8382584817133	9.10800164646591	9.27798474729977	9.03919323984743	8.71596199025514	9.28331990667844	9.26256470208851	9.18611423954164	9.03837033173068	9.44852933004466	9.41531924814038	9.33539035469392	9.03672310600552	8.93073733756289	9.02983934907253
24163	9.17317741512042	9.48643282054542	9.4023725783222	9.03974158460541	8.80413102118332	9.60177078840771	9.76735685412569	9.78168756150718	8.8835597252632	8.93722667397948	9.74584236256046	9.8155434084646	9.54592976908547	9.50203616359938	9.61249994573944	9.93825638243881	9.76387628539072	9.22158712126481	9.26162483557912	8.74247786700368	9.65266574509431	9.33494363072662	9.81057163474115	9.94676009734083	8.99520183149718	9.97856746936038	8.7515440590891	9.84815344049325	9.69139457853809
24166	9.56510207836031	9.66320227857954	9.78550695985997	9.67959738701747	9.52780278116416	9.77922688371316	9.44308167841106	9.86712426730297	9.77856999352952	9.6048002976314	9.89784545600551	9.8493529701038	10.1144364370158	9.75355105460065	9.77796758133371	10.0953530643215	9.67983193343985	9.75316102407646	9.58596402456623	9.65386017745206	9.65135072632165	9.77363376024366	10.0329181535007	9.87272617518238	9.72655877910498	9.93408397421336	9.55292521238107	9.90332956030774	9.73831748716616
24167	8.51707880545207	8.79782361731406	8.38909352190447	8.15127028879017	8.6444151258162	8.44397954260125	8.80719389800019	8.59730769114099	8.44646302341689	8.80154670335678	8.84109254469343	8.93634348139549	7.7839804136838	7.88172579064223	8.44066157065521	9.22243267454276	8.90734136737938	9.20725841036353	9.33561366481602	8.58398534510865	9.09064175191785	8.37872835803081	8.73555602391153	8.89223921920617	8.92762983383734	8.80606622608903	8.10512279826352	9.17067620949932	9.31095353551874
24170	12.8734441125154	13.1735756444461	12.9603006519955	12.5965275570025	12.833888244663	12.5887263457218	12.9820220658465	12.5616220846699	12.9958996155702	12.7505813833947	12.7435616705607	12.3655432765654	12.4113785760033	12.7519414986232	12.820986661458	13.0441464764423	12.8256942161538	12.7135046581448	12.97820993298	12.9776645193476	12.9394965728479	12.6785451237491	12.7705400156717	12.7930545744274	12.3897926453793	12.8152031478384	12.8596221374476	12.9354505393976	12.7893909985783
24173	7.93899143877554	7.38887833881199	7.66604642940879	7.90809234081827	7.45697038112101	6.75355105460065	8.02014657311178	8.35579154675365	6.58345891013077	7.97785230797118	8.04330075436418	8.03617361255349	7.96809075204526	7.02901108665907	7.48864353985378	7.49345520092618	7.65535182861255	8.51569983828404	7.88630626345243	7.56147889150101	8.64601861092535	7.79636413813963	7.7488637145357	7.42374622911477	7.93487029119203	6.90689059560852	7.63517394667492	7.75555526197214	8.21868431336217
24174	9.28193002695544	9.24079133216196	9.27449463583016	8.37155886261196	9.15532422905059	7.81634370528486	8.94192792470872	9.35402893805439	9.32080054888164	10.0812171107824	6.01122725542325	7.29278174922785	9.37242979233409	9.11139653182856	9.2881739681123	9.34894940950962	9.75872290706246	8.81346055669168	8.99418369804569	6.98754825895374	8.99418369804569	9.00028174886153	8.85611423397746	9.36850646150769	8.62972089101726	6.41447383643093	8.83510297949099	9.2749604721406	9.16540952031982
24175	9.56453060081634	9.53216108498321	9.19918154876397	8.9898202201176	9.23697088625934	8.81474266745448	9.09090634523191	8.80122333788621	9.4448078446426	8.93014594790882	8.81570350334807	8.24460168773681	9.02652344251977	9.28678875913321	9.21698830757675	9.44252886873253	9.13903966768306	8.9029779958324	8.62058641045188	8.98953642056108	8.5352753766208	9.21480479494805	9.31356331136435	8.7323370447384	8.91348784071516	9.10355009275797	9.47634118006233	9.38478375009335	8.70873904135958
24176	8.17442639367725	8.25219234012239	7.90327934205614	8.46025109894385	8.51648798090998	8.81121411751324	8.53410830493179	8.81185631429254	8.16087986183931	8.1048607997082	8.24031432933371	8.99774402605963	8.83510297949099	8.30742852519225	8.63190458725792	8.99322146736894	8.59469782732387	8.52512925120397	8.38456792317383	8.17242750864548	8.15228484230658	8.63807383718072	7.62716906084185	8.80638850801618	8.49225378930292	8.72417275014144	8.29599846191139	7.4262647547021	8.32327998788732
24177	7.73097953342592	6.82654848729092	5.90448409790142	6.84862294042934	6.75755668893945	6.97842446544086	6.75355105460065	7.10753095514318	6.7915536333886	7.07360604057494	6.79960542245267	7.68650052718322	7.07307041961431	6.37590826307501	7.76420813013995	7.13493964349298	6.89784545600551	7.10223819393074	6.0241423458978	6.6085135781513	7.07307041961431	7.13955135239879	7.09961081196091	6.4178525148859	5.63372181264101	7.33091687811462	6.05311133645956	7.44857062600553	5.20359271420771
